alpha_deg,vlm_CL,vlm_CD,vlm_Cm,vlm_runtime_s,ll_CL,ll_CD,ll_Cm,ll_runtime_s,ab_CL,ab_CD,ab_Cm,ab_runtime_s,ab_D_induced_N,ab_D_profile_N
-10.0,-0.6481268847137267,0.03238818806077108,0.15239713792539705,0.12772089999634773,-0.655279572880313,0.05892940659182621,0.12368117873352215,0.3449859000102151,-0.6306671654501017,0.06624465802057046,0.21969708380548228,0.08951600000727922,2.9191800143273285,1.849978308467074
-9.5,-0.6069580574501109,0.028555152992102754,0.1408866796824617,0.11394119999022223,-0.629681691048291,0.05535078600458618,0.11641775816259185,0.2416832000017166,-0.5890397585523465,0.06022774414501523,0.21077343456547937,0.0952306000108365,2.54653502775016,1.7894470096714539
-9.0,-0.5661246547372111,0.024983654838240905,0.1296733301253615,0.14544729999033734,-0.6020443776233597,0.05179693287656721,0.10862842411879539,0.2189508999872487,-0.5466163412966423,0.05452393601176168,0.2013099725206803,0.07790929998736829,2.192934485897199,1.7324127193258465
-8.5,-0.5256284150737578,0.02167012699292147,0.1187592749876467,0.14051430000108667,-0.572013651329475,0.04825572474706965,0.10068994006336698,0.21197999999276362,-0.5036438333951401,0.04916506332232736,0.1914041914405275,0.07777380000334233,1.8616904762230313,1.6778548688760586
-8.0,-0.48547046662629106,0.018610920073097673,0.10814630492889123,0.13252519999514334,-0.5392038797361554,0.044726816676576325,0.09301003021208451,0.20356370002264157,-0.4602619126733249,0.04417793033474109,0.18112305630743017,0.06864269997458905,1.5547856054774298,1.625720573214552
-7.5,-0.445651187789497,0.015802300988614394,0.09783573283895461,0.1330632000172045,-0.5033226959616832,0.04122933764298143,0.08600424197310055,0.20955460000550374,-0.4164551442178622,0.03958410004306991,0.17045624776798704,0.06856640000478365,1.2729076526829346,1.5768744401178423
-7.0,-0.40617004274889823,0.013240454862360834,0.08782828633053605,0.19005370000377297,-0.46420480501954714,0.037796614305867,0.08002432125462333,0.24006089998874813,-0.37210221410881233,0.035400724230725704,0.15932998507016405,0.07036169999628328,1.0162134619792211,1.5323944355132668
-6.5,-0.36702538970194304,0.010921490694792185,0.07812396772872196,0.2858837000094354,-0.42185008216894565,0.03447440070698617,0.07527867566107643,0.2253474000026472,-0.3271131270846226,0.0316413253883752,0.14766504010694748,0.07643039998947643,0.7853375819753484,1.4926195368214126
-6.0,-0.3282142606963629,0.008841451843865306,0.06872187166264572,0.20446070001344196,-0.3765332452593114,0.031324752470698596,0.07180027699687518,0.2036917999794241,-0.2815832649635527,0.02831539236874895,0.1354345156689825,0.08828019999782555,0.581934514526528,1.4565783741153753
-5.5,-0.28973211535236754,0.006996332571264378,0.05961994795284287,0.22318000000086613,-0.32895732132077504,0.028425945535413416,0.06949991042785003,0.22530510000069626,-0.23587128284404082,0.025426938202166873,0.12268628982738697,0.07568119998904876,0.40832932758869644,1.4222347899343726
-5.0,-0.2515725776023304,0.005382101981488349,0.05081469564823383,0.2303585000045132,-0.2802625002826282,0.025855450289739068,0.06811358442514483,0.21779709999100305,-0.19054387858818325,0.02297439567321224,0.10953340620230338,0.07414869999047369,0.26647129822628873,1.3875266785169584
-4.5,-0.21372717653963486,0.00399473638133469,0.042300775444063084,0.19876919998205267,-0.23174110583997837,0.02365935671549745,0.0669597531591424,0.20343290001619607,-0.1462079262211713,0.02095314207520807,0.0961333093551097,0.06888539998908527,0.15689253125979002,1.3515891320562465
-4.0,-0.17618513014467266,0.0028302599139206725,0.034070541939855904,0.22482360000140034,-0.18456394351945737,0.021842143248757127,0.06518368356429471,0.20211340000969358,-0.10330168740590685,0.019357315551770386,0.08262149200559488,0.06550180001067929,0.07832046670495924,1.3152726973206803
