extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
0,6.991938393368541,-6.991938393368541,87,0,1.5696654229112323,0.39461127455464573,0.8436382556885236,0.21136601520798806,14.662523155916242,9.509068580005872,2.9292800873493627,18.655399046074468,13.862581565592913,254.0351076434967,2454.011240712183,0.8494843764719323,0.8135062727684159,8
1,6.658122647475315,-6.658122647475315,79,0,1.8226530388344913,0.2947417148553772,0.8245794908571218,0.14387173053837074,8.44260181550392,8.14551069194925,3.5661543576058574,15.796857934408724,12.031033204863135,403.5591363330789,1645.1423883161724,0.9502153487231862,0.9480654870599693,6
2,3.796422605278093,-3.796422605278093,2,175,1.7690346284100686,0.23625771293375175,0.541531725082016,0.20755683174356815,5.717805138019096,5.56990581814596,1.9745423584245145,20.862116930779454,15.035430145346227,243.11941905400474,1806.7692072088903,0.8384289079411389,0.8018101259274233,8
3,-20.15012009798426,20.15012009798426,28,219,1.5896105159513554,0.249074538461864,0.563797607459128,0.1009274337149998,5.922181851042299,5.836725818556984,3.855560888819886,23.547423370697672,16.6970480422304,247.58904445742434,2267.6694587042393,0.8402332665428773,0.8920295820571482,6
4,-22.175567750358063,22.175567750358063,31,41,1.2822751390315592,0.3825531254336238,0.6267316762357951,0.09312351103872062,5.62826843074936,5.549419262404692,4.336151194758713,13.21471618488431,10.470755134540294,452.96204909682274,2289.0715412795544,0.7734988457523286,0.9360671462491155,6
5,-25.711157103606737,25.711157103606737,31,423,1.4863493747081606,0.26979949545115234,0.5434311473742128,0.25608883023262025,5.488682797580384,5.4677465282577815,2.198024964891374,20.587019971571863,10.787750727268392,373.27843494713306,1826.6235701739788,0.8421956049278378,0.6233985330909491,8
6,-31.773613587793314,31.773613587793314,11,264,1.0874068535625936,0.3469387093558908,0.678955744765699,0.2839067521691322,5.473038700486457,5.459594211254387,3.378378378378378,18.95865967962891,11.721223992481487,429.98009882867336,2549.770660698414,0.8671977347694337,0.5395846930332482,8
7,-33.0815608040701,33.0815608040701,31,464,1.4503179172642529,0.21196652881801128,0.44347906708717344,0.1493745445460081,5.650144797528551,5.502517015993223,3.378378378378378,12.113734818994999,7.446717815093439,406.6039118915796,2802.3213911801577,0.8491357476450503,0.8967566420324147,8
8,-36.50393042531615,36.50393042531615,1,227,1.4328430449977518,0.3890820932388306,0.49624102134257553,0.2783555006608367,5.675631673494571,5.639276651561187,2.3248032676056027,13.641067068092525,8.876503010780919,456.7839524708688,1376.220179721713,0.6776947700418532,0.7908101519569755,6
9,-41.73821676395261,41.73821676395261,21,290,1.3759980178937317,0.37063764911144975,0.8932020312175155,0.14769087987020613,5.927622176571643,5.489881744940881,1.4327285224571824,16.755254813469946,9.996770925669269,375.13714572414756,1689.2339158803225,0.728627507109195,0.931424314621836,6
10,-44.71044185042113,44.71044185042113,44,487,1.8232829904706265,0.3764057123288512,0.8619732155833641,0.18223492389029192,6.32521357433587,5.641229310683685,3.3070347319599653,17.33908891187907,10.560818828059157,340.2376258089575,1472.879696998719,0.7420767227248856,0.9295222007846924,8
