epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-9.474593042005031,9.474593042005031,False,0,1.7873847653189012,0.36844080887729974,0.7591148751185255,0.28819760354978374,0.0,0.4899337323124391,0.1234932337670868,5.746601289034594,1.6667099576479956,2.6160892989244213,11.121507688699596,6.689702829203745,607.1413807255724,2708.6563691183756,0.7115038404518383,0.6292684855557734
1,1,4.777470947408316,-4.777470947408316,False,0,1.4131720624748643,0.3917004265105461,0.8141367083743891,0.2144547352330766,0.0,0.2449716839287243,0.10833373528723246,1.1866125833199774,1.0656224950148427,2.5028508346292417,10.250944599765552,7.338894408790548,511.3007782871455,2992.0707821183523,0.8198064548991211,0.6470399036810633
1,2,-10.159206969238278,10.159206969238278,False,0,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
1,3,-7.5172908865108905,7.5172908865108905,False,0,1.3807121616922546,0.23241570257958638,0.5352966143840637,0.16804604631718362,0.0,0.4196657191222884,0.09762063173744827,2.331461564880051,2.0207846556702123,3.055591892329116,14.206910500479857,7.359191434834592,609.4732980690508,2853.3945480142643,0.8200768886188785,0.8123972624356205
1,4,4.912131346745748,-4.912131346745748,False,0,1.6704665232617408,0.3016756369490289,0.7580086067958083,0.2572314412826897,0.0,0.32677728719833876,0.05975623633066307,2.2083759062715487,0.8349541174793913,2.788658503262434,19.639734271039362,13.405356950929546,251.38830538258955,1384.4737723276294,0.757125202100724,0.7491750069502365
1,5,-6.664841078575241,6.664841078575241,False,0,1.809537474350854,0.31177929072637023,0.5742946595604403,0.23618164845304812,0.0,0.2374971965010275,0.10205273251179399,6.149454716711055,5.374763106745647,2.6348288141577614,19.469356024925208,8.091844605472366,332.4893065177382,2310.6158846187077,0.9639577404507764,0.834331931933293
2,0,5.071132394075554,-5.071132394075554,False,0,1.642076446197214,0.38643524064319934,0.8186019443444281,0.09282753472136952,0.0,0.6057043392494117,0.08239648515396038,3.427504544265105,0.5892727304904852,3.1755219320679657,12.843060796149075,5.84058314783082,521.0273210669866,2345.365528878814,0.8560303503676183,0.7811915052529251
2,1,4.858330873638126,-4.858330873638126,False,0,1.5086703043831295,0.35732201553695586,0.5920428368122013,0.25780033793483903,0.0,0.23058951476068718,0.05646565912077452,2.206115218704035,0.15024251404840783,2.170190698076129,10.511046946602306,8.324301915601481,482.8655233779717,2979.9241621239826,0.751803725665958,0.670027048131145
2,2,0.7026723919326576,-0.7026723919326576,False,0,1.2598733033634673,0.34238191191478273,0.5445693473342499,0.12615446376112546,0.0,0.48387905405536286,0.13632909710704844,1.4673475494346135,0.32050505483295666,2.6565740712512707,13.29562537777328,8.919274645058772,364.5439182138482,2207.9478757307156,0.7607898138969938,0.8144022862194364
2,3,-4.9075169738582165,4.9075169738582165,False,0,1.7696877429556441,0.2976639725660151,0.5254153778715935,0.2946436452915311,0.0,0.5652084965061225,0.0514316676887218,2.669634520230204,1.8029118087855025,3.3142153383243143,17.601504229157303,7.137456326924529,503.15347149677683,1987.5318139025737,0.7167410610506031,0.989086047793255
2,4,4.912131346745748,-4.912131346745748,False,0,1.6704665232617408,0.3016756369490289,0.7580086067958083,0.2572314412826897,0.0,0.32677728719833876,0.05975623633066307,2.2083759062715487,0.8349541174793913,2.788658503262434,19.639734271039362,13.405356950929546,251.38830538258955,1384.4737723276294,0.757125202100724,0.7491750069502365
2,5,-6.664841078575241,6.664841078575241,False,0,1.809537474350854,0.31177929072637023,0.5742946595604403,0.23618164845304812,0.0,0.2374971965010275,0.10205273251179399,6.149454716711055,5.374763106745647,2.6348288141577614,19.469356024925208,8.091844605472366,332.4893065177382,2310.6158846187077,0.9639577404507764,0.834331931933293
