extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
0,5.071132394075554,-5.071132394075554,64,0,1.642076446197214,0.38643524064319934,0.8186019443444281,0.09282753472136952,0.6057043392494117,0.08239648515396038,3.427504544265105,0.5892727304904852,3.1755219320679657,12.843060796149075,5.84058314783082,521.0273210669866,2345.365528878814,0.8560303503676183,0.7811915052529251
1,-10.159206969238278,10.159206969238278,22,0,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
2,-15.308372229277145,15.308372229277145,28,110,1.6401680478584242,0.2599114979122941,0.7362048669940167,0.21315799823775594,0.20278694561496372,0.03610086763551779,1.310046662386874,0.23079632023652863,2.651486986996354,11.860479670974836,5.6943415266164585,563.9318392157663,2274.091477796828,0.8406305869326466,0.9053213909547119
3,-19.579397077556045,19.579397077556045,87,216,1.8220716514568618,0.3002415429707199,0.6070860099888558,0.13106688929578195,0.2457613430933755,0.06299938254916942,1.0707557495211617,0.7138554513818747,2.5037472572575723,14.028858793889064,8.917922023223156,412.29677468015694,2728.1840557531223,0.9412916701527663,0.759225286411948
4,-16.313731294719613,16.313731294719613,69,94,1.1437928521896936,0.2634422117844224,0.8503287325678195,0.26887481486771136,0.28953124093545224,0.12033788148064507,0.5118908918751117,0.3406774154313439,2.863444599374297,13.838039711117744,5.755182983841393,557.5800752542633,2325.1072615385056,0.6890280386433005,0.7055223976455168
5,-17.88808063315079,17.88808063315079,100,180,1.6437382267487473,0.29589772841967255,0.6747625809162856,0.27687880040810164,0.3539392812049873,0.10988818635822947,0.3225068308185186,0.18408435567972248,3.132360521497359,11.240030573680997,7.428150365526247,530.4930319356428,2320.563635563287,0.9645739473398469,0.7989858470674661
6,-19.39380657170145,19.39380657170145,31,509,1.3212965920310467,0.295952127724886,0.5869998453184962,0.22138944275677203,0.15408182029165327,0.020417918137088417,0.3960352610070572,0.18452703111775293,2.517201565004684,10.912481304258108,8.232790482668182,557.1070535108447,2309.8153583705425,0.5946960905566812,0.5396963781677186
7,-29.36,29.36,31,357,1.1901556997399778,0.3496339560300112,0.7539336662739515,0.09436382096260786,0.16450177525989707,0.04682728565372526,2.2239657591346287,2.157759815033323,1.9464620490734639,11.670884131453931,5.558822912490826,233.1316809169948,1163.0947720259428,0.9475386426784098,0.6070033693686128
8,-30.680808186921194,30.680808186921194,1,345,1.2659354393336921,0.39420133251696826,0.8640687324106695,0.2798592145182192,0.1636529284022748,0.02875378856090828,0.8342063066199898,0.601276853080968,2.3264295730639146,15.911102225072682,7.509103691872311,517.2502649016678,2569.9728168547153,0.5627515912055969,0.9504606476984918
9,-29.421714285714287,29.421714285714287,21,290,1.5443611391615124,0.39652341529726987,0.8553913984447719,0.09899324445053935,0.17264246218800539,0.06377540210857988,1.2437520431704527,0.5374013750335962,1.2544422296656141,23.160491604357958,10.586342922341487,402.27996087633073,2912.3018570244312,0.6519332425668836,0.7201724969781935
10,-32.73754822542258,32.73754822542258,6,405,1.7114764636246687,0.3913060009479523,0.5549360531923113,0.21772827230393887,0.18052254041159677,0.0635376485783761,1.0913650219353102,0.48147153657791364,2.552835803675856,17.17309137340635,7.428232789401683,342.1473199988227,1977.2912113409639,0.672539860870094,0.8613324427959574
