generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,1024,51.93486409995239,19.717005478809728,2856.4175254973816,0.0,13.710065090948351,-13.710065090948351,1.2885040905453264,0.17834135349839925,0.6166901987046003,0.2993434611149132,0.0,0.19876476212404665,0.04492299043191597,2.473069086025866,1.2305760866807347,3.329034630913992,11.741717387922108,7.777016498936648,638.8656964991242,2207.80055783689,0.6512743607163429,0.6609867992810905
2,0,1536,59.05210720002651,26.01092616046918,2145.5598949342966,0.0,13.710065090948351,-13.710065090948351,1.2885040905453264,0.17834135349839925,0.6166901987046003,0.2993434611149132,0.0,0.19876476212404665,0.04492299043191597,2.473069086025866,1.2305760866807347,3.329034630913992,11.741717387922108,7.777016498936648,638.8656964991242,2207.80055783689,0.6512743607163429,0.6609867992810905
3,0,2048,68.39775090001058,29.942505024674478,1846.7392743002856,0.0,12.385176758284901,-12.385176758284901,1.5501529940627332,0.2764044763176603,0.732886649240391,0.158054203385126,0.0,0.2818212964587568,0.11568205743755107,4.774996663330725,2.394504491676898,2.423334795448929,15.103358599519495,7.981932180757287,532.2759486734867,1898.7544607371092,0.6459280507864832,0.685549176375277
4,0,2560,80.66456229996402,31.736365102685767,1726.22163321923,0.0,12.385176758284901,-12.385176758284901,1.5501529940627332,0.2764044763176603,0.732886649240391,0.158054203385126,0.0,0.2818212964587568,0.11568205743755107,4.774996663330725,2.394504491676898,2.423334795448929,15.103358599519495,7.981932180757287,532.2759486734867,1898.7544607371092,0.6459280507864832,0.685549176375277
5,0,3072,97.19712120003533,31.605874351748636,1717.149141200624,0.0,12.385176758284901,-12.385176758284901,1.5501529940627332,0.2764044763176603,0.732886649240391,0.158054203385126,0.0,0.2818212964587568,0.11568205743755107,4.774996663330725,2.394504491676898,2.423334795448929,15.103358599519495,7.981932180757287,532.2759486734867,1898.7544607371092,0.6459280507864832,0.685549176375277
6,0,3584,120.14804220001679,29.8298660084159,1802.2206330002518,0.0,11.21846533561169,-11.21846533561169,1.801624501509574,0.3149316231718293,0.7937313843078752,0.2222255093751166,0.0,0.16358513513977113,0.12247798157191131,7.785348565935664,4.781475784865677,3.067217684227489,11.450300365686417,8.08399132353551,578.2343193909506,2265.9044789114423,0.5997487588538093,0.6962511844810073
7,0,4096,136.9368352999445,29.91160114828256,1780.1788588992786,0.0,11.21846533561169,-11.21846533561169,1.801624501509574,0.3149316231718293,0.7937313843078752,0.2222255093751166,0.0,0.16358513513977113,0.12247798157191131,7.785348565935664,4.781475784865677,3.067217684227489,11.450300365686417,8.08399132353551,578.2343193909506,2265.9044789114423,0.5997487588538093,0.6962511844810073
8,0,4608,151.05384179996327,30.505678936006515,1728.7273005995796,0.0,9.474593042005031,-9.474593042005031,1.7873847653189012,0.36844080887729974,0.7591148751185255,0.28819760354978374,0.0,0.4899337323124391,0.1234932337670868,5.746601289034594,1.6667099576479956,2.6160892989244213,11.121507688699596,6.689702829203745,607.1413807255724,2708.6563691183756,0.7115038404518383,0.6292684855557734
9,0,5120,168.0148473000154,30.4734973264445,1713.751442460157,0.0,9.474593042005031,-9.474593042005031,1.7873847653189012,0.36844080887729974,0.7591148751185255,0.28819760354978374,0.0,0.4899337323124391,0.1234932337670868,5.746601289034594,1.6667099576479956,2.6160892989244213,11.121507688699596,6.689702829203745,607.1413807255724,2708.6563691183756,0.7115038404518383,0.6292684855557734
10,0,5632,181.0481424999889,31.10774804000182,1662.3511265908073,0.0,9.474593042005031,-9.474593042005031,1.7873847653189012,0.36844080887729974,0.7591148751185255,0.28819760354978374,0.0,0.4899337323124391,0.1234932337670868,5.746601289034594,1.6667099576479956,2.6160892989244213,11.121507688699596,6.689702829203745,607.1413807255724,2708.6563691183756,0.7115038404518383,0.6292684855557734
