rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-5.30827286724749,5.30827286724749,True,1.49996187527013,0.39555572268270167,0.8588517800292654,0.1548711647688424,81.0,24.0,1.237377455243772,3.5694092686799923,15.314666052706174,11.638817062285325,360.8610162779395,2134.809074997235,0.9249220773492735,0.8997156321519855
2,165,-5.268725879349821,5.268725879349821,True,1.408559791853151,0.3905907378920773,0.8312658508246583,0.13757648534003902,94.0,23.0,0.9916839902747887,2.393665853582174,17.770007343472436,14.158594880590117,261.77038290520636,1593.6681009409656,0.9752032393957999,0.9472100437738128
3,231,-5.260841577857194,5.260841577857194,True,1.419850469281439,0.38243726318680316,0.8234680081375471,0.12142570354922363,84.0,20.0,1.1766251739782847,3.0889104180763924,16.02212940883766,12.212876816277971,322.71642001178344,2090.703926757377,0.929185543062011,0.8940260727596416
4,252,-5.228235802157561,5.228235802157561,True,1.3905046044121254,0.3872597862005013,0.853295131348814,0.1881331752882085,92.0,18.0,1.2457427697905643,4.061106001728251,14.201667000445022,10.375194822744312,406.3897305467107,2617.4674353525797,0.8899536465283691,0.9671656094051366
5,186,-5.226774004824277,5.226774004824277,True,1.4663459574798932,0.38301725062632036,0.8658578888280262,0.17127940499321376,78.0,17.0,1.5622705033679822,2.72105294933553,13.908653246875804,10.742671717581176,349.18808450034817,2618.4514689527114,0.9421543593258828,0.9564258796068809
6,178,-5.222903313319835,5.222903313319835,True,1.4263490160616492,0.39889611210181475,0.8302192733360519,0.13513127722177048,74.0,23.0,1.2400665838498446,4.082750913457609,15.218162844650346,10.393717223726831,408.8054511498195,2305.0137446918834,0.9752519118785099,0.9053224051182494
7,110,-5.216434883695606,5.216434883695606,True,1.3781684473480658,0.3997854761894719,0.7912552146969514,0.13064102330790722,88.0,19.0,1.6028122045985589,3.5295487466845943,13.443403968384345,9.538419316385365,437.1037091324405,1655.9042862525473,0.8754917917443901,0.9393220884782247
8,36,-5.214374309936851,5.214374309936851,True,1.4149217389768551,0.3899058487572534,0.858873042209999,0.17469191219968702,99.0,20.0,1.136542588433241,3.7942979969882566,15.746334217704224,10.85727406246511,355.00283648035577,2246.383230407182,0.8505824473187305,0.8940089286788891
9,125,-5.210291705074173,5.210291705074173,True,1.366529409785221,0.39140999611517885,0.8212514109796707,0.1098379283492678,100.0,22.0,0.7361426889819174,3.1929556458589454,15.191680291518725,10.388524540580708,383.47691741581014,2061.6878436071597,0.9263491628758969,0.8005664536680752
10,255,-5.205689189052237,5.205689189052237,True,1.4880825293143403,0.3781253345940878,0.8787192074266093,0.17976506365543604,88.0,15.0,1.6149216680598586,4.409948906653883,13.76273923836696,10.30904114244527,434.0465318549141,2333.0091797630776,0.8542515619862531,0.9853224214965263
11,124,-5.202233683330141,5.202233683330141,True,1.441868269551287,0.3273765100520984,0.8532745073500272,0.19193754116541378,93.0,19.0,0.9992846505385033,3.957682674413072,15.06975312888936,10.41042537338225,391.7191579496882,2389.429590210132,0.9643747455332993,0.919518394769989
12,100,-5.200566973521777,5.200566973521777,True,1.4227465266985313,0.35036597517616425,0.8323798838687131,0.12301174478859196,80.0,19.0,0.9786119803260873,2.5565625966706778,12.732437184119679,9.505676231204191,439.71093401298884,2036.6094203956836,0.8767782350119468,0.9052828216962445
13,242,-5.198602719425598,5.198602719425598,True,1.3521770451353001,0.3751154109849818,0.8064318823012149,0.1419739594587393,95.0,18.0,0.8959672572972528,1.4796054818064461,15.883118853683955,11.072661197084296,310.2695703068125,2141.8020203827664,0.8916926076344883,0.8395467472994552
14,121,-5.197627962292151,5.197627962292151,True,1.4824069890290297,0.3674094813589928,0.8662742569054219,0.17514009207143308,78.0,21.0,1.255548095643293,2.762353976481556,17.276333312445846,10.955119743703362,309.7664646843362,2564.7005436883346,0.9252844351420532,0.9535117669351274
15,101,-5.188847953084938,5.188847953084938,True,1.426951568963727,0.39318909378616473,0.7875543359257391,0.0882234235453067,82.0,16.0,1.5090288772273024,3.343357680831561,14.36653402350992,9.427317586639681,390.66731123340037,1637.06710984017,0.9540279985626505,0.9634963727967372
16,200,-5.184477247656128,5.184477247656128,True,1.3327362184045992,0.3684449426621367,0.8546624344807245,0.16189468726556233,87.0,18.0,0.9489625045820098,3.601344892927847,13.874943542323262,9.620651226562826,427.52739139420214,2255.282384764503,0.8933292629191075,0.9845371571849035
17,162,-5.179438229759691,5.179438229759691,True,1.4872447649094946,0.3835034728946831,0.7900922263678584,0.24406854155888838,66.0,21.0,1.3548271277826707,3.76673668761233,17.23950511527293,9.554084527684203,404.8939062597922,1992.3845260383666,0.831827221405614,0.8335685552323955
18,140,-5.175027798522712,5.175027798522712,True,1.3993292123703358,0.39680162730894997,0.8717276792941109,0.21862445196446767,99.0,22.0,0.7553779031593912,2.7579127271687573,14.527869909810551,9.489914292328464,370.3818973424507,1843.7226037571447,0.8601695482064466,0.837287531501428
19,122,-5.174370155553534,5.174370155553534,True,1.291489898111733,0.39423208761278217,0.8795263181389332,0.17434419703043802,94.0,18.0,0.9700444790801723,4.178873310047878,13.246700595428685,10.306746670176626,447.1590111675116,2315.5612626399006,0.8823119293141086,0.8842149364887478
20,74,-5.173793949350404,5.173793949350404,True,1.4878179564750211,0.3625892978242856,0.8576262398878669,0.29295473281408274,84.0,25.0,1.0278616660381983,2.6959368653726816,18.685261672011464,12.789238091123906,281.7666992155155,1336.7394893685955,0.8621405223789447,0.7770689855537058
21,14,-5.172849764213666,5.172849764213666,True,1.3742805810848224,0.3595318779452997,0.8403109023008967,0.15610100940741523,96.0,24.0,0.5666741647668454,3.1656026733269327,16.044216827554425,10.919081036514992,322.5279679071462,1417.4033848222234,0.9627538136736548,0.8910584691161934
22,32,-5.170847543259934,5.170847543259934,True,1.4663864786131997,0.38643968083447955,0.7656018480238915,0.16056328705901807,81.0,23.0,1.0071259606802259,3.2786794649976976,17.10803850379345,9.95927366548956,376.83575434215004,2423.7646274466256,0.8522239140600708,0.8785311279478448
23,244,-5.170034525274726,5.170034525274726,True,1.4703129111086004,0.39255718683344176,0.8876048210815465,0.1858396013465982,73.0,21.0,1.1634860032810903,3.3464466052229627,19.16671148208791,12.051167596988513,324.557366718348,1821.898188764735,0.9021072267933683,0.7883511142440653
24,70,-5.1697134130238585,5.1697134130238585,True,1.4454416432417907,0.35974995970272516,0.8728012090304853,0.11715056370797686,86.0,22.0,0.6285209037328339,3.4490334095833113,14.1771394651302,8.64679415205526,470.30714477061736,2709.6164841982254,0.9722915613004568,0.8238086454092911
25,208,-5.167653330058101,5.167653330058101,True,1.4025720508520632,0.38361399647036964,0.8744186485213798,0.17575558994660045,95.0,13.0,1.3618180358025218,4.1349011254775165,16.36821230531527,11.197710043537127,425.359245405941,2162.61232413255,0.7808856793804883,0.7667911854394122
26,120,-5.162379306242513,5.162379306242513,True,1.4842374385081047,0.36910543110867516,0.8284666154884922,0.2016020078001408,75.0,19.0,1.1936512539507076,3.587834396184586,16.830642038526875,10.217901597255638,366.928797402535,2326.7522952912495,0.8748117192173999,0.8744652287199247
27,211,-5.161784454553821,5.161784454553821,True,1.4116400382656697,0.3353462986180929,0.8939422162309063,0.1723673209954073,70.0,21.0,1.3800175925552023,3.297821543728282,19.177812696434557,12.636466632455942,279.9683829912935,2114.0472766933485,0.9791108879911106,0.9575908483377
28,80,-5.157686930544566,5.157686930544566,True,1.5182643317598727,0.3828821336156545,0.6787187988403596,0.1849069542142873,75.0,18.0,1.740124501156277,3.393893364525512,16.14355871659171,12.444877162709638,320.2233153724785,2884.401114939263,0.8472483116745066,0.9864218997897862
29,88,-5.150034679740733,5.150034679740733,True,1.4709869830928675,0.3907121145712035,0.7531810142441395,0.2899870375709284,80.0,18.0,0.8860910393507653,2.6814332766109534,17.390199990566252,12.456307730883015,308.50445923885655,1649.9233667488825,0.884548735089622,0.7980341122387626
30,83,-5.148773963441921,5.148773963441921,True,1.4033369786887404,0.3954295240764991,0.825073383068035,0.13945743567831687,70.0,21.0,0.8884015156264469,3.2773342056105497,15.043005952521462,11.477890119484542,365.85105134996957,2258.2907793148197,0.8955272291723763,0.8870330382257908
31,43,-5.141414032256138,5.141414032256138,True,1.462611048304879,0.3726225032230666,0.8093255432255998,0.12443186276491251,74.0,20.0,1.2058374016141693,3.419753690192454,19.74626506439336,10.033618701174095,353.18902008144147,1031.8176259820548,0.9555857324860387,0.7818945837488964
32,198,-5.140362358165216,5.140362358165216,True,1.429941171785779,0.3982146554039943,0.8188296370495528,0.09624059722064719,88.0,21.0,1.0419092994346362,2.532401426188125,17.398450193145372,13.356418549471961,283.7527085833509,2130.796800899737,0.800247146379271,0.7727120410000468
33,238,-5.1377125509228225,5.1377125509228225,True,1.4931639259620748,0.3424609246516973,0.7980015674401492,0.24405436523321244,68.0,19.0,1.4200457607849015,1.9593134610496292,17.3171978293515,10.026144055416003,307.32698573646724,1451.1247213341462,0.9248737650122669,0.9109967875629346
34,90,-5.1371917126150874,5.1371917126150874,True,1.4748524530143534,0.35163920281327554,0.8158535581747925,0.21593724044071694,79.0,15.0,1.3289208457419692,2.8468249143221707,13.738058118166432,10.799337352865836,391.31675917191103,2730.3670883052855,0.9220786118304454,0.9246104921690635
35,46,-5.136448188969335,5.136448188969335,True,1.5045555290986272,0.35743127961241156,0.8945505593822654,0.11416224551376933,70.0,23.0,1.258687463853528,2.4696697252301796,16.897732616382388,9.518962425436428,326.94684638232206,2271.7071936325287,0.8775312129611508,0.9001411435138567
36,207,-5.134988164756987,5.134988164756987,True,1.5139550080730575,0.3990532591641065,0.778415183110272,0.24082073388842928,66.0,18.0,2.2228998888506712,4.445882785945271,15.689553499037052,12.395046873434817,358.7249980630701,2417.752203252064,0.8677698606440032,0.952601459487132
37,19,-5.129817142349987,5.129817142349987,True,1.4636993369959228,0.33822063960673376,0.8853720823166427,0.1447187325266716,74.0,20.0,1.0613687898675404,3.9396477993596655,18.60581589637483,10.113778235383698,401.60003266972274,2244.3511782462438,0.8811918434811015,0.8096999701481211
