ducks_num,pucks_num,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
4,1,0.8333333333333334,-0.8333333333333334,4,162,1.4697449345810552,0.3443210479951618,0.5122439164229569,0.243672498362873,3.182295887909951,2.107070599565051,15.549220084325526,6.934284018695283,245.41477104648948,2214.8125952900195,0.9601254103160095,0.6308063900887628
8,2,4.46881859681461,-4.46881859681461,1,0,0.9866897060939502,0.3165331395347167,0.6446855032763523,0.23668176646174757,2.5341338609377146,1.464324755128473,16.87033357817564,11.743033372797072,296.4323139813792,2337.839083549155,0.7220971607603133,0.5159945548267654
9,3,2.0427343117566688,-2.0427343117566688,8,23,1.2306725066033237,0.2792628171001192,0.6788164509427471,0.18341060597922076,2.616581714210877,3.5801873139593496,17.857817190713305,10.8633439457044,318.53278735592517,2249.7186912588786,0.8515847759646485,0.8512840277370735
10,1,0.4166666666666667,-0.4166666666666667,11,218,1.357541266103978,0.3974241739444459,0.6684723266529935,0.19429078342711673,1.7979644044474548,2.7090112931235577,17.04785567106634,7.8127872913412,243.69748609579798,1850.1466773679995,0.9355549621792706,0.6275159937315467
11,2,-8.900558369495664,8.900558369495664,12,170,1.519250687299225,0.30623597570725475,0.5966308095965337,0.26875414666194175,4.5264409958259115,1.9489373979688338,24.69369615893811,10.30444217482322,461.72404083499225,1592.2887107249908,0.845705557285676,0.6269450416162462
12,2,0.3424657534246575,-0.3424657534246575,13,135,1.450877481793386,0.2633845900619739,0.6057311192445093,0.2012098579489346,3.546734750777821,2.4119447659287525,11.15874242084843,6.907630498214292,306.93276926450767,1879.374076370543,0.6436929214034695,0.6858589817049601
13,1,2.250236684233992,-2.250236684233992,24,245,1.3277088919218298,0.2050960539201942,0.7766422569064017,0.22915503878254717,3.427238297650554,4.150665189600553,12.294941098424628,9.446180827141905,430.3847151697529,2434.965712820898,0.886097177824112,0.8469613705513972
14,4,4.56039662480941,-4.56039662480941,16,238,1.4603364906770806,0.23642508928828065,0.6611600366858038,0.2759774708499076,4.447036686448746,3.175752929071467,15.029583207112498,8.6821183424644,380.2112639431881,1053.2433347975111,0.9737546435786515,0.6823670730974865
15,2,0.2840909090909091,-0.2840909090909091,6,109,1.448093352450646,0.33076446086026995,0.6842551643763494,0.2796210613309951,3.085688959599217,2.8805588842899006,19.852394162268872,8.431745555441644,229.3611470481439,2417.82267657685,0.9783545020223883,0.5898807069947101
15,4,0.26595744680851063,-0.26595744680851063,2,66,1.265128212083131,0.354659929295134,0.6365966074168682,0.17113606731882963,4.840738693252206,2.9278779746964574,14.573912042002572,10.302227528765798,294.22083230745613,2786.590466275811,0.7244632631817451,0.5148509728348615
17,3,4.4816107721454275,-4.4816107721454275,16,177,1.2819674709710416,0.32048949361353524,0.7110814212027576,0.2478504126478697,4.452610571181783,3.154300490700611,17.695227735845915,8.618955048332461,312.3976979831639,2387.4167420626486,0.8455974424804739,0.6298973386442821
18,1,-2.349894808368029,2.349894808368029,8,13,1.3303512019238597,0.3069960721767183,0.6774893344175079,0.2789844838170358,1.9616992359378485,2.865725672327126,19.334007301836404,11.217112272561957,251.2403691283152,1155.9874606160777,0.5659061909138471,0.8372306054302385
18,3,4.503255780770959,-4.503255780770959,9,219,1.4142121700615657,0.3785831817551242,0.8349888844415545,0.24282839438009318,4.274078614817029,3.0820755217889393,20.567701182786017,11.717814830097394,287.9786823853317,1813.4590365998633,0.8370412470019258,0.6300380907619157
18,5,-11.297717914610192,11.297717914610192,6,218,1.357541266103978,0.35281570307435156,0.7360390853592238,0.2568301481625809,3.8040448892530856,2.117188370187179,18.254639899897402,9.365280734755475,463.12998670919694,2299.2198901720208,0.9114586945118024,0.5781929177759018
19,1,-7.5172398963087215,7.5172398963087215,3,90,1.3565772203935236,0.14321304624740153,0.5577294337016607,0.16263860074899153,2.6326716865476274,2.2129196959811708,21.316838736507215,9.414553204106783,451.6334696197874,1115.403637805346,0.8973214247271148,0.6554058501725488
19,3,2.309640669347046,-2.309640669347046,2,177,1.2819674709710416,0.26331790584577713,0.31139014052492275,0.2478504126478697,2.6515087696847206,3.0260733830496687,13.130035954527557,8.618955048332461,446.15103081716677,2387.4167420626486,0.6095694228427061,0.5426439146683674
