rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-5.357750361584526,5.357750361584526,True,1.4770022594362928,0.38873569094094507,0.8805837613626861,0.1453714698546144,91.0,14.0,1.7825108283025188,2.6681380434562274,18.977982207385406,10.121596612841417,346.32308809781983,1086.5276614247596,0.8162934143318212,0.7425819921067038
2,252,-5.343573285492436,5.343573285492436,True,1.5156231842025463,0.39175725372798903,0.8542188370963244,0.27780968204566975,77.0,15.0,1.4586984232096054,2.322309810173642,15.50157739208392,7.545142444132306,425.2430550642622,1323.834006232908,0.8757104047815474,0.8511436651621125
3,238,-5.3403962613232085,5.3403962613232085,True,1.4808119928134613,0.3673259563337558,0.8270263811849867,0.22940233943548938,71.0,14.0,1.6121151458730711,3.0547666950832433,16.158999368959947,7.361395258255002,416.89755449810036,1239.9085879357983,0.8241743895664699,0.794997494787322
4,96,-5.339158886978483,5.339158886978483,True,1.4666877864051073,0.37846006161144063,0.812859861146715,0.25690924191147857,70.0,13.0,2.0361749351355867,2.8350511447968425,14.379090114465804,8.875668598360086,429.5488960986509,1301.6163906698757,0.8404415035906728,0.8009969462626508
5,149,-5.337990873409773,5.337990873409773,True,1.3464848752563947,0.3916805551354303,0.7275672477744852,0.15402485155048595,65.0,13.0,1.6891095137826944,3.4423197078493146,15.955180488767535,7.69094441484066,402.2642624827214,1619.4291546366792,0.9091602694395882,0.9508279606472126
6,241,-5.332372887407338,5.332372887407338,True,1.4054802547898757,0.3522595571400393,0.8986840394504978,0.1850943431273347,70.0,12.0,1.1948929125941263,3.3734837485886917,16.2130579521111,8.122541041482496,392.2152092199778,1297.6829683703259,0.873662282068792,0.9966740442975963
7,11,-5.330032266902808,5.330032266902808,True,1.4543330450014966,0.37923608103355605,0.8485482126254092,0.23599601064736056,76.0,17.0,1.223459737859574,2.933485860804642,12.107124153836699,8.533088952858064,472.8994894875414,1818.0786294942009,0.7419158778774722,0.9061379982414328
8,228,-5.325096370081204,5.325096370081204,True,1.4362944477478738,0.3709643378922368,0.8246022846210336,0.2959072244293492,64.0,13.0,1.4754371507010915,2.4170170450233637,15.274412129144103,9.202043415134439,403.95279859703464,2190.690615947425,0.8495397860121453,0.7580504734083495
9,64,-5.324074270051579,5.324074270051579,True,1.4483859687771543,0.38100995926632997,0.7793951553846065,0.17030455101859485,63.0,9.0,1.6198345875441549,3.580766125706397,16.74764281698301,10.566493976749534,355.9147127886826,2892.9358538451565,0.8225427060362376,0.9847675016565316
10,130,-5.323819619679684,5.323819619679684,True,1.519655382344766,0.3684971746404688,0.887768277229597,0.2840626702485324,95.0,13.0,1.405990368663266,3.3373006088740222,17.408709528484568,10.545575428976003,351.81911654035554,1745.655921912009,0.8614869938626247,0.8022005207537428
11,176,-5.32177439554391,5.32177439554391,True,1.4806249057400767,0.3556011816943675,0.8913856411313539,0.1359107969869857,88.0,9.0,1.3625284214012394,2.4291814858207728,13.936533032682954,6.577637018556249,447.08626756982085,2165.3758973909876,0.8535815587965054,0.9453588431023714
12,81,-5.312953863560491,5.312953863560491,True,1.4831599044615198,0.39344453584849903,0.8798866151754838,0.23614368870921876,77.0,13.0,1.2917471130766651,3.1807092955869463,18.01476488542769,9.340465432476606,356.1451183262747,1150.6564381381097,0.842316647911014,0.8488503627524053
13,39,-5.307505108073061,5.307505108073061,True,1.5090606542370928,0.34851312680314867,0.6626858198279968,0.23517730098813933,46.0,13.0,1.1460351655055634,2.3896185326566233,14.37145957023847,10.227005622878501,416.41277387509035,1819.554434656191,0.8396816451292863,0.7773777585308177
14,57,-5.307203065925307,5.307203065925307,True,1.4863212443541987,0.3751537020921153,0.8529158710538531,0.26169654854880564,67.0,9.0,1.078989194132203,3.381417233051177,16.2818277987188,11.740654223323446,344.3713839158086,2198.722972062668,0.9748590471628056,0.8277426673214208
15,223,-5.301663724435256,5.301663724435256,True,1.4971018682659893,0.39539978504072604,0.8785834214247465,0.2856613393078898,59.0,12.0,1.034972862358128,2.033593676437117,15.29430921008496,9.842931434675716,383.1788859145704,1294.2970513182934,0.805232720494383,0.8385815537835505
16,194,-5.301007119167723,5.301007119167723,True,1.50797162723644,0.3741266446925061,0.7266323488725831,0.17645770949843426,83.0,17.0,1.2624637708746116,2.586291439582569,17.263240793493317,6.909363668534469,399.9429069174021,2289.8591085090648,0.9405009721952919,0.8869355671408218
