epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,5.296217512951018,-5.296217512951018,False,0,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
1,1,5.253536570412061,-5.253536570412061,False,0,1.3784447503822839,0.3566798815927864,0.6762279938205304,0.27245332447637527,75.0,16.0,0.8208245931412288,2.772271757024816,22.50969408545643,13.035068567949454,293.4191874752974,1014.8277133703232,0.8830156118402966,0.8338920660316944
1,2,5.30835882135391,-5.30835882135391,False,0,1.4719673923576597,0.39736262898628594,0.8020437197471212,0.12017082672249949,78.0,14.0,1.6618307638903504,3.3839262161444785,18.182245230947814,8.391569157862829,399.93088936091397,2092.3221232935316,0.798911610976582,0.7564359474832887
1,3,5.059665871121719,-5.059665871121719,False,0,1.4532632468220115,0.363218900573781,0.8830566761473415,0.17284953566465408,71.0,19.0,4.278861556814741,2.020394242573559,13.79881466132797,9.679736378685433,344.34221083491815,2643.1368859383792,0.908866445975721,0.6801687437591236
1,4,5.149674120556936,-5.149674120556936,False,0,1.468001307845622,0.3771897128224373,0.7809695864388678,0.13811078236995514,65.0,14.0,0.7814143383628869,4.3717307241971035,19.68282813719749,11.197879615496186,408.3042548072859,1534.614125932676,0.8157472984778831,0.6703156083334775
1,5,5.202410916177454,-5.202410916177454,False,0,1.390038643464454,0.3897635401465972,0.7777765580915701,0.15511288499420442,78.0,23.0,0.6337018769978142,3.440318348880691,23.43419817383574,15.424023600308479,296.7475756682518,1271.1888667750814,0.8053101682373633,0.6990213055006642
2,0,5.296217512951018,-5.296217512951018,False,0,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
2,1,5.3670187200860475,-5.3670187200860475,False,0,1.4434903194158573,0.3976077051098583,0.8081516394851809,0.2563319172334537,76.0,18.0,1.5937101923213994,3.882548428927484,19.1494514280011,9.757639808291497,373.4057104085259,1800.7610083294426,0.8835706603381439,0.8117855767834571
2,2,5.373810824428688,-5.373810824428688,False,0,1.4327404494363383,0.38490194924813276,0.811399586591821,0.2893556396493568,86.0,17.0,1.562456912532022,2.939876275969093,16.490672688731138,6.862840734450524,401.4304352081216,1764.4874689813398,0.8802993977063654,0.9755514922514716
2,3,5.322371191335607,-5.322371191335607,False,0,1.3780066930135002,0.3935535180763741,0.8907233327733395,0.20983842051242338,70.0,19.0,1.4015576184674412,2.4348359098082213,14.3889479766238,11.206787752190221,344.9389505978437,1087.3037998761965,0.9457936725125105,0.7958753366256658
2,4,5.3285109080979165,-5.3285109080979165,False,0,1.4707767424696458,0.3734836689626467,0.8361439517150164,0.11103956699185595,74.0,17.0,1.471325617758119,1.8048163382658258,14.91432570816486,11.748794334692128,296.3062322600349,1076.6526630608691,0.9733007789985664,0.8804302516818707
2,5,5.3247224955603025,-5.3247224955603025,False,0,1.4690761322950365,0.39786887431567514,0.6609234850183264,0.11330886791124656,70.0,20.0,1.148055399665902,3.864540223663277,17.372932080846176,12.788673860877287,337.6960904255063,1077.5899569840649,0.8927695566832334,0.8317548701252204
3,0,5.410509556616381,-5.410509556616381,False,0,1.5025768338971752,0.3876957384401354,0.7721490940661184,0.1869710642377479,72.0,20.0,1.6432884818856517,4.2588936464034495,20.43630914037298,10.782701433478126,358.964780653301,2875.225019700387,0.9443781845306207,0.8562243289245697
3,1,5.370352088754675,-5.370352088754675,False,0,1.5128736464115056,0.3606674731331162,0.8585194881615315,0.19525416867703344,83.0,17.0,1.4126540057670838,3.539046551246013,17.060095906280008,8.418182810175152,397.8265961198241,2388.6237936980297,0.928016724464793,0.9510915963690254
3,2,5.373810824428688,-5.373810824428688,False,0,1.4327404494363383,0.38490194924813276,0.811399586591821,0.2893556396493568,86.0,17.0,1.5624569125320222,2.939876275969093,16.490672688731138,6.862840734450523,401.4304352081216,1764.4874689813398,0.8802993977063654,0.9755514922514716
3,3,5.388875039477882,-5.388875039477882,False,0,1.4695373383252877,0.39996634920897894,0.8624821518178298,0.12970271787032975,85.0,15.0,1.672691664686755,4.4495011651928404,14.505853611768647,10.772759727276743,353.4913980088917,1356.3314113544825,0.9750339579007254,0.9581653761436106
3,4,5.342932157536588,-5.342932157536588,False,0,1.455851316147327,0.3602170808974635,0.8481014507373168,0.17465026905024267,75.0,13.0,1.654699269466653,2.219296407708169,15.452953877410202,11.008624454144908,330.1645090261329,1533.0344075566295,0.9948282513093383,0.8804402858108169
