generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,1024,26.49962059990503,38.642062671782924,4345.937778384425,8.33893655482168e-06,-4.991583737801608,4.991583737801608,1.4191598705444486,0.3276609345525503,0.8730830390006306,0.26645533621311185,97.0,6.0,4.9462201544083655,2.554007197730243,19.376507345587015,14.959004892503753,357.52154663205147,2761.6053204983473,0.6489735902287066,0.7051761322654784
2,0,1536,39.64932080009021,38.73962955745021,4321.775967209833,6.8649486789946995e-06,-4.991583737801608,4.991583737801608,1.4191598705444486,0.3276609345525503,0.8730830390006306,0.26645533621311185,97.0,6.0,4.9462201544083655,2.554007197730243,19.376507345587015,14.959004892503753,357.52154663205147,2761.6053204983473,0.6489735902287066,0.7051761322654784
3,0,2048,55.488624799996614,36.908465606812534,4522.322921199724,5.8036492324954165e-06,-5.029157572476188,5.029157572476188,1.4224834716305166,0.3554879054583313,0.8692189751428284,0.23980505295761978,59.0,17.0,1.2401596961388717,2.6741127094631545,16.10672190608099,12.517167127294524,369.6643225848675,2417.7155126775947,0.8069347940347739,0.507117035962199
4,0,2560,69.53618180006742,36.81536624142797,4519.851817004383,4.957300522852899e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
5,0,3072,79.11430989997461,38.829890621355034,4272.172734598629,4.398614548062821e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
6,0,3584,92.77109370008111,38.632723373798775,4280.723323589457,3.913522452110797e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
7,0,4096,107.63897210010327,38.0531318730056,4332.468627029157,3.2532215142520266e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
8,0,4608,122.57434449996799,37.59351125880345,4371.818287165525,2.7088171187453723e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
9,0,5120,136.7702367999591,37.43504522470441,4376.647577598691,2.494821036735824e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
10,0,5632,148.88760940008797,37.82719074268831,4317.740672602551,2.3129638301303927e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
11,1,6144,186.91791069996543,32.8700442723338,4953.324633549084,8.474279385593992e-06,-5.116868123845454,5.116868123845454,1.3447688204292207,0.3271902988851071,0.7635891281068325,0.24143777938559652,71.0,17.0,0.5919723981060088,2.0858666100539267,21.55908168759197,12.702436297911941,260.3440738283098,1017.9023612290621,0.8891356620006263,0.8761138315312564
12,1,6656,189.73662610002793,35.08020637244282,4626.654651823758,7.268896975870176e-06,-5.116868123845454,5.116868123845454,1.3447688204292207,0.3271902988851071,0.7635891281068325,0.24143777938559652,71.0,17.0,0.5919723981060088,2.0858666100539267,21.55908168759197,12.702436297911941,260.3440738283098,1017.9023612290621,0.8891356620006263,0.8761138315312564
13,1,7168,193.2819225001149,37.0857238342905,4362.649107859736,5.8938574483374345e-06,-5.116868123845454,5.116868123845454,1.3447688204292207,0.3271902988851071,0.7635891281068325,0.24143777938559652,71.0,17.0,0.5919723981060088,2.0858666100539267,21.55908168759197,12.702436297911941,260.3440738283098,1017.9023612290621,0.8891356620006263,0.8761138315312564
