case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,status,full_trim_velocity,full_trim_alpha,full_trim_elevator,coarse_trim_velocity,coarse_trim_alpha,coarse_trim_elevator,coarse_CD,coarse_D,coarse_CD_wing_profile,coarse_CD_wing_induced,coarse_CD_tail_profile,coarse_CD_tail_induced,coarse_CD_body,coarse_D_wing_profile,coarse_D_wing_induced,coarse_D_tail_profile,coarse_D_tail_induced,coarse_D_body,full_CD,full_D,full_D_profile,full_D_induced,full_D_wing,full_D_tail,full_D_body,error
0,0.8715402700129861,0.3181621972489185,0.7977672647345363,0.2259469548546263,8,9,4.03236563626821,5.275465240880569,ok,29.917781342601465,-0.046411849509582964,-1.4156081762339014,30.017322575209583,-0.03536993923816515,-1.5371612013922067,0.01750703174245239,2.661419997203615,0.006432874787898217,0.004513160316865855,0.0019480937651806887,0.00011165599846812642,0.004501246874039501,0.9779260043553804,0.6860908973373477,0.2961493289868963,0.016973951467182356,0.684279815056808,0.018450603428712728,2.8048598878054873,2.0888187015172517,0.7160411862882357,0.9620183963329593,0.3292647462321224,0.79753555895217,
1,1.5216835716455137,0.23981233604375757,0.5163277216260798,0.20009386017368375,8,3,1.681891111091934,7.238435240264451,ok,29.8833843267229,-0.7819265615304016,-0.6465805223794727,29.817178569459813,-0.8473890635474196,-0.570815532394048,0.01479898451456083,2.9538840301474107,0.007128681668373928,0.0013466756237734588,0.002760735163659123,0.00014252277837861616,0.0034203692803757044,1.4228880985378363,0.2687970661054016,0.5510439924695795,0.028447611291883716,0.6827072617427093,0.014257913118138843,2.8458839726729255,2.6039016216233324,0.24198235104959315,1.3971760810342506,0.5180518548490398,0.688673685740042,
2,1.7144713439969608,0.258478355845525,0.44901266266069617,0.11076963094344668,9,9,4.224621597021677,1.6314154273117378,ok,29.591634372097687,-0.9823050570638827,-0.7180114857917509,29.41473817067356,-1.0280597312463917,-0.5378735332353285,0.014551490339838324,3.4586441905988106,0.006960154497661576,0.0010522139686108393,0.0034703582402971,0.0002522331522145962,0.0028165304810542128,1.654311507399513,0.25009353989257654,0.8248457090501449,0.059951572396338575,0.6694418618602374,0.013430273186002956,3.1921475560497643,2.9973289388034585,0.1948186172463063,1.6527576939004236,0.7144383527781276,0.6301328921249073,
3,1.3592799124713257,0.15566101149139105,0.41005465421717213,0.1625617006328319,6,10,2.476167112055384,2.673622259725164,ok,30.427710372714024,0.030507567988525237,0.19653602243244955,30.39131588370829,-0.07943298726251465,0.31833476361237706,0.01883534807510127,2.2599927085068923,0.00833849088920806,0.002072609128226093,0.0025225881070590566,2.636513227829591e-06,0.00589902343738023,1.0005086465310808,0.24868568919985898,0.30267721657111024,0.00031634672462748265,0.7078048094802147,0.018266510632845005,2.1917382269299486,1.893989443667964,0.2977487832619844,0.9752314515436297,0.32788462578260824,0.5908733663417259,
4,1.2055795710558828,0.26550443226819975,0.31768609422567623,0.27047299037629424,4,2,4.061396506276465,9.490302282516907,ok,29.797263470884516,-0.2597347091906567,-1.284669070494321,29.635053167793608,-0.2934867892822586,-1.2013491086146222,0.018314218651825087,3.1879749897845158,0.006874992758858587,0.0027441092667831587,0.004524620890162512,0.0002710649764842876,0.0038994307595365384,1.1967371028414948,0.4776699392998044,0.7876054398125902,0.047184560917771984,0.6787779469128536,0.01693799461379455,2.9484122158877937,2.5659196984995862,0.38249251738820744,1.1598901643776294,0.6900536016788149,0.7159759324431418,
5,1.7167737840109059,0.3229131523835297,0.8924179656516358,0.23039434244141982,7,6,4.348021868416848,8.256870077578226,ok,29.27210088300952,-1.4264292400069785,-0.4446599374134336,29.38849216367936,-1.3723327044253177,-0.45019216331294265,0.01166333674613531,3.393403484686115,0.00644886372080741,0.0007203191622009184,0.0020414258773752704,0.0002012377823550987,0.002251490203396613,1.87627238231846,0.20957412173739376,0.5939450979419818,0.05854936771165191,0.6550625149766279,0.012263115496204137,3.5679043732415847,3.3713012501462014,0.19660312309538328,1.9741056682853553,0.5540145761508705,0.8431810057099755,
6,1.3008472564461542,0.14901117258071933,0.5444485595811379,0.17946382174859163,5,4,4.38972390074183,1.9865410517471127,ok,30.48806265675428,0.20090283662994202,0.2492917485538065,30.508060512864645,0.1199565267509684,0.47225594780079716,0.019075500933607225,2.1051683827975665,0.008474701607598648,0.0023350543206367602,0.001818541819533282,8.124515226170337e-06,0.006439078670612366,0.935266336651148,0.25769611739311693,0.2006939033790645,0.0008966198391968993,0.7106154055350403,0.019196851603256074,2.118559158049148,1.7947521501278039,0.3238070079213437,0.9182325922816239,0.24512037336212164,0.6313991844840584,
7,0.9745212671180152,0.27345178468333686,0.49147258583589437,0.1871609236514737,5,3,0.6297493843992703,2.842675842797416,ok,30.056560252152643,0.03804724464703071,-1.3821517944224107,30.001313426780488,0.005069730970218666,-1.4501487040799805,0.0184774699186493,2.7245779341289014,0.006780407246666941,0.004031236126875394,0.0028525673442236,0.00012947599143700044,0.004683783209446365,0.9997985682028308,0.5944221285113499,0.42062263263889743,0.01909176044241133,0.690642844333412,0.017896534829665512,2.6389148790117893,2.0678769640215178,0.5710379149902712,0.9665292831215522,0.4250105573723409,0.676337123527625,
8,0.8338205267907275,0.2218235601745025,0.8266636365608011,0.0925679855868219,5,1,1.3397178167498054,4.03995001754308,ok,30.271123587897684,0.9143931711700508,-1.331321291407706,30.37501119652475,0.7825856052619045,-1.4780125762104506,0.022029556426835673,2.286910568386748,0.007302621218429821,0.006584689090337096,0.0013911138613116353,2.921850658636463e-06,0.006748210406098485,0.7580925061663314,0.6835632446910709,0.14441293912697475,0.00030332027667809525,0.7005385581256929,0.022935917479556717,2.3809991867251314,1.610852701928059,0.7701464847970727,0.7305576116871035,0.19828333746642796,0.6820117527745274,
9,1.1511269950763343,0.27386953846478734,0.3264614132461098,0.1782925492483824,5,5,2.9493185704490403,9.03586029906277,ok,29.841921367849235,-0.20616290233072837,-1.3733943186764814,29.641019502005808,-0.22467724297448688,-1.303025691514248,0.018514090964608813,3.183677133817123,0.0067942747449372485,0.003020414324013247,0.004458544636369214,0.00028170776948416185,0.0039591494898049435,1.1683413021831246,0.5193894767178409,0.7666899031686575,0.0484423775296224,0.6808140742178779,0.01683697774068537,2.8952792876218307,2.4780735016833937,0.41720578593843766,1.1340272531083653,0.6764518654212386,0.6675943831537896,
