generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,1024,10.052901599789038,101.86113828285048,1502.9087891684612,0.0,-1.5,1.5,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,5.0,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
2,1536,13.92024359991774,110.3428965861687,1382.7441975918289,0.0,-1.5,1.5,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,5.0,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
3,2048,19.87314059981145,103.0536663147963,1475.5806895360001,0.0,-1.5,1.5,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,5.0,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
4,2560,26.340463199885562,97.18887555519989,1559.3554214332253,0.0,-1.5,1.5,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,5.0,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
5,3072,35.181463699787855,87.3187092559348,1729.7552985729028,0.0,-1.5,1.5,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,5.0,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
6,3584,42.22712849988602,84.87434801562871,1773.539396995213,1.337820886864891e-06,-1.5,1.5,1.1110119932014495,0.3401652028784156,0.6489953299174425,0.21746131543088232,5.0,21.762287344305904,1.9164880434312237,19.93866381683686,11.000363538154987,444.37905609254165,1793.6371471732855,0.8883133032359183,0.9516098366713768
7,4096,49.88709459989332,82.10540286723291,1827.1148397210927,1.0890876320191877e-06,-1.5,1.5,1.1110119932014495,0.3401652028784156,0.6489953299174425,0.21746131543088232,5.0,21.762287344305904,1.9164880434312237,19.93866381683686,11.000363538154987,444.37905609254165,1793.6371471732855,0.8883133032359183,0.9516098366713768
8,4608,58.434185799909756,78.85794825273524,1895.8646948415164,7.677999930747735e-07,-1.5,1.5,1.3622844132946847,0.3074893985512306,0.6489953299174425,0.1529758222963924,4.0,20.581596057107898,1.8496309124704169,17.33357779063068,11.000363538154987,477.15151594271083,1785.8689398584593,0.6821524101627372,0.6085829141460595
9,5120,64.35680229985155,79.55646982186698,1872.7829469256803,9.282602072709223e-07,-1.5,1.5,1.3622844132946847,0.3074893985512306,0.6489953299174425,0.1529758222963924,4.0,20.581596057107898,1.8496309124704169,17.33357779063068,11.000363538154987,477.15151594271083,1785.8689398584593,0.6821524101627372,0.6085829141460595
10,5632,70.51051449985243,79.87461217591579,1858.9135640870188,5.764256376782166e-08,-1.5,1.5,1.3622844132946847,0.3074893985512306,0.6489953299174425,0.1529758222963924,4.0,20.581596057107898,1.8496309124704169,17.33357779063068,11.000363538154987,477.15151594271083,1785.8689398584593,0.6821524101627372,0.6085829141460595
