extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
0,1.5,-1.5,3,88,1.3171269958911151,0.38081365635637066,0.8729932440172421,0.13683981334717885,20.603420309005358,2.4118139843401813,19.335552628148527,8.75030843792584,213.43588791787624,2083.024251833168,0.6257001570334283,0.6578310704814745
1,1.5,-1.5,1,454,1.1337761367750696,0.3190442368171688,0.8483606401830912,0.2780208249013604,18.641437282451854,1.148433627580302,23.834450663038865,17.41930262409977,358.6025780066848,2068.023620522205,0.7477317223047186,0.9997075136192202
2,1.5,-1.5,1,3,1.0320056360966336,0.3442017530948439,0.8466563898214341,0.12730034910142424,19.165626998835727,2.0707328827120364,12.85685851238668,6.471303342493703,250.62289591878653,1332.6680584720953,0.7005091795489862,0.8439588522466648
3,1.5,-1.5,1,14,1.07450568338048,0.363497994315272,0.8085935358172384,0.10752046758309008,21.387982245628873,1.4055091470984422,19.854507903793845,14.866463986409407,438.2932172603687,1849.0508484581742,0.8295806801392466,0.7204812164418399
4,1.5,-1.5,1,144,1.2532941611725839,0.3729149773943151,0.8946678115152646,0.13300165378657725,18.744083773162057,4.138099251211983,19.592843555107194,9.03403767105192,473.5949104600949,1797.1573815725271,0.9357473472985395,0.7652674657292664
5,1.5,-1.5,1,0,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
6,1.5,-1.5,1,437,1.2077250890356983,0.299397431918648,0.8769650512370782,0.09197348678035988,18.730263204801734,2.9527166852460183,22.009670497958396,12.67714790172662,485.39798064157367,2428.906239569187,0.7683949180324541,0.9674773499600116
7,1.0265,-1.0265,1,230,1.0261600903198125,0.39164881300181154,0.868961600214243,0.12926018016412855,9.553775021255888,1.7481948444619775,18.337770397774875,9.582397198304534,478.48614482209086,1385.1711060851812,0.8076201458461583,0.6697756587527692
8,-6.36978010195566,6.36978010195566,6,210,1.3134907054478582,0.3179588111710728,0.7889159154892568,0.23379623469868077,6.440660602467461,1.699320260843086,19.995689535769152,12.734599559053729,414.8156387289381,2242.8006006587866,0.9086550406424287,0.9238236744287203
9,-4.290651084795354,4.290651084795354,4,17,0.9887365476563574,0.34809726264627244,0.7662933548319274,0.11050168667218498,8.193612439000173,1.7894366048643062,19.951900273303753,13.135193413322126,454.54389714990907,1876.1144261876768,0.9256951742347332,0.7307456584590072
10,-8.51275,8.51275,5,468,1.2261319670220234,0.21783653252914253,0.8919987853844225,0.0929850912371331,17.91284205491669,1.2797577297436453,19.291146271282624,11.86378793784384,481.799722115105,2283.075710758567,0.9520247728401245,0.7612914077111457
