epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,4.817148901339286,-4.817148901339286,False,0,1.3659819735761662,0.3985360010837468,0.7824833567911174,0.15286163326420976,0.0,0.11112550296522675,1.4027886826211766,0.4027216155944089,3.293863819912076,12.672950521869055,6.93482829840763,598.1228294041061,1370.03112770617,0.6987291346304119,0.5977085760916259,8.0
1,1,5.309649288718349,-5.309649288718349,False,0,1.4850285708425124,0.2300029654202906,0.5882681802031761,0.24731135585663977,0.0,0.12394885893255977,4.159300998235374,1.8994802952322765,3.55907574822064,11.998498137812746,8.497066281793721,523.756311365036,1584.2350409077626,0.9705588529698579,0.8535841540034614,6.0
1,2,5.14014864274722,-5.14014864274722,False,0,1.7918882541645318,0.20386918073461432,0.5610395145891047,0.17692734582389114,0.0,0.19165175214436037,3.4503212043778175,0.9218519511980876,4.295719507812857,21.948392273665398,16.10791008937439,291.9538308261558,1788.1238331108323,0.8968027908880756,0.7814297839067876,6.0
1,3,-0.28847525705089705,0.28847525705089705,False,0,1.470565930467844,0.3703649005666375,0.5320733226835728,0.14605962015688417,1.0,0.04603718332257123,1.648079757748043,0.3370103207791768,3.3188497335650027,18.775573894381523,13.528715672274163,284.0135006699711,2864.409625530243,0.8790492890402675,0.9255994008854032,6.0
1,4,1.750818264035753,-1.750818264035753,False,0,0.9845981956448274,0.29047812822776303,0.33993087196744365,0.21716672947630283,0.0,0.34347262692786745,2.097010791906481,1.888666585162282,3.378378378378378,23.189620311252696,15.673758468226842,212.2871395210691,1316.7484846608215,0.8281640428902577,0.8763545162720441,8.0
1,5,-3.313152387119213,3.313152387119213,False,0,1.1160413314029576,0.2547266055643559,0.7437444739043713,0.23311549209058285,2.0,0.07801939722504464,0.2796476912060637,0.2312266501644178,3.6502862460911274,13.726388053037226,10.876165075587824,610.4445730801672,1204.0675673633814,0.5226249252445996,0.5622781040146947,6.0
2,0,5.023329716662503,-5.023329716662503,False,0,1.6322483096596905,0.2425411350416395,0.7668286395121655,0.2886133922524602,0.0,0.1456171069693197,2.0086126879168553,1.866315866945392,2.6955558780665707,14.428447405125162,9.586350801829822,465.9349048766904,1208.6814775014561,0.6799963472894806,0.562647687867478,8.0
2,1,5.309649288718349,-5.309649288718349,False,0,1.4850285708425124,0.2300029654202906,0.5882681802031761,0.24731135585663977,0.0,0.12394885893255975,4.159300998235374,1.8994802952322765,3.55907574822064,11.998498137812746,8.497066281793721,523.756311365036,1584.2350409077626,0.9705588529698579,0.8535841540034614,6.0
2,2,5.676024648410039,-5.676024648410039,False,0,1.51099367916865,0.35405777572705893,0.4437708371261109,0.14939576099358703,0.0,0.31871978706790227,7.2717246378922,2.1217709062072547,3.7473148230713242,17.21065544358665,9.70593847987977,427.47209111528997,1704.9116551518148,0.7890951771930745,0.7793817559383309,6.0
2,3,5.267651384094838,-5.267651384094838,False,0,1.3977488161635516,0.295218106334668,0.46175066775677925,0.17419770000502466,0.0,0.25524013410813057,4.020244741744791,2.036449083076942,3.4957342103621025,15.19922593773914,11.038994152416187,372.7336774256345,2693.2703055624206,0.8372661393282657,0.8555784539886873,6.0
2,4,5.115424950151048,-5.115424950151048,False,0,1.1010241970438595,0.3973516476080327,0.3658034890204019,0.28754083898422544,0.0,0.43627883740645174,3.041807985266132,1.6069071537122515,3.37735754207817,19.30431867328378,13.779194030804756,253.30912902810655,1898.446799272827,0.8324958149133938,0.8116552251507376,8.0
2,5,4.90521931065952,-4.90521931065952,False,0,1.7373084307674262,0.24882010521553466,0.7952400357997301,0.2638651238636004,0.0,0.41566277893996817,1.9896338251435282,0.46328070980575475,4.417748007923365,17.345822826953732,12.358984119943361,532.8999509269358,2217.1563263982534,0.649577552309397,0.5286302897147834,6.0
3,0,5.458780105562528,-5.458780105562528,False,0,1.4912145010167819,0.32592192466005093,0.7477852406159575,0.16563984757613878,0.0,0.31240347098523963,4.86114531359804,2.683077681544022,3.186953221424306,13.979416064983122,9.189835605053947,352.3358387018517,1802.4981227287267,0.8619777889708977,0.8045983367172933,8.0
3,1,5.944676047299859,-5.944676047299859,False,0,1.5953717536367644,0.35483184380379973,0.7248474623875292,0.1752618949644397,0.0,0.45267184660713206,7.294970475120078,5.20969500468276,3.888064601458179,15.377162759171384,10.516505608196233,477.0197601392666,2428.7007095273675,0.8185806045281837,0.6601860602525473,6.0
3,2,5.676024648410039,-5.676024648410039,False,0,1.51099367916865,0.35405777572705893,0.4437708371261109,0.14939576099358703,0.0,0.31871978706790227,7.2717246378922,2.1217709062072547,3.7473148230713242,17.21065544358665,9.70593847987977,427.47209111528997,1704.9116551518148,0.7890951771930745,0.7793817559383309,6.0
3,3,5.678141378811788,-5.678141378811788,False,0,1.6345246668639204,0.2919715263450623,0.661317521448818,0.1083307768478248,0.0,0.3420886586527921,5.834554837596896,4.505887726918319,3.8154245493577794,16.83838229259312,7.9696394436932065,548.0121565003859,1978.4339260629267,0.7194075898617487,0.6949750853069766,6.0
3,4,5.174063521251874,-5.174063521251874,False,0,1.5790664592009036,0.342549231888973,0.702336767092607,0.28592271520249657,0.0,0.5917709815400929,3.466198797194652,1.3477983005258025,3.360976378528142,20.37205573841259,14.547786362454056,285.22410668146915,1114.1922146078423,0.7996587631093437,0.6531080252381352,8.0
3,5,5.581859773184388,-5.581859773184388,False,0,1.3518234517025627,0.2474873739071318,0.44617637190967796,0.19050877977957464,0.0,0.17539325965433097,4.919661914232241,4.403429646756179,4.137307847870681,12.873847156691905,8.252144499251573,591.7647456652754,2179.140577064773,0.9153581141417434,0.7492036001426587,6.0
4,0,6.018606351820278,-6.018606351820278,False,0,1.61920391848743,0.34371102490859917,0.42823052611115076,0.24125086960674905,0.0,0.23163794945896052,7.311212315290238,5.844208185443896,3.166666309117713,14.424826073485296,7.03860011811462,453.01595284294496,2256.73369249665,0.9075133214865088,0.7336258771935233,8.0
4,1,6.074994083231351,-6.074994083231351,False,0,1.7646753314416186,0.36986419974355944,0.5639354584899793,0.13400240618516948,0.0,0.4811268534656235,8.21549368048464,5.099462579078219,4.499722825574532,17.64107979085669,13.730802814788756,401.3909971923033,2072.131088841288,0.712316620297524,0.6053091039390187,6.0
4,2,5.809842985229014,-5.809842985229014,False,0,1.5920700328902648,0.39526080923854945,0.33917470361366586,0.13613450345801473,0.0,0.4061244857390275,8.315467784162587,1.5149909339056897,4.145651328679946,17.443753792218114,10.247042492059222,420.0389063519218,1910.327033211926,0.8621127118144795,0.7681230125017464,6.0
4,3,5.896455762493628,-5.896455762493628,False,0,1.4588860897461593,0.33812988538098687,0.482098100871978,0.10529457980547459,0.0,0.4953928516741528,6.8906137413501956,6.003652851626493,3.964776627120055,15.985451195432242,7.240947004934814,516.4549850497729,2159.216450378696,0.891217280545152,0.8106782232194001,6.0
4,4,5.218082011697238,-5.218082011697238,False,0,1.7239019899931516,0.27869842935376243,0.6467329359572462,0.2765200393919437,0.0,0.537421125450946,2.9555296284220027,2.884125153068938,3.365095645920587,14.487966450873941,9.52295300328033,311.4258487059046,2170.5081833405616,0.8318130983805746,0.8976431214759888,8.0
4,5,5.808872416837544,-5.808872416837544,False,0,1.7079811738083497,0.21376036501717965,0.4221940434115896,0.29413246287302564,0.0,0.17439182241840256,6.0612351407498775,5.5086390200556945,3.6782808509665106,13.343638395861385,7.159108835610485,616.4643889815695,1783.6083125486825,0.8948930980806773,0.7717762439285626,6.0
5,0,6.018606351820278,-6.018606351820278,False,0,1.61920391848743,0.34371102490859917,0.42823052611115076,0.24125086960674905,0.0,0.23163794945896052,7.311212315290238,5.844208185443896,3.166666309117713,14.424826073485296,7.03860011811462,453.01595284294496,2256.73369249665,0.9075133214865088,0.7336258771935233,8.0
5,1,6.074994083231351,-6.074994083231351,False,0,1.7646753314416186,0.36986419974355944,0.5639354584899793,0.13400240618516948,0.0,0.4811268534656235,8.21549368048464,5.099462579078219,4.499722825574532,17.64107979085669,13.730802814788756,401.3909971923033,2072.131088841288,0.712316620297524,0.6053091039390187,6.0
5,2,5.809842985229014,-5.809842985229014,False,0,1.5920700328902648,0.39526080923854945,0.33917470361366586,0.13613450345801473,0.0,0.4061244857390275,8.315467784162587,1.5149909339056897,4.145651328679946,17.443753792218114,10.247042492059222,420.0389063519218,1910.327033211926,0.8621127118144795,0.7681230125017464,6.0
5,3,5.896455762493628,-5.896455762493628,False,0,1.4588860897461593,0.33812988538098687,0.482098100871978,0.10529457980547459,0.0,0.4953928516741528,6.8906137413501956,6.003652851626493,3.964776627120055,15.985451195432242,7.240947004934814,516.4549850497729,2159.216450378696,0.891217280545152,0.8106782232194001,6.0
5,4,5.218082011697238,-5.218082011697238,False,0,1.7239019899931516,0.27869842935376243,0.6467329359572462,0.2765200393919437,0.0,0.537421125450946,2.9555296284220027,2.884125153068938,3.365095645920587,14.487966450873941,9.52295300328033,311.4258487059046,2170.5081833405616,0.8318130983805746,0.8976431214759888,8.0
5,5,5.808872416837544,-5.808872416837544,False,0,1.7079811738083497,0.21376036501717965,0.4221940434115896,0.29413246287302564,0.0,0.17439182241840256,6.0612351407498775,5.5086390200556945,3.6782808509665106,13.343638395861385,7.159108835610485,616.4643889815695,1783.6083125486825,0.8948930980806773,0.7717762439285626,6.0
