generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,512,4.399014800000259,116.38969707489274,85.78078860000505,0.0,-4.607814477245376,4.607814477245376,1.1872635531862974,0.36914090904114216,0.7833632355188025,0.26139696119353173,50.0,6.0,2.542441898956895,2.0314797782339156,23.038382235494357,13.753546849824488,272.0061318160552,1505.391930584949,0.7947930747685397,0.5812076276279214
2,768,5.371615400000337,142.97375050342433,68.0404617333376,0.0,-4.607814477245376,4.607814477245376,1.1872635531862974,0.36914090904114216,0.7833632355188025,0.26139696119353173,50.0,6.0,2.542441898956895,2.0314797782339156,23.038382235494357,13.753546849824488,272.0061318160552,1505.391930584949,0.7947930747685397,0.5812076276279214
3,1024,6.534447299999556,156.70797436840138,60.44363752499589,0.0,-4.607814477245376,4.607814477245376,1.1872635531862974,0.36914090904114216,0.7833632355188025,0.26139696119353173,50.0,6.0,2.542441898956895,2.0314797782339156,23.038382235494357,13.753546849824488,272.0061318160552,1505.391930584949,0.7947930747685397,0.5812076276279214
4,1280,7.542703899999651,169.70041737951018,54.307468079997484,0.0,-5.03899480069324,5.03899480069324,1.367442278809491,0.37514038248424014,0.8932891516894333,0.25063964081128004,105.0,15.0,2.8178209930232962,3.7384890148329966,21.870132976548113,15.807155336910517,273.69998636952977,1589.017429557304,0.8676107024514184,0.608368386776335
5,1536,8.838676100000157,173.78168207792712,51.55894391666758,0.0,-5.12920230964499,5.12920230964499,1.3124477116357602,0.38655941487425993,0.6832017733899894,0.11402962445916286,52.0,17.0,0.8751483626303653,4.483954838823227,17.296935510681415,12.995162978737417,373.0223052929968,1509.8578554547705,0.9121994047224251,0.8407155526902239
6,1792,9.663035700000364,185.448968174663,46.934744828573194,0.0,-5.12920230964499,5.12920230964499,1.3124477116357602,0.38655941487425993,0.6832017733899894,0.11402962445916286,52.0,17.0,0.8751483626303653,4.483954838823227,17.296935510681415,12.995162978737417,373.0223052929968,1509.8578554547705,0.9121994047224251,0.8407155526902239
7,2048,10.50286849999975,194.99434844871655,43.32433256249897,0.0,-5.12920230964499,5.12920230964499,1.3124477116357602,0.38655941487425993,0.6832017733899894,0.11402962445916286,52.0,17.0,0.8751483626303653,4.483954838823227,17.296935510681415,12.995162978737417,373.0223052929968,1509.8578554547705,0.9121994047224251,0.8407155526902239
8,2304,11.582282700000178,198.92451770323,41.18144960000063,0.0,-5.12920230964499,5.12920230964499,1.3124477116357602,0.38655941487425993,0.6832017733899894,0.11402962445916286,52.0,17.0,0.8751483626303653,4.483954838823227,17.296935510681415,12.995162978737417,373.0223052929968,1509.8578554547705,0.9121994047224251,0.8407155526902239
9,2560,12.466979099999662,205.34244739369694,38.64763520999895,0.0,-5.12920230964499,5.12920230964499,1.3124477116357602,0.38655941487425993,0.6832017733899894,0.11402962445916286,52.0,17.0,0.8751483626303653,4.483954838823227,17.296935510681415,12.995162978737417,373.0223052929968,1509.8578554547705,0.9121994047224251,0.8407155526902239
10,2816,13.615354700000353,206.8253131884935,37.132785545455505,5.953984581206606e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
11,3072,14.297206600000209,214.86714754474872,34.55158261666717,5.23099933266562e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
12,3328,14.971053899999788,222.29563945394966,32.245346861538,4.742168187503422e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
13,3584,15.573435199999949,230.13548096312186,30.034482171428472,4.045203765055195e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
14,3840,16.169159500000205,237.48915334776376,28.02654313333369,3.574262799695341e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
15,4096,16.96001830000023,241.50917337158444,26.500028593750358,3.2163299491146067e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
16,4352,17.563047300000107,247.79298977347588,24.794890305882507,3.2163247488563067e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
17,4608,18.204898400000275,253.1186880998979,23.261814622222573,2.9893206295218927e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
18,4864,19.06602380000004,255.11349671135886,22.076448610526363,2.666993174139571e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
19,5120,19.723544800000127,259.5882257432734,20.709722040000134,2.1188732191366905e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
20,5376,20.675991899999644,260.01170952287384,19.691420857142518,1.908806964029286e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
21,5632,21.36201859999983,263.64549649816547,18.449016063636215,1.5491179612801353e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
22,5888,22.00761590000002,267.54374607201294,17.22335157391306,1.4112991787127832e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
23,6144,22.606767899999795,271.77701948273887,16.013127262499854,1.4112948517630414e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
24,6400,23.496952399999827,272.3757486098515,15.03804953599989,1.4112820238118826e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
25,6656,24.127522799999497,275.86752503245543,13.919724692307401,1.259748358802249e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
26,6912,24.80755229999977,278.6248282947312,12.863175266666548,1.2597330520658973e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
27,7168,25.458630000000085,281.554820506837,11.820078214285754,1.0887508458449606e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
28,7424,26.19072750000032,283.4590982629218,10.837542413793237,1.0887267624669457e-06,-5.245271784044753,5.245271784044753,1.5175727532943877,0.36340935229099247,0.6647579735535822,0.16539126570428478,70.0,23.0,0.8716877652923909,2.2376927063365217,12.622838937606467,8.842643203674264,428.6956120084866,1411.8470000819455,0.9870375929607395,0.8390869134018997
29,7680,26.94961820000026,284.97620793751827,9.881526673333427,8.870784352723397e-07,-5.259742965373176,5.259742965373176,1.3896821686571477,0.36069575560738953,0.6030325412828005,0.1397006739402044,55.0,18.0,0.9562163407863316,3.04437670662612,13.267308052505625,9.591193567222973,452.94230887573076,1056.7413242218804,0.9817025109126329,0.901420595167854
30,7936,27.59260379999978,287.61330599760447,8.9008399354838,6.258028076668902e-07,-5.259742965373176,5.259742965373176,1.3896821686571477,0.36069575560738953,0.6030325412828005,0.1397006739402044,55.0,18.0,0.9562163407863316,3.04437670662612,13.267308052505625,9.591193567222973,452.94230887573076,1056.7413242218804,0.9817025109126329,0.901420595167854
31,8192,28.257323099999667,289.90714976819925,7.947372121874906,6.257885336823324e-07,-5.259742965373176,5.259742965373176,1.3896821686571477,0.36069575560738953,0.6030325412828005,0.1397006739402044,55.0,18.0,0.9562163407863316,3.04437670662612,13.267308052505625,9.591193567222973,452.94230887573076,1056.7413242218804,0.9817025109126329,0.901420595167854
32,8448,28.981519599999956,291.4961022264689,7.025822933333323,6.257676748682799e-07,-5.259742965373176,5.259742965373176,1.3896821686571477,0.36069575560738953,0.6030325412828005,0.1397006739402044,55.0,18.0,0.9562163407863316,3.04437670662612,13.267308052505625,9.591193567222973,452.94230887573076,1056.7413242218804,0.9817025109126329,0.901420595167854
33,8704,29.623915500000294,293.81666309438106,6.09904142647065,6.257328230506453e-07,-5.259742965373176,5.259742965373176,1.3896821686571477,0.36069575560738953,0.6030325412828005,0.1397006739402044,55.0,18.0,0.9562163407863316,3.04437670662612,13.267308052505625,9.591193567222973,452.94230887573076,1056.7413242218804,0.9817025109126329,0.901420595167854
34,8960,30.363475999999537,295.0913788658498,5.205167314285635,6.257274841114281e-07,-5.259742965373176,5.259742965373176,1.3896821686571477,0.36069575560738953,0.6030325412828005,0.1397006739402044,55.0,18.0,0.9562163407863316,3.04437670662612,13.267308052505625,9.591193567222973,452.94230887573076,1056.7413242218804,0.9817025109126329,0.901420595167854
35,9216,31.048645199999555,296.8245455038448,4.312311833333272,1.2223397329260515e-05,-5.259742965373176,5.259742965373176,1.3896821686571477,0.36069575560738953,0.6030325412828005,0.1397006739402044,55.0,18.0,0.9562163407863316,3.04437670662612,13.267308052505625,9.591193567222973,452.94230887573076,1056.7413242218804,0.9817025109126329,0.901420595167854
36,9472,31.60441230000015,299.7049877114771,3.416693221621638,1.2529962993229648e-05,-5.29527664172112,5.29527664172112,1.5112091003479013,0.39590799535543253,0.738256136691273,0.28268931940054376,73.0,18.0,1.0970278703736676,3.1572977434296474,16.24383385270528,9.016436555026223,353.17964084013073,1889.0693034507897,0.9880077658861746,0.9958505133693469
