rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,-5.381049561693821,5.381049561693821,True,1.4411815223672657,0.36119483226869864,0.8998286897522982,0.14780217112027216,89.0,20.0,1.4858611240718858,2.338073026394681,18.72709803317923,9.459879193296121,352.6397288813894,1509.257734580368,0.8186803427815266,0.7344425965650598,8
2,139,-5.364574337426668,5.364574337426668,True,1.3839649012788329,0.3741993282990038,0.7386369370616755,0.1462365868263609,61.0,18.0,1.5813746480933841,2.13311796488281,23.39645104673522,11.840345163629713,271.4801765909253,1443.2611218327465,0.9391040490602377,0.8605442771716353,7
3,160,-5.330795713282328,5.330795713282328,True,1.409547466356842,0.350131928491817,0.7559171643610707,0.21450269897977872,78.0,13.0,1.5650211598456003,2.8528890223336862,19.528209010172354,8.913646377657543,372.1335660112025,1341.6362432651497,0.912197914093845,0.9335137515042683,6
4,45,-5.321447682643555,5.321447682643555,True,1.3831161330540611,0.34837247321018705,0.7479879048173561,0.154486823053558,72.0,19.0,1.1626325988388748,2.2227734850297205,18.98708618057503,11.578938335582915,284.36406773075066,1274.2766297407984,0.9706136983040233,0.8865245733724364,7
5,115,-5.303482150359859,5.303482150359859,True,1.3015132978545787,0.3238418284754641,0.767726510508613,0.10523542962384048,77.0,12.0,1.374192208608612,1.829872708763562,20.98585882272346,11.915078263750033,267.66274982148605,1060.1563600808556,0.9593952739139806,0.888207437102108,7
6,36,-5.29851801316506,5.29851801316506,True,1.4470027100764737,0.3343944903640044,0.7810165869201702,0.21913498272770698,84.0,19.0,1.10517345203893,2.4995399096422553,18.20951027745737,10.822650139846036,295.3057984989887,1723.7009736300292,0.9214596828416475,0.8189166933886306,8
7,110,-5.294929751564996,5.294929751564996,True,1.344248786755696,0.31747035888469066,0.7504841219209812,0.28229716876907196,59.0,19.0,1.0876846612279965,2.3148705780392995,17.180753224474138,11.14386812234307,351.7189347088661,1611.8917632005162,0.8589868033217686,0.7861154796627299,7
8,59,-5.289997042641543,5.289997042641543,True,1.5102553457338739,0.37759110808260254,0.7411176918343775,0.1529757441998461,79.0,18.0,1.0546424604707096,2.396304795584012,20.215959309621464,10.793514992279832,291.7417134040607,2164.6183477644595,0.8776430976450096,0.8573291497511484,8
9,184,-5.27078603728157,5.27078603728157,True,1.4214354247660719,0.38699229594733675,0.813341601353365,0.1676804703197231,85.0,9.0,1.602960327258979,2.359584727303605,19.953016190754237,14.812527918817255,251.17795895887565,1781.0674864705086,0.8466717103131229,0.8373289368600036,7
10,196,-5.253167571215919,5.253167571215919,True,1.4692884627047045,0.3118306179090387,0.8290672844368668,0.26776801583303017,64.0,16.0,1.1091447687169178,2.276380586403642,15.983489333912125,10.703020983492639,337.82197435948325,1442.8417706686437,0.9204259492664082,0.813596265063848,7
11,136,-5.200448003658018,5.200448003658018,True,1.5058118075762135,0.3781287342368033,0.6846683162621996,0.2059639944916495,60.0,20.0,0.5472048233150106,2.3827577563478464,19.484453462852258,8.749202234971053,329.8868865998657,1214.3881965731557,0.8914120514505787,0.9183318927750663,8
12,166,-5.192635742281193,5.192635742281193,True,1.3210378606167181,0.34470076132819244,0.8850359711831466,0.24077208610990683,92.0,17.0,0.5695295765708561,2.973949280771387,18.145629226044896,11.122892851628718,340.99203223551615,1241.8352841953124,0.859194118575179,0.8717375444589721,7
13,35,-5.130576739978391,5.130576739978391,True,1.4849811153110073,0.3520069885912521,0.7741483719422044,0.15259506037703469,83.0,3.0,1.2511445895883733,1.81579881221448,17.89780822191635,14.100756729439528,240.223111261991,1220.580699338168,0.9018384807228128,0.8650283422544112,7
14,217,-5.119740839002237,5.119740839002237,True,1.439915976292065,0.3377502220420411,0.7918510562003186,0.19664508239831643,81.0,23.0,0.6794052621825144,2.7250182334540907,18.39184731739938,10.851212048173538,287.0123153876533,1013.2463563158236,0.7848122335116287,0.7984484948824099,8
15,86,-5.112972125453623,5.112972125453623,True,1.370895245585106,0.34472117674412767,0.7591656396979218,0.09997660402200267,84.0,11.0,0.5307803075563378,2.538582522724718,16.64496541728204,8.0829010135663,326.938498611027,2250.334900294486,0.9308692628403197,0.8891121082882023,8
16,244,-5.094045128220189,5.094045128220189,True,1.3760292975594943,0.3897035226195527,0.6075105099724871,0.11583094695133438,56.0,13.0,1.129303497010187,2.455480555987353,17.124577621681254,11.837984317273742,252.52987153493916,1014.8477688089043,0.9055968234076834,0.8849872048044116,8
17,161,-5.081283105228342,5.081283105228342,True,1.455265613985434,0.39563184380218247,0.8620751199462289,0.2779848200818308,44.0,14.0,1.268072441898725,3.6188040004159867,20.572004601575692,10.262473679761698,295.5633339907959,1753.3221307322988,0.843768270063586,0.8529642293569242,8
18,47,-5.080158803365069,5.080158803365069,True,1.3018308187277996,0.3597598725421307,0.7674447400060559,0.27934555602077127,54.0,13.0,0.776808111153239,1.7874814940399815,20.55455018351661,13.671685130364496,267.05363336807534,1319.9650882489689,0.8687620780610472,0.8399062998574358,7
19,229,-5.068119891008174,5.068119891008174,True,1.4707946306979625,0.39156700988322746,0.8735261245486935,0.14766094459217316,60.0,20.0,2.912621530317075,2.0487371374662513,19.804653528188247,12.438830072998238,272.01573942300405,1187.91381895278,0.9580722808419122,0.6821778363769483,7
20,233,-5.068119891008174,5.068119891008174,True,1.479448312610388,0.3953593632503275,0.80746276635033,0.2729886801019834,60.0,20.0,2.9600657616176447,1.9578052396175252,17.73646181987596,13.352940408468731,240.29958851887721,1470.4601878509402,0.8994007733426244,0.7364846173784956,7
21,198,-5.0679524532305535,5.0679524532305535,True,1.3126712088607735,0.35584160972955015,0.694012901861488,0.18743943327169002,50.0,13.0,1.224858508194371,3.4967021531819436,20.966711582288355,11.254405495739482,324.95938825890175,1639.2359690684386,0.8020765875276715,0.7444298280024768,8
22,17,-5.066065773197195,5.066065773197195,True,1.3596357286666583,0.39056421855465856,0.8761001738165817,0.25993090642325795,52.0,15.0,1.2848312132591686,3.7691568754394815,15.724636938850349,9.43615001409748,318.513119310575,1347.9343656850165,0.8401253900579517,0.9476959831219354,8
23,92,-5.065616797900263,5.065616797900263,True,1.3861551331701054,0.3797519388662912,0.6564901262178916,0.15253925108662938,64.0,18.0,0.7215680540028488,1.9280477930335262,18.031073350052786,13.969095266598377,227.30531702777142,1160.5433931078392,0.9108730726699072,0.7825652037686617,7
24,226,-5.064432989690721,5.064432989690721,True,1.4851676895020867,0.37683033009612865,0.773777979027889,0.17211841745750775,66.0,17.0,1.9794468474158817,2.0027384835100843,22.692527599563768,12.216285245557122,237.46649554557482,1058.2973529152569,0.9913967375435044,0.8240433722977492,7
25,171,-5.063819303441569,5.063819303441569,True,1.3319676444465338,0.3898717690553053,0.8337259969827162,0.11066276842254695,58.0,14.0,0.5575360538346374,2.058936820545387,17.664121562080012,11.743126970224951,323.12028277216234,1868.1440169270888,0.7819515543925447,0.7994727554201744,7
26,62,-5.063775510204081,5.063775510204081,True,1.3881466021389086,0.3522775569965151,0.7817566446338218,0.15770537714403607,68.0,15.0,1.2365799084721525,1.033213457812987,21.508594081438872,13.028388011870497,234.3335494963132,1922.8450531022088,0.8089267682931622,0.6483754767104983,8
27,146,-5.0636132315521625,5.0636132315521625,True,1.404697141270052,0.3342953705143439,0.6197799994168897,0.11574716229159898,67.0,17.0,1.7820785513862247,1.7322990516020504,20.886837749946615,10.1563376464859,273.6987830587396,1589.462412774884,0.9625353502712513,0.53250533433203,7
28,143,-5.061425061425061,5.061425061425061,True,1.3745687062932472,0.33906393365568355,0.833112807143421,0.15807003997921804,68.0,20.0,1.1276494560773678,1.5151358682870568,18.377996919362353,11.874304173323265,269.7328403935374,1244.8601690277533,0.97660378350732,0.7178574120375887,7
29,112,-5.0603864734299515,5.0603864734299515,True,1.4682873421127225,0.33244726705554084,0.8989249156063146,0.2020078817461901,70.0,19.0,2.9137006739933504,1.5292612685148905,20.614557345448667,9.862797256559134,310.1197642771813,1351.2762273618766,0.9293092380688783,0.6071366123031455,7
30,106,-5.0603864734299515,5.0603864734299515,True,1.4334745159699775,0.39866433630007014,0.8676690356711114,0.16143070284811675,73.0,14.0,2.287950576649978,1.2526532245321322,19.109493623723875,9.376453660323996,266.6958935529471,1167.1298208133505,0.989995481686833,0.5466718273762743,8
31,132,-5.0603864734299515,5.0603864734299515,True,1.2643662124969313,0.3824982941980706,0.7518176767447311,0.16447938037424462,70.0,19.0,1.2509003879940683,1.3044947155446256,24.196074021714967,14.003360409746595,225.54222895565584,2427.0686075585045,0.9487108594736089,0.6385920460320562,7
32,99,-5.0602409638554215,5.0602409638554215,True,1.2303447625428645,0.3816766438334106,0.7063312248606968,0.22275626011467548,69.0,21.0,1.9920288671647983,1.432911776982374,17.6004300899044,12.928029355265185,273.2793253862227,1110.4477387758175,0.9106910542243642,0.5159915403938976,7
