ducks_num,pucks_num,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
5,1,-12.753570841965315,12.753570841965315,3,191,1.5183020253886974,0.22403393747628114,0.4492083577439189,0.17972059890627862,2.093364350719834,1.975667724290876,17.301846012724997,11.332939271406628,396.23055922575696,2866.2705961614847,0.835562439983843,0.5894014371478256,8
8,2,0.4716981132075472,-0.4716981132075472,12,212,0.9780514451285253,0.19769927005253693,0.6972553807473421,0.18997743631168088,3.3184153091709265,3.7930005820005444,11.826612174849938,6.483961417903167,349.61370377250114,2254.547349055945,0.7402902812402108,0.6036303696220024,8
10,3,-8.451483438662926,8.451483438662926,1,195,1.3231754820290953,0.32623667149669605,0.6042999187651623,0.21862057567966187,3.517493615858257,3.6881801561013607,18.942864853264634,11.685398174253836,397.7675468892609,2138.1870218672575,0.5717762594028448,0.7820599595287154,7
11,2,-9.632352941176471,9.632352941176471,4,210,1.015199243928881,0.3422431597471063,0.8656550707459194,0.16600180328143682,2.484848321179143,1.6768234981308774,20.15181202858117,11.57457505249764,339.4864937688274,1374.552230819172,0.9428500304018371,0.6543288690326712,8
11,3,4.449402211323461,-4.449402211323461,23,104,1.1568294036540097,0.24267804117806857,0.6717688531691807,0.11669356863879188,0.5403717723292312,2.494795262108739,22.01643158441015,12.333427181307416,253.7771463912009,1148.2681229092536,0.8732319915688824,0.9966627804231072,7
12,4,4.2452488704952644,-4.2452488704952644,31,36,1.3218212281503414,0.3963835098570904,0.7992153165281919,0.21913498272770698,1.1960948751800495,1.848754560147242,18.20951027745737,9.198673272758583,335.6898476553745,1365.5614763341343,0.8678078421463,0.8090507754717988,8
13,4,4.531271121668798,-4.531271121668798,21,75,1.359172273999122,0.36327776914676374,0.5910773844350954,0.19572252013121896,1.1859642237135968,2.084041382339703,20.00500550454608,10.564725326835363,320.5500813577022,1678.9863078178435,0.9101209024223773,0.5911992780075264,7
15,3,4.476444104236237,-4.476444104236237,11,53,1.4556385393712092,0.2808928923572061,0.6279724369239471,0.10651587834694835,2.5475546967493963,2.7917029265640854,18.489241592623706,8.558248525280515,460.3400927345408,2558.474777103718,0.75844356932159,0.5656568796566558,7
15,4,4.504340932238915,-4.504340932238915,4,17,1.3666262516952288,0.29387120055175725,0.702706830343047,0.12400011811085439,1.4624517723964086,1.9245053004822803,15.724636938850349,9.43615001409748,363.0587315723608,1385.5026286194761,0.8204711748448892,0.646415873034555,7
16,4,0.25252525252525254,-0.25252525252525254,1,17,0.9236232520509512,0.3133328289538622,0.3721260831957177,0.2797349531465759,3.440215477719903,2.802607591290801,24.501548055559397,11.19181718783557,481.1042124405503,1139.0847582370043,0.8636125852353871,0.9248520147085086,7
17,2,4.4606368255738715,-4.4606368255738715,10,14,1.3272450264208353,0.2248167535137217,0.7870869309952327,0.27315288125065157,1.2933876819198618,1.4575308010044556,20.378620332678327,15.49123510564214,274.81945513615426,1437.4179534909017,0.718907252295237,0.5417330468959219,7
17,4,0.2403846153846154,-0.2403846153846154,4,102,1.38637685815458,0.38196360807886104,0.32889144412087734,0.12048221409191737,3.0681978393164764,3.77127754620329,13.966422751510827,7.190890244976525,394.5932194433701,2329.557903110981,0.7549677445638332,0.5360603912333707,7
18,2,-4.78775620660208,4.78775620660208,4,63,1.2857486228312671,0.3677475262819214,0.6782122700008525,0.1557266408763826,2.44841173524037,1.772484423170622,13.498801340957948,10.176671444868168,318.57338755164574,2359.2571965710185,0.6531408615410328,0.9604507810436189,8
18,3,4.461658789521421,-4.461658789521421,36,185,1.2673912175873616,0.3583700990986287,0.8080035154232449,0.13064034535048769,0.7281178172532363,2.285083673917954,22.220471249277747,12.329053754258538,322.32906896094534,1221.772304028539,0.7640100387586053,0.5526166981550751,7
18,4,-8.198072457751651,8.198072457751651,1,153,1.1032311958835987,0.3177654156461358,0.5100278617814182,0.2621628056175609,2.041884096753379,3.0259928788084083,21.255331829301888,15.30142091536435,396.03553367886923,1597.8087858955644,0.8604558908437486,0.8137743598951297,8
18,5,0.22321428571428573,-0.22321428571428573,4,167,1.3626199287477745,0.26248885224263563,0.8204685530043395,0.16436233179965598,1.9865608896721456,1.9103858870905717,17.098137130715617,11.795136850315938,251.02542841272742,2233.355923496241,0.9261936171443802,0.7799116008705895,7
18,6,4.820347830281845,-4.820347830281845,40,120,1.3619558022303753,0.3169872591906873,0.691172837594207,0.17712372243986493,1.3568878461720566,2.100722641075575,15.543199307361387,10.707590610900825,315.0408844629059,1652.5208710327768,0.8036316133328771,0.9429508330135977,7
19,1,0.23809523809523808,-0.23809523809523808,18,79,1.2877806470744524,0.27790866118744306,0.8293783629059797,0.10566580629864204,1.0904747839973497,2.7681398936335877,22.201082157674733,12.28886805398917,213.60434085984875,1995.1863159565364,0.7322932959323356,0.5121136016782442,7
19,4,4.434273299799904,-4.434273299799904,19,77,1.4104668681612853,0.3308993314081373,0.6286107427450772,0.21352260513552146,2.5580056852869957,4.045903321558228,14.270650524523184,9.32162049152299,341.7188797646167,1918.089994323534,0.9712294344723993,0.5162618952836984,8
19,6,0.20833333333333334,-0.20833333333333334,8,77,1.4104668681612853,0.19123589050136502,0.8662081180649284,0.1682803615903286,1.4569003573383588,1.7079143128448562,14.270650524523184,7.08504293993085,242.2997069954586,2588.914477370163,0.7447400632894086,0.8993533506836064,7
20,4,4.484783383324694,-4.484783383324694,20,143,1.2424577650758568,0.38215867068618536,0.5737258306693142,0.13545736068859698,1.9286001938006485,1.9571742182011063,23.870101264305106,12.343437622434601,208.81974232551542,2543.3454030205403,0.9581933136059648,0.8633441324000137,8
20,5,0.20491803278688525,-0.20491803278688525,15,209,1.4564310638505542,0.2198017205563787,0.8063057684982997,0.2344665583721215,2.1343154943385305,1.817111964910091,19.2303280749989,12.225849451412978,203.8719294012346,1412.1364866272602,0.7698394860726274,0.7448308196379307,8
21,4,0.46977129585899036,-0.46977129585899036,20,102,1.38637685815458,0.3662445477624532,0.5192835654422759,0.10882406104758392,3.5439542935554007,3.009850856173663,18.891109587277143,9.02092175519351,394.5932194433701,2329.557903110981,0.7549677445638332,0.5360603912333707,8
21,6,0.19230769230769232,-0.19230769230769232,6,5,1.1006910816159239,0.35493019130931147,0.5848361006314599,0.1434076054276508,0.7722020280412314,2.028630218943709,17.981611975618197,8.65860671363771,204.88194115340607,2687.415065756081,0.8794110544793621,0.5907618332418673,6
21,7,4.598485717858565,-4.598485717858565,13,146,1.3875681148488803,0.34818863273104145,0.7746067312265016,0.2719305722554361,2.778194003628168,2.0482369381517502,18.166516659211887,14.216261801376646,273.6987830587396,1387.5434385371184,0.9082862757892278,0.6123817089724592,7
22,2,4.45397249009077,-4.45397249009077,3,94,1.1190912727538644,0.3849545206568891,0.8752610774053462,0.12339045902935457,3.0787118866491316,1.4960223068483174,14.260914349221103,7.9496354835871585,391.0790457848068,1654.8128589201624,0.9816490627317174,0.5706458361206421,7
22,5,4.702008438758564,-4.702008438758564,23,135,1.4854285747181313,0.38853517058014764,0.821052858883971,0.13799314286507047,1.0386642275133415,3.548789698626931,24.56135738272079,12.502446528574817,259.11499428502754,1017.1689338235212,0.9180823020756892,0.8878248464176823,7
22,6,4.478446141242453,-4.478446141242453,22,224,1.4853332375533148,0.2687964182041769,0.8173239446880556,0.19442299944031954,0.5464954236279262,3.539200673857072,22.968444211656696,12.384014798969739,220.4942755475155,1885.0817520917462,0.9757000706302876,0.8747996704147478,8
22,7,4.500870693611091,-4.500870693611091,24,11,1.480044445330969,0.36635271049321194,0.6744288018062152,0.15230108610187024,0.6148490653613696,4.0440644546233955,17.056287125563,8.781871547640137,317.9355620693392,1217.5294159347627,0.9659675623833883,0.69958786694079,7
23,3,0.19083969465648856,-0.19083969465648856,1,114,1.4188710663845658,0.2817873431411692,0.37282286785791185,0.1849346337682037,1.7271198611706495,3.568011743016541,24.172484057345002,14.36709660384804,208.922534748601,2308.0474976450205,0.8537276710170275,0.9850977572305606,6
23,5,0.18248175182481752,-0.18248175182481752,3,181,1.2080371817257256,0.2315037124741522,0.5313180502099297,0.15712729355320335,4.633906789044744,3.4856510888140972,24.25833362620324,12.966576162725687,472.4684478566076,1651.915225231725,0.6152373617514968,0.7997385728838976,7
23,7,4.774668603051804,-4.774668603051804,27,114,1.4188710663845658,0.24138452955254605,0.6881820570270911,0.12491090401287998,1.0963039093414417,3.568011743016541,24.172484057345002,13.70657308310461,208.922534748601,1446.5978964462201,0.969362275312639,0.9850977572305606,8
24,3,4.6105142751183985,-4.6105142751183985,30,35,1.4044736947410952,0.3723167178961845,0.6759515098519155,0.2029205320286489,0.8178551205135021,4.159508271124113,24.309664147553413,16.703113524919598,219.43572802141753,1220.580699338168,0.9822670773842597,0.8338978927777707,7
24,4,2.2785384569531457,-2.2785384569531457,23,179,1.182637641743761,0.330700434256527,0.7442154799923179,0.13714729858471078,1.6381930628362655,1.9853616210251923,10.358577580657808,6.788926520205069,407.4102229630681,1377.1917776126702,0.9627094002075884,0.9533515675406112,8
24,8,0.16556291390728478,-0.16556291390728478,7,164,1.4393015599049555,0.3215461151289031,0.8532779271751647,0.1272927400922272,1.032026088536619,2.9953210147870637,21.49538554623004,13.36069356024219,254.9409210144073,2235.2804210748086,0.7944709102131478,0.9619472912821208,7
25,3,0.1773049645390071,-0.1773049645390071,30,58,1.409099908125738,0.3112276388197375,0.7730873478338015,0.16571713386004358,2.7709129308080245,3.376707197304736,20.456573022279542,8.74191599152163,252.444862913286,1791.629257722753,0.6451187306525312,0.7804498943989283,7
25,4,0.1736111111111111,-0.1736111111111111,7,185,1.2788146572328603,0.38861327305436133,0.8501498588985504,0.2718827219860396,2.70848849725097,1.578990161305483,22.220471249277747,9.652344358009664,352.38213141313713,1932.77508020401,0.7624780809016578,0.5526166981550751,6
25,5,-2.073577178069904,2.073577178069904,9,92,1.4230610260398737,0.35021198045160995,0.6016213044576013,0.16405848361360081,0.9697188112196846,1.635826933340784,18.031073350052786,12.032311690867832,318.75326601916714,2036.2460420117768,0.9742139160062484,0.6770563060511228,7
25,8,0.16025641025641027,-0.16025641025641027,13,241,1.1400802907810392,0.22991198083470377,0.8281348580884906,0.29720947065732345,2.9829896748749807,3.287749834667483,20.418216539681566,11.477231936607701,235.51430721075607,1635.2967927853078,0.9522718602535098,0.6348029238620765,7
26,6,0.16129032258064516,-0.16129032258064516,16,202,1.4917894805857925,0.3667528961369743,0.7292540922195293,0.2058005353833738,2.817671802363696,1.7806045415141651,13.491426440455687,8.791148923451818,284.6674589381699,1103.060716873048,0.7922210207934179,0.8922567696859186,8
26,8,4.619198779280412,-4.619198779280412,38,202,1.3682792347947268,0.3667528961369743,0.686314999753139,0.08745699277132961,2.9002231194719004,1.5919865848509156,16.208515001956556,11.882046987710625,260.17849314809826,1276.9562905496787,0.9465242247859187,0.7457164401830552,8
27,3,0.16556291390728478,-0.16556291390728478,1,162,1.1150735816601665,0.14099712792783975,0.8579030418768525,0.2797062738612294,4.233722900040448,2.5053335991688073,17.04431605990976,10.732862590812147,210.49643214792013,1610.1247947663069,0.5995936742983758,0.6676018019206822,8
27,4,0.16233766233766234,-0.16233766233766234,4,128,1.3231611978361193,0.2999537216500039,0.8492990012337029,0.26951115509299556,3.5946244056269294,1.5094383303076029,14.078626330010593,8.609950697944177,381.067131179697,1895.005327504898,0.6816355920885884,0.5641869801997099,8
27,5,0.536739686626948,-0.536739686626948,1,122,1.452872712487355,0.3285094052925706,0.46312322672456496,0.12706975046545269,1.9788898024708033,2.7198021970689297,23.86578382924199,14.941778440959752,227.72411340847611,1496.241083368659,0.9995308523066342,0.7616566102951765,7
27,9,1.4673481145787113,-1.4673481145787113,16,103,1.3685163501242164,0.18857432761203852,0.42403717448553546,0.25301529141751944,1.964362513076426,3.5565948374295155,12.111490676841631,7.800222521576275,327.5202235762813,1866.3269960379773,0.9400656442835928,0.8664891127361576,8
28,6,0.15151515151515152,-0.15151515151515152,11,229,1.481102132683841,0.398662081121787,0.7869692993945134,0.290356592279424,2.5274707538504275,1.9410488776109527,19.804653528188247,9.20835504789208,279.9817394251138,1999.6818550619037,0.6476650514220887,0.7289354710414893,7
28,7,0.1488095238095238,-0.1488095238095238,32,183,1.2337259153396578,0.31368342758256496,0.7554428164600906,0.1550344309547056,3.353836593828884,2.9981090603646625,24.663359846076446,12.063265684609615,210.43458940690306,1809.7844081766243,0.7306652878324003,0.7929581921151749,8
28,8,1.8426164324357783,-1.8426164324357783,16,164,1.3094680879224712,0.3183582371262007,0.6742029140422312,0.1272927400922272,1.3150471646089843,3.435825471423812,21.49538554623004,13.36069356024219,286.12337566428334,1636.5889287071518,0.7944709102131478,0.9619472912821208,7
28,9,1.3225810453892204,-1.3225810453892204,3,56,1.023465484195813,0.2029388128753536,0.43733149177104796,0.19517243776258364,3.9317295416446663,3.6080224830657244,15.16616433701935,10.19760802199426,351.9902404397726,2216.1697819363208,0.9699631181585081,0.6933718290521886,7
29,6,0.14705882352941177,-0.14705882352941177,18,140,1.4744611040952715,0.22248628504359347,0.6659182011140267,0.20367383710828543,2.146285316745473,2.4205504084535754,12.011407456121173,7.344167661495428,356.052317876326,1126.8244432734195,0.6891359500484042,0.9113941738576967,7
29,7,2.088299258433497,-2.088299258433497,3,222,1.2325892774924139,0.24345580484718085,0.5323235940225931,0.13303864107605168,0.972343490193242,4.345406905578264,19.169009643690742,10.046200158452145,403.4056539061671,2246.0239101201296,0.8433755257704447,0.535097833975954,6
29,8,0.14204545454545456,-0.14204545454545456,14,242,0.9950248616526448,0.3661135532554022,0.7961009871070932,0.25534330256056065,3.9184861546541407,1.8709088648783307,16.56469426471686,11.99964676786197,292.60649243503576,1353.064421374948,0.7597869866897673,0.6130623386557631,7
30,2,1.4572404127670415,-1.4572404127670415,30,122,1.452872712487355,0.16472757368057236,0.6909049666617171,0.15874914156348038,1.8417632122562637,2.692567814677438,20.445575771809363,14.941778440959752,261.27294471644996,1614.1391908462979,0.9995308523066342,0.7195521209724896,7
30,3,-12.0778049741139,12.0778049741139,1,228,1.2783578681869314,0.2080273148790002,0.8020136145874858,0.08176454341487827,3.8566677274550774,2.7741090940634825,20.70201707072556,14.519503968766656,340.6473685895942,2393.785727762156,0.8721337327786387,0.6175265368074179,7
30,6,4.51793945995344,-4.51793945995344,19,53,1.4578534440566808,0.2808928923572061,0.8231537994699402,0.08776816807271541,2.965058284871524,3.7179585748337813,15.779492494406428,8.558248525280515,460.3400927345408,1369.71540948845,0.75844356932159,0.5656568796566558,8
30,8,2.6515613191222283,-2.6515613191222283,34,84,1.3655031079529143,0.36323940685795325,0.6596720865295697,0.1875700283570561,3.160484222527642,1.6726537936533634,24.51273961430699,9.946920448880592,270.48320487521676,2347.321653956766,0.8561162432500098,0.7065989946384933,8
30,9,4.855138292367614,-4.855138292367614,34,159,1.3999735556732913,0.3664741387680784,0.8585227025002886,0.2195484969730494,1.2355342687559436,3.9272264116551967,22.248089500929268,10.574862729817445,322.36101539701616,1511.3698636723232,0.9119062937847959,0.8305803206989661,7
30,10,-7.141212487873676,7.141212487873676,1,250,1.310424840199089,0.26555622213804936,0.45428563294990787,0.10424703999049136,2.138177920576872,2.68418241199106,24.71530457933627,17.196023861301285,284.1089484069819,2034.6980298977492,0.9168636866159062,0.8002538707009448,7
31,2,0.1488095238095238,-0.1488095238095238,11,118,1.2716130513031152,0.35068224772721174,0.79555266137555,0.24453782115714698,2.452288632395181,2.069411368885932,14.027981124818325,7.213158591990459,290.32973790765243,2098.166844812509,0.8315523579107449,0.6370676201436954,7
31,4,0.14367816091954022,-0.14367816091954022,3,28,1.470933798147752,0.13424766290932894,0.46104547874655777,0.24384000622757038,2.315952925942838,2.9817163752350884,15.704022405894301,9.933613699756986,226.06163198822463,1960.3936007768395,0.9851123237813791,0.8776761936023831,7
31,5,0.14124293785310735,-0.14124293785310735,16,79,1.2328217159703876,0.27790866118744306,0.8293783629059797,0.10753219027063936,3.228916460627,4.010658730530839,16.83069471010146,7.52028805644646,213.60434085984875,1995.1863159565364,0.7322932959323356,0.5121136016782442,8
31,6,0.1388888888888889,-0.1388888888888889,1,127,1.1459216318407637,0.35544965299663017,0.42415326380433477,0.19921786529943347,2.2781507455324044,3.143351626775861,21.764648112262996,12.085859962202402,232.3234322039546,1743.1306682570648,0.9937126847577384,0.5039895434576867,6
31,7,1.7593494731906323,-1.7593494731906323,6,8,1.0393470520790233,0.2476519146876953,0.5016995711371174,0.2396626357458408,1.9415088317943188,3.1979406167270032,23.181179780448147,12.380700291828724,263.8052849265181,1626.5231652020336,0.7872923904743845,0.5183796188923322,8
31,8,-4.814719707020405,4.814719707020405,16,30,1.1159517212188292,0.35606305069832955,0.7381778383577433,0.14477569731529205,4.4102678365820775,2.7294203326923245,17.400464302572814,13.133997062017704,339.6110269944373,1784.6344473218587,0.7272017403922173,0.9311167222082779,7
31,9,0.13227513227513227,-0.13227513227513227,4,255,1.1682105453410028,0.35358534248695167,0.866586723579903,0.26218232611142844,3.4241457676149345,4.369928790148638,12.077623264203119,8.539974342053732,361.6242636806654,2013.277194333387,0.7366160956402863,0.6466194935559438,7
