prop_name,diameter_in,pitch_in,velocity_mps,cruise_selected_rpm,cruise_thrust_n,cruise_torque_nm,cruise_current_a,cruise_voltage_sag_v,cruise_voltage_required_v,cruise_throttle,cruise_power_w,cruise_flight_time_s,cruise_valid_rpm_count,cruise_failed,max_selected_rpm,max_thrust_n,max_torque_nm,max_current_a,max_voltage_sag_v,max_voltage_required_v,max_throttle,max_power_w,max_flight_time_s,max_valid_rpm_count,max_failed
8x6E,8.0,6.0,0.001,10200.0,8.599319773628693,0.12600188767932488,8.788542199744764,22.047665268537756,19.74215623250283,0.895430694907868,193.76683661839104,1566.8127531321297,73,False,11300.0,10.579012244692308,0.1541017206923077,10.318698168396669,22.021142565081124,21.879612807284158,0.9935730056976522,227.2295234523045,1334.4706643492798,84,False
8x6E,8.0,6.0,8.334,10200.0,7.596018088776372,0.1393385335864979,9.514779552373485,22.035077154425526,19.752631949807466,0.8964176440762017,209.6589015439001,1447.2221793688366,73,False,11300.0,9.518371599295774,0.1702445947887324,11.197746635995317,22.00590572497608,21.89229277094935,0.9948371607400924,246.416556803881,1229.7116953634345,84,False
8x6E,8.0,6.0,16.667,10200.0,5.567726097542372,0.12928743677966098,8.967454386299588,22.044564123970808,19.7447369776021,0.8956737301116366,197.68362324756455,1535.552834373789,73,False,11300.0,7.459239312346153,0.16484090415384614,10.90349259278092,22.011006128391795,21.888048260306512,0.9944138006519074,239.99684228057535,1262.898092774141,84,False
8x6E,8.0,6.0,25.0,10200.0,2.521858438818566,0.08025379746835444,6.297363221620601,22.090845704158575,19.706221855627803,0.8920537547332618,139.11407927186366,2186.62946941408,44,False,11400.0,4.458277884615384,0.12444134615384615,8.703564046015623,22.049138223202394,22.04862276034188,0.9999766220858476,191.90608668509316,1582.1104925750185,56,False
10.22x6.93E,10.0,6.0,0.001,10100.0,16.48439281172131,0.2532027502868852,15.715172655046832,21.92760367397919,19.649762738026993,0.8961199331299827,344.5960776480222,876.2232717550097,72,False,11200.0,20.369372983754644,0.31140332624535316,18.88444268738767,21.87266966008528,21.81086295424195,0.9971742495633207,413.0531766160436,729.17163762511,83,False
10.22x6.93E,10.0,6.0,8.334,10100.0,14.165670115510204,0.2706,16.662527234497567,21.91118286126871,19.66342799322993,0.8974151746041962,365.0956811659462,826.4052509088194,72,False,11200.0,17.885177345454544,0.3330081901010101,20.06091983461382,21.85227738953336,21.827833221558958,0.9988813903677559,438.3767849151729,686.4092032430514,83,False
10.22x6.93E,10.0,6.0,16.667,10100.0,10.241465959918365,0.2470582455510204,15.380578118785728,21.933403312607712,19.644936330020215,0.8956629324701267,337.34842306039656,895.2849427149567,68,False,11200.0,13.80518898111111,0.31510623777777774,19.086082041618408,21.86917457794528,21.813771530707708,0.997466614615924,417.3968601771392,721.4681342128596,79,False
10.22x6.93E,10.0,6.0,25.0,10200.0,5.143771747211897,0.16715985130111527,11.029769173027598,22.00881733433419,19.774485139991068,0.8984801336481848,242.75217496903466,1248.439544290139,39,False,11200.0,8.09201338289963,0.23591375464684017,14.773712972407832,21.943922308478264,21.7515671300131,0.9912342389951478,324.19320967427495,932.0608858258976,49,False
12.7x8.5E,12.7,8.5,0.001,9700.0,37.132755650693724,0.7177485746426722,41.011677638614046,21.489130920930688,19.24542511845862,0.8955888066982425,881.3053100631828,335.75802778267774,68,False,10700.0,45.40238773699315,0.875209996561906,49.58612484158536,21.34050716941252,21.292185413943653,0.9977356791436464,1058.1930526852366,277.6986514673516,78,False
12.7x8.5E,12.7,8.5,8.334,9600.0,33.62128963625638,0.7783354212267573,44.3108903022481,21.431944568094366,19.100707403541932,0.8912260547732596,949.6685447206914,310.75882037290916,67,False,10600.0,41.64925380052178,0.9442649036541301,53.34645958104981,21.27532803392847,21.1541192221025,0.9943028463940639,1134.963427035541,258.12397126521773,77,False
