prop_name,diameter_in,pitch_in,solver_runtime_s,cruise_thrust_a,cruise_thrust_b,cruise_thrust_c,max_thrust_a,max_thrust_b,max_thrust_c,cruise_time_a,cruise_time_b,cruise_time_c,max_time_a,max_time_b,max_time_c
8x6E,8.0,6.0,0.01735410001128912,-0.007353825800235266,-0.05928483862978887,8.599749797765734,-0.0069857136623191,-0.07041599976760615,10.581915792716377,2.77462391716688,-45.99406793469476,1584.5999819887954,1.5264190387130256,-28.848359256084,1341.9035429817968
10.22x6.93E,10.0,6.0,0.01448409992735833,-0.010005097851203269,-0.20523357165242878,16.506197625411357,-0.011625257857709197,-0.20032137288009697,20.367703591361543,1.4508175037959383,-22.044977223016353,884.5241751372508,0.9121516402541253,-15.079674049962994,734.0723391515763
12.7x8.5E,12.7,8.5,0.03497609996702522,-0.01195862365214396,-0.30548153984406035,37.099237269161925,-0.014033653058474862,-0.2965612747323677,45.32589089423332,0.17943310165042958,-4.967870364210251,336.7468531422818,0.12324910101748913,-3.792301229446272,278.56900145243725
13x4.5EP,13.0,4.5,0.013244800036773086,-0.01382165957157023,-0.660860115150946,27.861022556047846,-0.014870836634633334,-0.7313266258167943,34.542576958513465,1.7836729867738836,-20.242693704855284,568.9964049256967,0.9669536531829988,-10.511789989531445,464.298789506205
13x8E,13.0,8.0,0.0024690000573173165,-0.013500281831199832,-0.3815825254267609,38.83934949031761,-0.01585617526737815,-0.37706813402136946,47.496646145954145,0.22434378780093156,-5.052585661715527,331.444558318947,0.15145833010441292,-3.796723339048188,273.870885347319
14.4x10.2E,14.4,10.2,0.030558599974028766,-0.011498625711631405,-0.43129844861142186,55.13843997074412,-0.009741604733376224,-0.5185679359276316,66.34072349137878,0.06524857921753129,-2.539954441064073,204.3564230355055,0.03680642080522177,-1.755619136535278,170.70745108530997
15x8E,15.0,8.0,0.008997300057671964,-0.02128242390519852,-0.5725718107029919,57.169197215340574,-0.010836759881897414,-0.8815603152874388,69.28614334200593,0.16283259444381032,-3.3042539634550665,217.36484370646414,0.07368575543008993,-1.654686217057934,180.3559781089619
15x8.9E,15.0,8.9,0.014339099987410009,-0.024476713613333097,-0.38156449962187566,58.56858015919241,-0.01370475477102913,-0.6862757803839475,71.03184341721358,0.13268994896974876,-3.3275147242423473,202.19822799790143,0.059541160573100244,-1.7987448419644736,167.63095318854056
15x10E,15.0,10.0,0.001733900047838688,-0.013212354843247752,-0.5516826495066126,62.08678886027848,-0.01270548810587979,-0.7097014555539781,73.86307873032877,0.0661356028548945,-2.212105778449671,181.58730242723573,0.04402987783031606,-1.4556427629427462,153.3314748849953
26x15E,26.0,15.0,0.028423800016753376,-0.014345331426582465,1.4286501223336672,-2.7285732641555587,-0.014345331426582465,1.4286501223336672,-2.7285732641555587,-0.014214420569078503,7.253865176577743,-14.872050862660501,-0.014214420569078503,7.253865176577743,-14.872050862660501
