score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
5.659230765917825,-5.659230765917825,135,1.735059239428775,0.3293866336664407,0.6229482085067536,0.15910007671113655,0.0,0.2506450837768707,0.08834000668770799,6.730285810474108,3.184805426659075,2.7669121600173576,20.0,15.0,20.0,15.0,223.82548850911704,2357.302719649413,28.252778934895236
5.659230765917825,-5.659230765917825,185,1.735059239428775,0.3293866336664407,0.6229482085067536,0.15910007671113655,0.0,0.25064508377687067,0.08834000668770799,6.730285810474108,3.184805426659075,2.7669121600173576,20.0,15.0,20.0,15.0,223.82548850911704,2357.302719649413,28.252778934895236
5.655599090333144,-5.655599090333144,79,1.6527578771305067,0.23773510907543638,0.5839221860751703,0.15892556326140245,0.0,0.5621232758516614,0.05111347848748623,7.3008788134236795,3.240261528137758,2.2604375790004387,21.0,13.5,20.0,13.0,227.1528473655005,1478.8318659484012,35.98475843806703
5.650821253771819,-5.650821253771819,186,1.7376528488480978,0.3333429293337462,0.6162491451077345,0.20029872288325,0.0,0.3981271380028226,0.06889987099921202,6.457919455057834,3.0771307895080824,3.3560579024093373,20.0,15.0,20.0,11.0,247.3251255518462,2478.9183975354704,17.213395471902434
5.614964143739563,-5.614964143739563,140,1.7376528488480978,0.3333429293337462,0.6162491451077345,0.20042858391182147,0.0,0.47504362599136074,0.06889987099921202,6.457919455057834,2.6692260697527104,3.0348961956261356,20.0,15.0,16.0,12.0,244.9263803902433,2031.3371269054057,17.213395471902434
5.612913640943787,-5.612913640943787,187,1.7421317497334878,0.3586873606060478,0.49010761961769567,0.20018838547528672,0.0,0.31461354924933077,0.06863694908052008,7.234925732880242,3.506711667659353,2.7912614559833973,20.0,15.0,16.0,12.0,319.08585999687534,2622.3691083401777,16.111322562322133
5.5772818431995095,-5.5772818431995095,151,1.5343537840993238,0.33377962706920394,0.5775274764182498,0.1794211224535283,0.0,0.5340941453226028,0.06532980899721723,6.9432178115529695,2.2871875542167928,2.5964246856835813,18.0,12.0,20.0,11.0,252.90288384829137,2225.2273556623177,22.138073722102135
5.57572577939492,-5.57572577939492,134,1.7533683684212953,0.31823285462076795,0.6049723883555094,0.10745258387644593,0.0,0.5193952830211369,0.05650735084932336,5.590621328246115,3.523273261536005,3.044031860796755,14.0,10.0,16.0,10.0,313.53757428481947,1374.7428876600075,21.423153970068682
5.57572577939492,-5.57572577939492,185,1.7533683684212953,0.31823285462076795,0.6049723883555094,0.10745258387644593,0.0,0.5193952830211369,0.05650735084932336,5.590621328246115,3.523273261535998,3.044031860796755,14.0,10.0,16.0,10.0,313.53757428481947,1374.7428876600075,21.423153970068682
5.575394567186952,-5.575394567186952,197,1.4923811829910751,0.2877938232337815,0.492339280344832,0.2939383343167319,0.0,0.2450940031620947,0.10014544939827201,6.649154234728492,2.6143418015111664,2.6369797503959824,18.0,12.0,21.0,13.5,247.77035652036167,1817.6607559444851,20.684475975631656
5.570847577320962,-5.570847577320962,188,1.7426424443346944,0.3488470113176251,0.4850198944533998,0.19580934949051568,0.0,0.4163074591890204,0.07809571038434221,5.808754949749982,3.916320115818145,2.6906839445751487,20.0,13.0,20.0,15.0,238.88854965869598,2924.5602167503203,37.00609288405704
5.569810383136089,-5.569810383136089,136,1.4048514620861847,0.3427235216594928,0.4448324441496627,0.09996251735066457,0.0,0.5842593047190701,0.08809919828752132,5.907713544450168,3.9015702697179933,3.1912570991732454,18.0,12.0,20.0,11.0,245.97331651673176,2065.432679062391,21.04128518820636
5.563289601009544,-5.563289601009544,187,1.530234915454196,0.35162457239047523,0.6896673809155397,0.17385429408220124,0.0,0.5208601551405424,0.05292981590895326,6.454404986677474,1.8939273311039528,3.2682922386089652,20.0,13.0,20.0,15.0,233.76942010875987,2219.238034183623,16.858377668938413
5.55525399605585,-5.55525399605585,186,1.7639968862765865,0.22460345748307575,0.638851912275974,0.20064562128615046,0.0,0.5716299706334347,0.06213625132144593,6.375389175760844,3.358547365533468,2.2948129806657063,18.0,12.0,20.0,15.0,256.6445552752026,2682.3245132765933,19.974526984129774
5.553729509544597,-5.553729509544597,140,1.7992594618487945,0.26675844625302336,0.6393745953132939,0.19130761490640927,0.0,0.5761734771203568,0.054796594624034814,6.29681531011876,2.3804054308991667,2.7615034695069323,17.0,10.0,18.0,12.0,272.02076286847233,1495.15661388155,34.50558893646488
5.549143301555251,-5.549143301555251,188,1.7253140227658772,0.3145522141461292,0.5518360133869427,0.21328727143225226,0.0,0.24729513724768784,0.07659825825825621,6.699048556742184,1.7145518253220828,3.0043504618268515,15.0,10.0,20.0,15.0,280.7688253544583,1877.0233545419003,34.67766600632656
5.540619515263685,-5.540619515263685,39,1.827604520040583,0.31816619773152977,0.4926861870733135,0.21366463657468554,0.0,0.24896663068398603,0.0701792999820606,6.241604169292415,2.955181214173372,2.373009978353701,20.0,15.0,20.0,15.0,261.56960856006003,2274.6033605553453,28.675801568027303
5.540619515263685,-5.540619515263685,91,1.827604520040583,0.31816619773152977,0.4926861870733135,0.21366463657468554,0.0,0.248966630683986,0.0701792999820606,6.241604169292415,2.955181214173372,2.373009978353701,20.0,15.0,20.0,15.0,261.56960856006003,2274.6033605553453,28.675801568027303
5.529006859940515,-5.529006859940515,185,1.6100110355774209,0.39729581074510006,0.39062579786467755,0.18903098823047615,0.0,0.49682043040158763,0.12095831439356419,6.197196449856136,3.5142595447388487,2.7213864076568495,22.0,13.0,20.0,15.0,218.7852177169227,2157.3387805804505,23.73252692847396
5.525255628158156,-5.525255628158156,16,1.4553142146817704,0.36733039758119174,0.6709960885404518,0.1528287448494875,0.0,0.5745177606179273,0.10100190984232545,6.460219432250007,1.7038681076592397,3.177052568424866,16.0,12.0,13.0,10.0,304.18680655765274,1439.2324961404997,21.04464690230905
5.520710229077778,-5.520710229077778,20,1.6282724856840534,0.31853292164021946,0.7925356430463828,0.14357397761195898,0.0,0.2729856877295987,0.12634026157931758,6.508544533400681,1.410393748064159,2.5087070641705536,15.0,10.0,14.0,8.5,315.3051308821887,1854.0452513843775,22.269303366865127
5.518854168648886,-5.518854168648886,159,1.3843766338311099,0.39617006238337166,0.5242022600493912,0.24792441984239896,0.0,0.4238932702308661,0.06778075855395903,6.673343713571398,1.9508557188632096,2.791184517156995,22.0,12.0,20.0,15.0,225.97900028972464,1348.0308002013696,14.153574303148297
5.518854168648886,-5.518854168648886,192,1.3843766338311099,0.39617006238337166,0.5242022600493912,0.24792441984239896,0.0,0.4238932702308661,0.06778075855395903,6.673343713571398,1.9508557188632096,2.791184517156995,22.0,12.0,20.0,15.0,225.97900028972464,1348.0308002013694,14.153574303148297
5.513321404131397,-5.513321404131397,186,1.4183695778231258,0.3305983965906163,0.6062084468523475,0.08221926163283494,0.0,0.3503061114772088,0.07525181359742295,5.659932096655325,2.826145009385243,3.1080572697936053,17.0,12.0,17.0,12.0,254.62709493620798,1973.8089764547767,18.62846843778798
