generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,1024,33.14839909999864,30.8913862449557,3679.4723000998492,nan,0.7890625,3.349894616295537,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
2,0,1536,39.21298189999652,39.170701272277796,2888.689666633077,nan,0.8203125,3.667997330096008,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
3,0,2048,46.00713810000161,44.5148314930706,2530.3925955000886,nan,0.841796875,3.7897316222618067,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
4,0,2560,51.74948699999368,49.46908942305675,2266.627530599723,nan,0.861328125,3.8364574228771504,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
5,0,3072,57.52535270000226,53.40254089393665,2090.087814766749,nan,0.87890625,4.033637463944256,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
6,0,3584,66.02458420000039,54.28281061404971,2046.762110200012,nan,0.888671875,4.328593828307988,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
7,0,4096,74.73705789999804,54.80547555779698,2017.900563299947,nan,0.8984375,4.810858942276856,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
8,0,4608,83.38004809999256,55.26501969000916,1991.8567046109335,nan,0.923828125,5.171078103731188,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
9,0,5120,90.07020159999956,56.844549129998,1927.5023142399907,nan,0.931640625,5.359091588845434,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
10,0,5632,100.46820609999122,56.05753520068566,1945.4298090271027,nan,0.9453125,5.582614275078305,-4.753042511925502,4.753042511925502,4.753042511925502,1.593351520422356,0.2762345598391111,0.5428306549393936,0.28608236021866884,0.0,0.535583326622897,0.03647678676497822,1.2097066525155,0.7185700912761632,3.3237344604488963,13.0,10.0,18.0,12.0,535.8149940516166,1434.439891504314,24.640326199749147
11,1,6656,139.42794629999844,47.73791895118859,2263.022820715359,nan,0.79296875,2.9417503258993656,9.99303866337425,-9.99303866337425,4.753042511925502,1.7048720668509918,0.1547165771432319,0.541337004997154,0.2090376477987206,0.0,0.19961610916323552,0.1432685013457201,1.7579611407054472,0.7284639804473301,1.5254056891388952,14.0,10.0,22.0,10.0,367.1923411998872,2107.8176919777625,34.29036415519218
12,1,7168,147.04038219999347,48.74851311424514,2205.605732999902,nan,0.8203125,3.2146798808833306,9.99303866337425,-9.99303866337425,4.753042511925502,1.7048720668509918,0.1547165771432319,0.541337004997154,0.2090376477987206,0.0,0.19961610916323552,0.1432685013457201,1.7579611407054472,0.7284639804473301,1.5254056891388952,14.0,10.0,22.0,10.0,367.1923411998872,2107.8176919777625,34.29036415519218
13,1,7680,152.21608109999215,50.4545902410596,2120.8773966598906,nan,0.841796875,3.3096128807708003,9.99303866337425,-9.99303866337425,4.753042511925502,1.7048720668509918,0.1547165771432319,0.541337004997154,0.2090376477987206,0.0,0.19961610916323552,0.1432685013457201,1.7579611407054472,0.7284639804473301,1.5254056891388952,14.0,10.0,22.0,10.0,367.1923411998872,2107.8176919777625,34.29036415519218
14,1,8192,160.58464739999908,51.013593968261546,2087.600416199988,nan,0.86328125,3.461057655453322,9.99303866337425,-9.99303866337425,4.753042511925502,1.7048720668509918,0.1547165771432319,0.541337004997154,0.2090376477987206,0.0,0.19961610916323552,0.1432685013457201,1.7579611407054472,0.7284639804473301,1.5254056891388952,14.0,10.0,22.0,10.0,367.1923411998872,2107.8176919777625,34.29036415519218
15,1,8704,167.27892799999972,52.03285377342934,2036.866946823526,nan,0.875,3.5430972325477925,5.8561754072375365,-5.8561754072375365,4.753042511925502,1.3090538951842718,0.2794758400321007,0.8693737672688651,0.16110714389083336,1.0,0.4596729825915575,0.14721632437928833,1.1524196467729553,0.5586984519447711,2.1561610000580025,19.0,10.0,20.0,11.0,264.5254522097735,1339.9239260306626,34.22391525337984
16,1,9216,180.5094289999979,51.055504696101536,2065.830131888865,nan,0.91015625,4.109204690781417,-5.525255628158156,5.525255628158156,5.525255628158156,1.4553142146817704,0.36733039758119174,0.6709960885404518,0.1528287448494875,0.0,0.5745177606179273,0.10100190984232545,6.460219432250007,1.7038681076592397,3.177052568424866,16.0,12.0,13.0,10.0,304.18680655765274,1439.2324961404997,21.04464690230905
17,1,9728,193.73284460000286,50.21347836029171,2090.2754285789783,nan,0.9296875,4.432636404341408,-5.525255628158156,5.525255628158156,5.525255628158156,1.4553142146817704,0.36733039758119174,0.6709960885404518,0.1528287448494875,0.0,0.5745177606179273,0.10100190984232545,6.460219432250007,1.7038681076592397,3.177052568424866,16.0,12.0,13.0,10.0,304.18680655765274,1439.2324961404997,21.04464690230905
18,1,10240,208.2967301000026,49.160637303734,2124.6266470200267,nan,0.9453125,5.080741671777212,-5.525255628158156,5.525255628158156,5.525255628158156,1.4553142146817704,0.36733039758119174,0.6709960885404518,0.1528287448494875,0.0,0.5745177606179273,0.10100190984232545,6.460219432250007,1.7038681076592397,3.177052568424866,16.0,12.0,13.0,10.0,304.18680655765274,1439.2324961404997,21.04464690230905
19,1,10752,223.71283940000285,48.06161340062927,2162.5574475333606,nan,0.9609375,5.445955801637585,-5.525255628158156,5.525255628158156,5.525255628158156,1.4553142146817704,0.36733039758119174,0.6709960885404518,0.1528287448494875,0.0,0.5745177606179273,0.10100190984232545,6.460219432250007,1.7038681076592397,3.177052568424866,16.0,12.0,13.0,10.0,304.18680655765274,1439.2324961404997,21.04464690230905
20,1,11264,239.9841349000053,46.936436046880324,2203.490693172776,nan,0.982421875,6.1285361891695205,-5.525255628158156,5.525255628158156,5.525255628158156,1.4553142146817704,0.36733039758119174,0.6709960885404518,0.1528287448494875,0.0,0.5745177606179273,0.10100190984232545,6.460219432250007,1.7038681076592397,3.177052568424866,16.0,12.0,13.0,10.0,304.18680655765274,1439.2324961404997,21.04464690230905
21,2,12288,276.35661139999866,44.46428814476359,2302.9717616666558,nan,0.77734375,2.948599505970057,5.848326938804722,-5.848326938804722,5.525255628158156,1.4210934227969498,0.26682074554264545,0.6519904414191843,0.151389772798866,0.0,0.15535873181261117,0.018594091638736432,0.3311655402656726,0.2675629975153129,1.384180365784748,20.0,15.0,20.0,11.0,292.2596438322216,1954.633668065071,33.908868692815304
