rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
3026,257,8.723142857142857,-8.723142857142857,-8.723142857142857,True,1.4202097423525846,0.27623693078756334,0.632550284902017,0.17836975216652454,6.0,12.334655934371796,9.925229564900572,1.1553228090015017,14.597184961724079,8.381351588588167,255.24421698337767,2730.9376010648007,0.7871271374917281,0.8163621818295963,6
3027,1249,8.723714285714285,-8.723714285714285,-8.723714285714285,True,1.6979260285731406,0.16720844129872603,0.8996381953179722,0.28946296331282884,3.0,12.322170377457475,10.31085878691316,1.7902832139904863,17.377459144659422,8.08123467943872,235.37269989927134,1890.4924131929874,0.8726022415521463,0.6481149577774714,6
3028,1273,8.725714285714286,-8.725714285714286,-8.725714285714286,True,1.5950008006269356,0.37957400971472355,0.6195545425472215,0.2680682820446626,5.0,12.290648260682017,9.138614292974669,4.009748044560761,13.64782660935558,7.750941831108591,306.76351683214307,2239.142316742649,0.9064977603367759,0.5418342156189422,6
3029,2936,8.725999999999999,-8.725999999999999,-8.725999999999999,True,1.128189709759876,0.37160317599773407,0.5381267219044705,0.2943218599259853,5.0,12.287652665750953,9.924717094058451,3.01005907897405,19.551532450132072,12.134915900449625,222.47489246838495,2420.3800903404044,0.6456368280414237,0.8614640748128295,6
3030,2594,8.727428571428572,-8.727428571428572,-8.727428571428572,True,1.3207474928641192,0.32471039614297564,0.438657463624252,0.25422358195169364,4.0,12.266623438355216,10.251666981094617,3.5471113429987513,15.207337086973753,10.14854813612985,384.21566491469684,2876.0496654666717,0.7076805944155949,0.8686057582067803,6
3031,2827,8.729714285714286,-8.729714285714286,-8.729714285714286,True,1.2606684262329415,0.2673833742179752,0.5805740413563935,0.2519168870896101,1.0,12.230436436797525,9.029171374901336,2.8899938687855706,18.74435016492264,8.0324006965403,266.42436184094896,2688.6724793149515,0.7752046440995086,0.9073775736672041,8
3032,2772,8.73,-8.73,-8.73,True,1.561585107265411,0.22155400445655268,0.593218621022894,0.14605091694725478,3.0,12.223715609106343,7.201989588803986,2.696294585973519,17.87436604871132,9.238655247781313,269.82589681624324,2712.004084226557,0.8248123138773316,0.758154235255949,6
3033,310,8.732285714285714,-8.732285714285714,-8.732285714285714,True,1.608617892643734,0.33208431469261546,0.7695078691751518,0.252194788597943,1.0,12.187862042876361,10.353370411453888,1.1919400184252313,14.931063283802827,9.886793549330424,263.8991856031787,2423.602231027479,0.7953064936254933,0.8997082480022794,6
3034,2589,8.733142857142857,-8.733142857142857,-8.733142857142857,True,1.770150430000201,0.20442589290440083,0.5537361519411206,0.2352779433131218,1.0,12.172301532722631,6.935318590983693,4.226915987208486,21.73310928978026,16.869562530619095,372.8001778014004,1928.1122293323278,0.8209554865024984,0.8492285036481917,6
3035,324,8.734285714285715,-8.734285714285715,-8.734285714285715,True,1.5249860464817546,0.32369689784129163,0.6065662447143182,0.2748316888015817,4.0,12.155968871556736,6.559661308962856,1.6010903263737062,23.469772029224377,13.778494464587247,229.02354753784618,2214.950034536162,0.8722243458964426,0.869572435632518,6
