epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,6.589654364089352,-6.589654364089352,False,0,1.523847518881639,0.3375442366302014,0.7100056612864137,0.27042025439787803,0.0,11.098300780758755,10.030219831726287,3.1268904731990634,19.125308888033032,12.389618948999424,292.791517965749,1996.5790654699888,0.8288394978853887,0.7268098668571437,8.0
1,1,6.124940638295525,-6.124940638295525,False,0,1.396279685598335,0.29713685454176686,0.3868876055877105,0.23448101321256262,0.0,14.040642812527755,7.558583770337638,2.659727348312562,21.135268640553175,16.538870157313738,288.2931125217595,1643.3144269522186,0.9236090008711673,0.7439637740277792,6.0
1,2,5.679025827966253,-5.679025827966253,False,0,1.7508996340832084,0.21016877862150807,0.7763560172170401,0.18483660012656428,0.0,8.363977055223241,8.185516632792002,1.843277439645741,14.522445962591942,10.186543165679051,429.8435059186237,2521.1380384862423,0.8823021694433186,0.8970955700627377,6.0
1,3,6.724693155397823,-6.724693155397823,False,0,1.7530140452567489,0.2894602714532169,0.7916357425114504,0.17883543627372292,0.0,11.906091264961887,10.595404613494752,2.3552533301765948,13.262356390396606,7.617529208953975,446.77922745560454,2877.789539084556,0.8336190199500917,0.8678708419794301,8.0
1,4,5.559184850633406,-5.559184850633406,False,0,1.235892651229487,0.3216886145204769,0.4954114896084511,0.17430928586627165,0.0,13.378439190689267,7.030752324923466,3.273491038172,19.413638673722744,12.615428045878138,293.3861197034691,2218.532662123017,0.8469683562721487,0.6940830517500802,8.0
1,5,5.545246037667402,-5.545246037667402,False,0,1.6880553342565894,0.17977156735956668,0.606367706693709,0.21477721624076362,0.0,9.577330371968468,6.161988833713189,2.9123784583061934,15.759770749136806,10.02967043895788,409.5367149449885,2684.0719655156136,0.7369570792652667,0.7252577813342214,8.0
2,0,6.983694491373294,-6.983694491373294,False,0,1.7541268490595452,0.3430794014750429,0.7869527092392095,0.28302253452165893,0.0,13.99244234351875,10.84999791001793,2.936519993402901,20.695495436143535,14.065573039944155,321.7588034248913,2026.6241326396691,0.6518992592149977,0.5909034284195777,8.0
2,1,6.622778040063077,-6.622778040063077,False,0,1.606696440974328,0.30791291610269567,0.8110417816144281,0.20029921685724975,0.0,13.248228447907954,7.849631332898408,2.4319913023620847,23.270366111171697,17.178056247976734,292.5009244091274,2162.6565968967757,0.9322720597842878,0.7802475099566949,6.0
2,2,6.933836745052244,-6.933836745052244,False,0,1.7292713901694392,0.3152989728000917,0.7871363027852284,0.0851859264071884,0.0,13.09643902674034,11.508182954439272,2.8112540359967313,15.428971142901064,11.939735189057304,274.16379522496175,1947.4499918058102,0.955294249230761,0.8852408343070872,8.0
2,3,7.229531550824985,-7.229531550824985,False,0,1.7083958638898031,0.39419421943651445,0.7675520608196428,0.28965551943374684,0.0,14.573582130610939,12.973052914518941,2.6115012009206993,16.69771989623217,13.178447039500849,317.45732873612707,2787.4563046979274,0.8307756650925899,0.7044518959200647,8.0
2,4,5.559184850633404,-5.559184850633404,False,0,1.235892651229487,0.3216886145204769,0.49541148960845105,0.17430928586627165,0.0,13.378439190689267,7.030752324923466,3.273491038172,19.413638673722744,12.615428045878138,293.3861197034691,2218.532662123017,0.8469683562721487,0.6940830517500802,8.0
2,5,6.547507346159191,-6.547507346159191,False,0,1.4905103715456707,0.36527165826724484,0.7347103945152851,0.28674580798383154,0.0,12.068930736761326,7.876677122618007,2.3072160990499366,17.703235770098967,7.830202024065616,340.8309364769467,2556.4880015792382,0.9559596928589649,0.8860363236985075,8.0
