generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,1024,17.74769899994135,57.69762040720794,976.1234449967742,4.367115371160454e-06,-5.634268309164104,5.634268309164104,1.4938517707452177,0.3011010013153367,0.8375185686697431,0.160881945406875,0.0,5.460932145455113,5.459521055058561,2.8219761452637613,17.709288969635963,10.55244345322772,372.53285703178085,1543.2480389792456,0.9453450281380698,0.8403011896316124,6.0
2,0,1536,21.425987199996598,71.68864545948408,778.4775349332097,3.7120588884757182e-06,-6.057894779181908,6.057894779181908,1.6501075172607345,0.36863299935710514,0.8690413441973586,0.1442691246247531,0.0,8.27495492107079,6.35598912388612,3.6162955697950725,18.117653020841757,9.308935328925081,439.8216632988094,2794.766770007186,0.9007578819724489,0.7776353720342921,6.0
3,0,2048,25.98950749996584,78.80103153177073,701.7167024990777,3.1794567328490467e-06,-6.057894779181908,6.057894779181908,1.6501075172607345,0.36863299935710514,0.8690413441973586,0.1442691246247531,0.0,8.27495492107079,6.35598912388612,3.6162955697950725,18.117653020841757,9.308935328925081,439.8216632988094,2794.766770007186,0.9007578819724489,0.7776353720342921,6.0
4,0,2560,29.469028299907222,86.87086570845838,630.6372056180146,2.4950596585858427e-06,-6.299733943390221,6.299733943390221,1.2626947753845283,0.3949764767289162,0.56770880859727,0.2585594709105816,0.0,9.389809138461649,8.237445099185738,3.9766423153571306,20.066592397056077,14.705089643266113,357.36461643319,2976.151512347241,0.9616544645013743,0.8354400863658817,6.0
5,0,3072,32.987899699946865,93.12505579144064,582.7862280323947,2.0164887211283756e-06,-6.299733943390221,6.299733943390221,1.2626947753845283,0.3949764767289162,0.56770880859727,0.2585594709105816,0.0,9.389809138461649,8.237445099185738,3.9766423153571306,20.066592397056077,14.705089643266113,357.36461643319,2976.151512347241,0.9616544645013743,0.8354400863658817,6.0
6,0,3584,36.066367399995215,99.3723587477367,540.9955109999282,1.7375884493057956e-06,-6.299733943390221,6.299733943390221,1.2626947753845283,0.3949764767289162,0.56770880859727,0.2585594709105816,0.0,9.389809138461649,8.237445099185738,3.9766423153571306,20.066592397056077,14.705089643266113,357.36461643319,2976.151512347241,0.9616544645013743,0.8354400863658817,6.0
7,0,4096,38.87693519995082,105.3580993186207,505.4001575993607,1.4820968263238576e-06,-6.589654364089352,6.589654364089352,1.523847518881639,0.3375442366302014,0.7100056612864137,0.27042025439787803,0.0,11.098300780758755,10.030219831726287,3.1268904731990634,19.125308888033032,12.389618948999424,292.791517965749,1996.5790654699888,0.8288394978853887,0.7268098668571437,8.0
8,0,4608,42.40397319989279,108.66906217202425,485.28991550988417,1.3379846873144368e-06,-6.589654364089352,6.589654364089352,1.523847518881639,0.3375442366302014,0.7100056612864137,0.27042025439787803,0.0,11.098300780758755,10.030219831726287,3.1268904731990634,19.125308888033032,12.389618948999424,292.791517965749,1996.5790654699888,0.8288394978853887,0.7268098668571437,8.0
9,0,5120,45.762873499887064,111.88108631361699,466.781309698848,1.0893330178064384e-06,-6.589654364089352,6.589654364089352,1.523847518881639,0.3375442366302014,0.7100056612864137,0.27042025439787803,0.0,11.098300780758755,10.030219831726287,3.1268904731990634,19.125308888033032,12.389618948999424,292.791517965749,1996.5790654699888,0.8288394978853887,0.7268098668571437,8.0
10,0,5632,50.1063488998916,112.40092570409145,460.06738535355015,1.0893079445461382e-06,-6.589654364089352,6.589654364089352,1.523847518881639,0.3375442366302014,0.7100056612864137,0.27042025439787803,0.0,11.098300780758755,10.030219831726287,3.1268904731990634,19.125308888033032,12.389618948999424,292.791517965749,1996.5790654699888,0.8288394978853887,0.7268098668571437,8.0
