case,peak_tension_lbf,peak_tow_backward_lbf,peak_tow_side_abs_lbf,peak_tow_down_lbf,peak_tow_resultant_lbf,required_peak_forward_force_lbf,required_peak_aircraft_load_factor,minimum_sensor_below_offset_ft,maximum_sensor_swing_deg,tension_mean_lbf,tension_rms_lbf
nominal,57.019711661718034,18.665990961273412,35.92234844184993,56.06675677114334,57.01971166171804,18.665990961273412,3.882554554054,2.7517335628806303,72.25609895158026,36.17223746482505,36.78689261333096
high_speed,46.865377017400704,16.139874758414955,34.201285490324004,39.24200274933801,46.865377017400704,16.13987475841495,3.554301383113355,4.135582226343724,62.75377205208229,35.43614282762038,35.7216664443263
low_speed,70.81517805831521,28.245781861731842,51.93847145626159,62.311145209858,70.81517805831521,28.245781861731842,4.756315158133592,0.048212662217369986,89.69379198342702,38.00932920678691,39.22754203716587
max_bank_fast_roll,80.81092245684505,35.03087745441376,62.23295849847859,69.58653659699954,80.81092245684505,35.03087745441376,5.336523102286036,-1.5375588830533948,99.81521151290264,39.750291434823446,41.48758113565927
low_rope_ea_low_damping,55.85590102829174,17.85675107259675,35.55841467088937,54.91732623813523,55.85590102829174,17.85675107259675,3.8590130270819607,2.8959322924617066,71.30905381028425,36.10838683781561,36.6947573633357
high_rope_ea_high_damping,57.75219176568949,19.181838266649827,36.15716938298202,56.79433156251161,57.75219176568949,19.181838266649827,3.8975526016135715,2.6594450976054596,72.86020171885085,36.21349008113044,36.84680786663372
gust_and_initial_swing,49.39348339718281,15.510465167564455,34.3834668182604,41.68326459940181,49.39348339718281,15.510465167564453,3.688142845950857,4.049985223137611,63.3607507265168,35.519546031570584,35.8493676512101
monte_carlo_001,75.73271046844125,28.030065492066313,52.79016579037606,65.66003469977187,75.73271046844125,28.030065492066313,5.037871174778829,0.20885818766971104,88.67319524004225,36.525282551337625,37.589013440262285
monte_carlo_002,44.80560584432212,15.246632680307583,31.435608821460846,37.99833884691715,44.80560584432212,15.246632680307581,3.4331199649787614,4.429567884917942,60.65277509418,34.79779422634681,35.03596672519043
monte_carlo_003,46.0925488124696,16.11489422219004,33.09230754484219,40.44853745803257,46.0925488124696,16.114894222190035,3.472762217763947,4.167168225656792,62.50930889716728,34.326311586566575,34.594449198374036
monte_carlo_004,44.35034113387625,14.78726217360256,28.689782336751627,37.791949445324704,44.35034113387624,14.78726217360256,3.384156976157233,5.165695419753625,55.13601834410243,34.01068200392966,34.182635804251035
monte_carlo_005,45.15114097705037,14.64924972438873,31.636017012379398,38.27295345169241,45.15114097705037,14.649249724388728,3.475183288682664,4.318039974674462,61.4676791998513,34.75628615525056,34.98343838299404
monte_carlo_006,76.75187736343777,34.401257265187276,52.67960195129423,68.88576499401428,76.75187736343779,34.40125726518727,5.081038459589388,0.12463784332495743,89.2086603922646,37.4572493072268,38.72097907089418
monte_carlo_007,50.991610069873026,17.4203276554129,32.472210460032926,45.62383118211434,50.99161006987302,17.4203276554129,3.7075598387999875,3.8849218910631493,64.51139349734899,35.186443792557995,35.54370499701792
monte_carlo_008,53.45506183265959,21.13327566817632,36.54156254317563,50.10104833075066,53.45506183265959,21.13327566817632,3.839322122044274,2.6157388605331207,73.14916316684486,35.63964527316583,36.26716324597846
monte_carlo_009,64.9923630540691,22.680092971142336,47.46801816232212,55.97186951957592,64.9923630540691,22.68009297114234,4.38595980357711,0.8317250490024612,84.71265134849783,36.80396657551765,38.02281076668397
monte_carlo_010,44.34798994330354,13.978602012190185,28.566997363163075,39.756276895490075,44.347989943303546,13.978602012190185,3.3793140684011553,5.0312170221189225,56.15382773610526,34.411827214182146,34.58923103890585
monte_carlo_011,46.083760921146215,16.793250758241093,29.80466094019275,37.92785407066779,46.08376092114622,16.793250758241097,3.4673735437584,4.639739176350919,59.12375003280094,34.76679857467501,34.954861189032464
monte_carlo_012,52.3673204254534,18.630153727343885,40.356327573794516,45.37650980175089,52.36732042545341,18.630153727343888,3.873840527365722,3.2398230302564057,68.98413098443913,36.587339968775915,37.026540049662906
monte_carlo_013,57.70584228374969,24.486674432504273,45.945988423575855,48.26881621232156,57.70584228374969,24.486674432504273,4.109773088006905,3.0583487687489614,70.20848500703256,37.56004746852559,38.20703889295245
monte_carlo_014,51.12415315425392,17.17671913101514,36.82042200660398,42.232439240453594,51.124153154253925,17.17671913101514,3.8128738179319166,3.3471318717120067,68.24233822532122,36.262534187091596,36.67566672666311
monte_carlo_015,42.595031227411944,13.253694298397617,27.52240159773377,40.491359865674426,42.595031227411944,13.253694298397615,3.2938970953395916,5.065488215718629,55.915238247012994,34.10567353779771,34.27209254588174
