case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,status,full_trim_velocity,full_trim_alpha,full_trim_elevator,coarse_trim_velocity,coarse_trim_alpha,coarse_trim_elevator,coarse_CD,coarse_D,coarse_CD_wing_profile,coarse_CD_tail_profile,coarse_CD_wing_induced,coarse_CD_tail_induced,coarse_CD_interaction,coarse_CD_body,coarse_D_wing_profile,coarse_D_tail_profile,coarse_D_wing_induced,coarse_D_tail_induced,coarse_D_interaction,coarse_D_body,full_CD,full_D,full_D_profile,full_D_induced,full_D_wing,full_D_tail,full_D_body
0,1.2431041497441027,0.2862423441092849,0.6968978479190777,0.22925636492762438,3,2,2.306394026352029,3.932374013793655,ok,29.880937785335185,-0.7608554601281682,-0.8193856966606392,29.868557133463508,-0.7229494565152804,-0.8960748523667139,0.014661831944231804,2.853147163538853,0.006683527753942328,0.0022313841948324122,0.002213823449808248,0.00023981988981191827,-0.0007008557166060481,0.003994132372442945,1.3005938361676443,0.43422046511426515,0.4308031984284991,0.04666820906007357,-0.13638435548098257,0.7772458102493531,0.014639504084008602,2.8488002679471514,2.4916019399145872,0.3571983280325643,1.2937847398577154,0.4305624968054354,0.7672547032514365
1,1.2052848260847253,0.2694822734723346,0.6227905510589336,0.2100710759437151,6,5,2.787046305070974,6.2337289144581165,ok,29.98604908227258,-0.5700951347519168,-0.8821866926789769,29.970908895811974,-0.5718972323260648,-0.9489320677934017,0.015355484016522597,2.74680601675839,0.006822252805469199,0.0023807278896729096,0.002581409262141183,0.00020846101111674038,-0.0007231172000096382,0.004085750248132203,1.220372150675673,0.42586724616310495,0.4617653527127947,0.03728973694211637,-0.12935200698790889,0.73086353725261,0.015224169637227721,2.7233144783466923,2.3456341493065063,0.377680329040186,1.1967535367532807,0.4218832253747915,0.7269973871784342
2,1.4896466086262328,0.2604175022834375,0.7947209778037677,0.2199159742072997,7,4,2.591687597701414,6.612483132549499,ok,29.83075390203094,-0.9672729483422857,-0.5055020418568322,29.81610204903818,-0.9819697422288907,-0.5764245135707021,0.013873698139823606,2.9334602926858513,0.006920801869331644,0.0019419090202656454,0.0014494285489816516,0.0001738788142614437,-0.0004337728655175731,0.0038214527525007955,1.463337119823519,0.410598021201446,0.3064677530584505,0.036765006145775096,-0.0917171084606385,0.8080095009172993,0.013756002832724948,2.9085727455873576,2.6563675817546186,0.2522051638327392,1.4599719395757242,0.4069482769129373,0.7894473652659569
3,1.1716500234802378,0.2557795713244971,0.6770721642628194,0.228089061941036,6,5,2.4195933950132518,7.321433664467671,ok,30.06657392866181,-0.44215607485761044,-0.8215515628539349,30.043601177884383,-0.4671621636749282,-0.9483725138673633,0.016103644326189447,2.6721566255711102,0.00694636256187097,0.0021901171796795283,0.0028310281717622374,0.0001362550373730665,-0.0005742252799076478,0.004574106655411295,1.152643983395455,0.36341687719344856,0.4697663791574189,0.02260946612511489,-0.09528401492202672,0.7590039346216999,0.0158310051313116,2.6269144576522376,2.229049279929764,0.3978651777224738,1.1202590307182705,0.36204654306460765,0.7467437061468859
4,1.1822626573661257,0.201171065198847,0.5700432973974253,0.15603644019979246,4,2,2.5882943245604824,5.609626725035592,ok,30.326489570797296,-0.033131773712506626,-0.5445575444532603,30.309485745627764,-0.1384184862583725,-0.6386599212199394,0.017743402202302527,2.37720569093613,0.0075694599099452595,0.0022946153266932305,0.0032375620420476954,2.4573360777052957e-05,-0.00025248247279381826,0.0048696740356331085,1.014132631953735,0.30742540528200163,0.4337584654489678,0.003292262240274103,-0.033826814290959614,0.6524237403021115,0.017272993142317446,2.314180157502201,1.9263070272625384,0.38787313023966263,0.9713143163068699,0.30827242409750777,0.6467202868581605
5,1.2587337476325757,0.2622974031731752,0.6757647305218366,0.18485856990643224,4,4,2.4922529246193497,3.972023664727435,ok,30.00323333355254,-0.6435398010601938,-0.7560327593179883,29.98524562186894,-0.6532426739981468,-0.8425797671067664,0.015013218845616894,2.733026825251358,0.006888183134944336,0.0022094736362441845,0.002293609445618328,0.00017676790517529828,-0.0005963056748253911,0.00404149039846014,1.2539342481204816,0.40221559278102254,0.41753179021665116,0.03217907043489364,-0.10855229795196142,0.7357184216502708,0.014846975610336972,2.702761817675203,2.356012092841533,0.34674972483366934,1.2305860783129847,0.39896363425582054,0.7264623802727278
6,1.5567166076808765,0.33,0.8013297726544608,0.270499748416528,5,2,2.6953177252211495,4.747120088327787,ok,29.367352760572093,-1.3190145138170515,-0.5791914541817057,29.39380671494427,-1.2293767476878201,-0.5922996488838347,0.012506444415595874,3.393853166447999,0.006392079173731002,0.0021070379397968293,0.001109623126151334,0.0003665388623265839,-0.0006141846589922602,0.0031453499725823835,1.7346079687445413,0.571783405912561,0.3011165951816374,0.09946704572420667,-0.16667027657399558,0.8535484274590479,0.012736473162975168,3.456273306107725,3.219789101459665,0.23648420464806003,1.8140781578928067,0.5672270977367946,0.8384838458300636
7,1.4764572254019934,0.2461370676113346,0.6777910775043379,0.17356821385885052,5,5,2.7649320588565405,5.031297886474273,ok,29.9318291321474,-0.8404391130351941,-0.5479150980008484,29.915043216167284,-0.8862755794689853,-0.573482990233012,0.01416368584250452,2.82453385669251,0.007056476231340847,0.0021527308475293603,0.0015959985958365287,0.00016899870452531283,-0.0004712527994510616,0.0036607342627235306,1.4072082822223775,0.4292993526406719,0.3182753500254743,0.03370186037566849,-0.09397762008503291,0.7300266315133505,0.013980964339329443,2.7880934633497487,2.532557849977032,0.25553561337271696,1.3881539346687024,0.4243084463112528,0.7200954689970769
8,1.5748936826549746,0.27405659400584087,0.6649376948490736,0.25132163319912754,4,2,2.2437546246962747,4.810792334805506,ok,29.65380914260914,-1.0632328354896423,-0.6148788453050498,29.651537523304576,-1.0703791824825482,-0.5730642788579403,0.013436539960230035,3.1235323919558553,0.006808182769152413,0.0022724929828403426,0.001296812462653097,0.00028225844068147804,-0.0005828830727143678,0.0033596763776170715,1.5826678201937343,0.5282762871545592,0.30146419728428686,0.06561535819348341,-0.13550022280549362,0.781008951935285,0.013415373743857142,3.118609827289137,2.8902225645016877,0.2283872627874497,1.5960958370024567,0.521763499292074,0.7723632282071571
9,1.4964666747484308,0.2878276638001102,0.7183392597492382,0.18822180361872623,3,5,3.1455575168935126,5.498019174981488,ok,29.68341266875956,-1.08190083663975,-0.6253761204765128,29.685163890035827,-1.054949001195322,-0.6293002955177308,0.01322060860322857,3.0731572510795715,0.006686198193947146,0.0021772254504970373,0.001375161878126566,0.0002840332081446157,-0.000594150022104356,0.003292139894617562,1.5542203145523799,0.5061004664184655,0.31965916426425456,0.06602409460513456,-0.13811137622009226,0.7652645874594296,0.013265316554601553,3.083547580156702,2.8321408989108123,0.2514066812458896,1.576277098551564,0.5004040572642794,0.7554597430949688
