model,split,quantity,mae,rmse,bias,p95_absolute_error,max_absolute_error,correlation,sign_agreement,false_pass,false_rejection
current,train,CLa,0.42024044439481767,0.5325981253778641,0.0869619671814908,1.1648243730314454,1.3272172400293831,0.7283600293542413,1.0,0,0
current,train,Cma,0.5707812165827189,0.7229210250085369,-0.3284045432164315,1.4076905354186917,2.163059765830872,0.8785406937763868,0.8761904761904762,13,0
current,train,Cnb,0.07163745884469254,0.09301555779364218,0.005066028587610275,0.18939291540042413,0.31245286387694143,0.17005771282698087,0.580952380952381,27,17
current,grouped_cv,CLa,0.42024044439481767,0.5325981253778641,0.0869619671814908,1.1648243730314454,1.3272172400293831,0.7283600293542413,1.0,0,0
current,grouped_cv,Cma,0.5707812165827189,0.7229210250085369,-0.3284045432164315,1.4076905354186917,2.163059765830872,0.8785406937763868,0.8761904761904762,13,0
current,grouped_cv,Cnb,0.07163745884469254,0.09301555779364218,0.005066028587610275,0.18939291540042413,0.31245286387694143,0.17005771282698087,0.580952380952381,27,17
current,holdout,CLa,0.613161333797407,0.7646648118905239,0.4738956669007463,1.5113946925730952,1.5645171826091686,0.24503396044191378,1.0,0,0
current,holdout,Cma,0.5608500641661327,0.7369407391696947,-0.38857205247366233,1.459890775389575,2.2926133676226796,0.8482815140013169,0.8666666666666667,6,0
current,holdout,Cnb,0.07860007215565767,0.09836716600004339,-0.023504505965051405,0.16982782775661057,0.2814662090891856,0.07350873441931072,0.6666666666666666,10,5
unrestricted_refit,train,CLa,0.41220512628726613,0.5254270429139973,-3.315866100213801e-15,1.0865300063625143,1.2412006479366928,0.728360029354241,1.0,0,0
unrestricted_refit,train,Cma,0.36139665691182876,0.45594053276418767,2.5270790750991657e-16,0.9061773049773703,1.3936588481360834,0.8785406937763862,0.9238095238095239,3,5
unrestricted_refit,train,Cnb,0.0433149397215308,0.05222678454192216,3.3571029554141636e-17,0.09171140474692199,0.12393029724276805,0.5349972622113517,0.8380952380952381,3,14
unrestricted_refit,grouped_cv,CLa,0.4370683273462466,0.5596917645308414,-0.015108735676992103,1.1576213057387783,1.2371592285958668,0.6843041412992351,1.0,0,0
unrestricted_refit,grouped_cv,Cma,0.40026336734192897,0.4933134417512212,-0.0006678089514025127,0.9117609538418753,1.3939188312645507,0.8564774094149273,0.9142857142857143,3,6
