generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,1024,46.433288299973356,22.053144144878225,7615.05928119563,nan,0.986328125,0.2422300898972949,12.384318964674254,-12.384318964674254,-12.384318964674254,1.7353500330824403,0.3360493287816644,0.5552525913342834,0.24368846362456675,0.0,0.35241141236859774,11.183983811603028,4.291799082932811,2.6573804065182403,13.0,8.0,25.0,12.5,410.4875862598419,2201.371483504772,2.837839052081108
2,0,1536,59.66795189998811,25.74246226139205,6503.806757098704,nan,0.98828125,0.27857950436223095,10.689935783453336,-10.689935783453336,-10.689935783453336,1.5925666277515778,0.31141290855574444,0.43055678587406876,0.1760609827262797,0.0,0.4120876881137,11.25472979377245,10.020516690798946,2.509904204335959,18.0,8.0,21.0,13.5,335.30614110864667,2128.5378744557784,17.17075394370125
3,0,2048,75.60527759999968,27.08805608565094,6161.830124399974,nan,0.990234375,0.29325585875276144,10.580853257767377,-10.580853257767377,-10.580853257767377,1.450388807293478,0.36908508674744667,0.6220773948356509,0.24614176392555237,0.0,0.4699949320939997,11.411001572539739,5.952309253798359,3.3657059850724966,20.0,8.0,20.0,13.0,345.46806152057854,2044.0965080202213,25.939159843752684
4,0,2560,98.55479549997835,25.975397615233874,6406.061707498593,nan,0.990234375,0.3132381559211635,10.250375066499698,-10.250375066499698,-10.250375066499698,1.7614364262705773,0.3361716354168537,0.6129242258146406,0.28626902168395724,0.0,0.566441850839958,11.135800036358432,7.425025544958686,3.376859635603437,20.0,11.0,16.0,12.0,372.9914105568497,2041.5275362163136,10.809257104992867
5,0,3072,125.6546005999844,24.447970749432162,6785.348432399159,nan,0.99609375,0.34278250338554017,10.250375066499698,-10.250375066499698,-10.250375066499698,1.7614364262705773,0.3361716354168537,0.6129242258146406,0.28626902168395724,0.0,0.566441850839958,11.135800036358432,7.425025544958686,3.376859635603437,20.0,11.0,16.0,12.0,372.9914105568497,2041.5275362163136,10.809257104992867
6,0,3584,149.47597859997768,23.977096745366516,6897.248726827542,nan,0.99609375,0.35009566188042823,9.796252223478778,-9.796252223478778,-9.796252223478778,1.739055395555886,0.37266975505719035,0.5648435483037452,0.1076070855294898,0.0,0.5833426448851937,11.660642259755267,9.789524048076613,3.1670323281922736,20.0,11.0,16.0,12.0,318.1312708296267,2009.7209195902828,20.02246174425443
7,0,4096,177.73783359999652,23.045177928848574,7153.947802399859,nan,0.998046875,0.36297816519496695,8.600459428148083,-8.600459428148083,-8.600459428148083,1.7581926250089914,0.2726879513660007,0.46581803173669456,0.20577364703695677,0.0,0.5956789990427923,11.616663476659365,10.419095221265984,3.303007367383912,24.0,12.0,16.0,12.0,273.2905553749259,2432.4163474031343,21.561554093760627
8,0,4608,205.01578119999613,22.47631852059634,7312.229529466528,2.6864537498382993e-05,1.0,0.3722379363725099,8.600459428148083,-8.600459428148083,-8.600459428148083,1.7581926250089914,0.2726879513660007,0.46581803173669456,0.20577364703695677,0.0,0.5956789990427923,11.616663476659365,10.419095221265984,3.303007367383912,24.0,12.0,16.0,12.0,273.2905553749259,2432.4163474031343,21.561554093760627
9,0,5120,225.45804009999847,22.70932541473838,7214.657283199951,2.7168783816514757e-05,1.0,0.368069475157052,8.397521968874035,-8.397521968874035,-8.397521968874035,1.8139014441735384,0.30131528901953525,0.47264900896186707,0.16052496646363096,0.0,0.45935502629289005,11.448152016195904,9.249992228001675,3.100829049182571,22.0,12.0,18.0,12.0,276.5686459709357,2045.8356856761548,19.82095807543071
10,0,5632,246.18537709998782,22.877069573927503,7139.375935899647,2.7318226561345326e-05,1.0,0.36605597283352825,8.397521968874035,-8.397521968874035,-8.397521968874035,1.8139014441735384,0.30131528901953525,0.47264900896186707,0.16052496646363096,0.0,0.45935502629289005,11.448152016195904,9.249992228001675,3.100829049182571,22.0,12.0,18.0,12.0,276.5686459709357,2045.8356856761548,19.82095807543071
11,1,6656,294.72257069998886,22.58395067670415,7186.696531684344,nan,0.986328125,0.23881323639633759,10.793352445527567,-10.793352445527567,-8.397521968874035,1.8099678234200924,0.2942212162166834,0.646522530913353,0.250635920651257,0.0,0.35822748588885434,12.824143997379121,10.798235941647679,3.0590596591701376,12.0,8.0,17.0,10.0,530.4880371782929,2283.9105539023876,2.5124822184443474
12,1,7168,303.1795223999943,23.64275774055423,6843.1949341713,nan,0.98828125,0.2430422641833321,10.793352445527567,-10.793352445527567,-8.397521968874035,1.8099678234200924,0.2942212162166834,0.646522530913353,0.250635920651257,0.0,0.35822748588885434,12.824143997379121,10.798235941647679,3.0590596591701376,12.0,8.0,17.0,10.0,530.4880371782929,2283.9105539023876,2.5124822184443474
13,1,7680,312.2873245999799,24.592736864480774,6558.033816599578,nan,0.9921875,0.25037863405787064,10.793352445527567,-10.793352445527567,-8.397521968874035,1.8099678234200924,0.2942212162166834,0.646522530913353,0.250635920651257,0.0,0.35822748588885434,12.824143997379121,10.798235941647679,3.0590596591701376,12.0,8.0,17.0,10.0,530.4880371782929,2283.9105539023876,2.5124822184443474
14,1,8192,321.93115719998605,25.44643417322626,6317.898960049726,nan,0.994140625,0.2768593930344776,10.13733160425025,-10.13733160425025,-8.397521968874035,1.8180790055871356,0.3656730240140734,0.600032753739353,0.25297739320853596,0.0,0.4103827478785942,11.52472830903774,6.851826885357838,3.315923234448973,13.0,8.0,15.0,7.0,539.5638610519586,1771.9275999255897,9.532393750493648
15,1,8704,333.075998299988,26.13217417173561,6132.51690987625,nan,0.99609375,0.2860237406611544,10.13733160425025,-10.13733160425025,-8.397521968874035,1.8180790055871356,0.3656730240140734,0.600032753739353,0.25297739320853596,0.0,0.4103827478785942,11.52472830903774,6.851826885357838,3.315923234448973,13.0,8.0,15.0,7.0,539.5638610519586,1771.9275999255897,9.532393750493648
16,1,9216,344.6459311999788,26.740486875652305,5973.862807466299,nan,0.99609375,0.3184827309056991,9.111283223970009,-9.111283223970009,-8.397521968874035,1.8283124152551942,0.39470387284702324,0.6595957291466066,0.2524577525278786,0.0,0.3991590195159569,11.458782958836125,7.882526184548919,3.1709897772084714,14.0,7.0,17.0,7.0,488.5466480835989,1883.0899924365663,18.17271063661742
17,1,9728,355.30143849999877,27.37956829296663,5815.723545973664,nan,0.99609375,0.32934254917397593,9.111283223970009,-9.111283223970009,-8.397521968874035,1.8283124152551942,0.39470387284702324,0.6595957291466066,0.2524577525278786,0.0,0.3991590195159569,11.458782958836125,7.882526184548919,3.1709897772084714,14.0,7.0,17.0,7.0,488.5466480835989,1883.0899924365663,18.17271063661742
18,1,10240,365.27229539997643,28.033880830702227,5661.720578699635,nan,0.998046875,0.33792608139245256,9.111283223970009,-9.111283223970009,-8.397521968874035,1.8283124152551942,0.39470387284702324,0.6595957291466066,0.2524577525278786,0.0,0.3991590195159569,11.458782958836125,7.882526184548919,3.1709897772084714,14.0,7.0,17.0,7.0,488.5466480835989,1883.0899924365663,18.17271063661742
