rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,-6.422254626699669,6.422254626699669,6.422254626699669,True,1.8187873636118623,0.3879253361790098,0.5654268146506333,0.22050171837261753,0.0,0.4987220098901749,11.561644481711223,7.590102788101846,3.3327445065212156,20.0,15.0,20.0,11.0,240.54358102346626,2168.2160991012543,12.440238025238974
2,3072,-6.422254626699669,6.422254626699669,6.422254626699669,True,1.8187873636118623,0.3879253361790098,0.5654268146506333,0.22050171837261753,0.0,0.4987220098901749,11.561644481711223,7.590102788101846,3.3327445065212156,20.0,15.0,20.0,11.0,240.54358102346626,2168.2160991012543,12.440238025238974
3,2560,-6.347317213068831,6.347317213068831,6.347317213068831,True,1.8078500827854174,0.3755705115388334,0.6945738376031151,0.22670603279059387,0.0,0.5494268559095673,11.061847428909484,6.424812121674974,3.369828314625398,20.0,15.0,18.0,12.0,248.23881371900842,2412.476287101908,24.244498800746968
4,3073,-6.347317213068831,6.347317213068831,6.347317213068831,True,1.8078500827854174,0.3755705115388334,0.6945738376031151,0.22670603279059387,0.0,0.5494268559095673,11.061847428909484,6.424812121674974,3.369828314625398,20.0,15.0,18.0,12.0,248.23881371900842,2412.476287101908,24.244498800746968
5,2709,-6.337541678601797,6.337541678601797,6.337541678601797,True,1.8022660899471463,0.3835983020854346,0.6331780990949579,0.23866336034105093,0.0,0.4711555251364795,11.366089180728746,5.867239061688378,3.212892769367401,20.0,15.0,18.0,12.0,250.29506013785524,2069.431635282852,5.4605503340260775
6,3074,-6.337541678601797,6.337541678601797,6.337541678601797,True,1.8022660899471463,0.3835983020854346,0.6331780990949579,0.23866336034105093,0.0,0.4711555251364795,11.366089180728746,5.867239061688378,3.212892769367401,20.0,15.0,18.0,12.0,250.29506013785524,2069.431635282852,5.4605503340260775
7,13,-6.290128436135349,6.290128436135349,6.290128436135349,True,1.8093656098991784,0.3633446730215891,0.679152617816452,0.25186541259878287,0.0,0.5250422210225736,11.481838168387007,4.948999029902403,3.33090620418133,20.0,15.0,20.0,13.0,256.8697529952092,2500.238392681663,19.26646374830732
8,3075,-6.290128436135349,6.290128436135349,6.290128436135349,True,1.8093656098991784,0.3633446730215891,0.679152617816452,0.25186541259878287,0.0,0.5250422210225736,11.481838168387007,4.948999029902403,3.33090620418133,20.0,15.0,20.0,13.0,256.8697529952092,2500.238392681663,19.26646374830732
9,2048,-6.286703514340876,6.286703514340876,6.286703514340876,True,1.8283511892241173,0.3490848861168902,0.5172194822683472,0.08871795093461936,0.0,0.34099434167484394,11.473499994050496,4.884834875717467,3.2334548555412628,20.0,15.0,20.0,15.0,257.2390496435637,2576.7237444897255,31.078714509732794
10,3076,-6.286703514340876,6.286703514340876,6.286703514340876,True,1.8283511892241173,0.3490848861168902,0.5172194822683472,0.08871795093461936,0.0,0.34099434167484394,11.473499994050496,4.884834875717467,3.2334548555412628,20.0,15.0,20.0,15.0,257.2390496435637,2576.7237444897255,31.078714509732794
