rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-5.319201093993316,5.319201093993316,True,1.4953140111353773,0.31530249302359775,0.8611370294659819,0.1373461398285229,83.0,17.0,1.216531941233169,3.7551745753599484,21.1894473102315,15.12931872967877,242.76984864722397,1475.2329103529237,0.8652600083199329,0.9672058374852593
2,24,-5.309146747748856,5.309146747748856,True,1.4537952775221723,0.312823887065376,0.8441331846908486,0.11181134820416679,90.0,10.0,1.1696807633519324,3.3008676988020893,17.781393425960225,13.906012972571883,301.5498667971982,1498.1003522418089,0.8643960393357288,0.9005304157753566
3,178,-5.303707765130632,5.303707765130632,True,1.450209999424245,0.3535723559313438,0.8465018857556618,0.2730141907506345,86.0,17.0,1.3368056651474136,4.01321195222066,17.52628171432729,12.040623457549046,348.0498803444134,1607.3359733511502,0.9432950096360209,0.8879873930251987
4,92,-5.302678817718968,5.302678817718968,True,1.4508013912447701,0.37806018522203866,0.8390828148410407,0.10034275316267151,94.0,11.0,1.3401042014743672,3.467544368156961,14.630832904572236,9.373826002427286,358.7700594818424,1843.3907233038897,0.9014687405570857,0.937041400255199
5,126,-5.291533894375778,5.291533894375778,True,1.4879621459425798,0.3580765982809799,0.814177933003841,0.28853022325328115,84.0,12.0,1.272934341649793,4.131949464916879,19.721318882438236,14.95863133395947,305.6621701606401,1282.1608732161717,0.8367719049440059,0.7745802866174244
6,171,-5.284924234646243,5.284924234646243,True,1.4681328431253151,0.34636137871989325,0.8467076341083523,0.09689385775807334,86.0,18.0,1.3583580921152372,3.278550988266017,15.528589984976373,12.190838022774273,301.89086299679076,1342.5625144264936,0.9057678186964788,0.9683447465128971
7,246,-5.281637075426052,5.281637075426052,True,1.5048176778455526,0.35091261324656053,0.8685229922174416,0.14082843193241024,75.0,18.0,1.5139377451094864,3.7771458115311907,16.119005767541577,12.03915061572864,372.0532724740757,2995.4672732434333,0.9072960444344288,0.8449945198879361
8,164,-5.280758210401286,5.280758210401286,True,1.4325891184195811,0.37527076247786445,0.8627343427255939,0.18143207974594341,71.0,18.0,1.4358053986172707,4.01255389772649,22.323116744989896,14.79716949716195,273.66334632797157,1091.6137941146199,0.8627467246874563,0.8516067048428915
9,225,-5.270999080381392,5.270999080381392,True,1.4485048299783654,0.35718657521467123,0.8512808678671717,0.13851927681350334,71.0,16.0,1.3940317453490605,3.362248864490539,20.13280795274431,15.84869467991821,253.81430160186733,1689.2127376696224,0.8926725863965561,0.8771661299999545
10,153,-5.262819315783085,5.262819315783085,True,1.45166529840338,0.3277477463330316,0.879364811146031,0.10804703083138188,79.0,18.0,0.9578116558452072,3.5784834561985353,20.522308522859323,14.52907057833521,292.7455417328281,1495.737345648719,0.8722802425537375,0.840661363483415
