generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,1024,47.4119142999989,21.5979467422606,7775.553945199819,nan,0.978515625,0.27651723952125046,6.9753237486490125,-6.9753237486490125,-6.9753237486490125,1.7411090346569704,0.3812861750344007,0.8972504550749711,0.17603674603482833,0.0,0.22691174871422506,8.123187233910873,1.67801330285557,2.480585137130441,11.0,8.0,22.0,13.0,511.61888656266814,1574.3730018490924,31.627219393849373
2,0,1536,55.163336400000844,27.84458120629514,6012.803667600092,nan,0.984375,0.2934005551613594,6.9753237486490125,-6.9753237486490125,-6.9753237486490125,1.7411090346569704,0.3812861750344007,0.8972504550749711,0.17603674603482833,0.0,0.22691174871422506,8.123187233910873,1.67801330285557,2.480585137130441,11.0,8.0,22.0,13.0,511.61888656266814,1574.3730018490924,31.627219393849373
3,0,2048,63.91359710000688,32.04325985275799,5208.958163650561,nan,0.990234375,0.3090180059498323,6.9753237486490125,-6.9753237486490125,-6.9753237486490125,1.7411090346569704,0.3812861750344007,0.8972504550749711,0.17603674603482833,0.0,0.22691174871422506,8.123187233910873,1.67801330285557,2.480585137130441,11.0,8.0,22.0,13.0,511.61888656266814,1574.3730018490924,31.627219393849373
4,0,2560,73.21095280000009,34.967445472175264,4758.711932000006,nan,0.9921875,0.3230895041757063,6.9753237486490125,-6.9753237486490125,-6.9753237486490125,1.7411090346569704,0.3812861750344007,0.8972504550749711,0.17603674603482833,0.0,0.22691174871422506,8.123187233910873,1.67801330285557,2.480585137130441,11.0,8.0,22.0,13.0,511.61888656266814,1574.3730018490924,31.627219393849373
5,0,3072,83.57491019999725,36.75744302504918,4513.045150799851,nan,0.9921875,0.33401829450398,6.9753237486490125,-6.9753237486490125,-6.9753237486490125,1.7411090346569704,0.3812861750344007,0.8972504550749711,0.17603674603482833,0.0,0.22691174871422506,8.123187233910873,1.67801330285557,2.480585137130441,11.0,8.0,22.0,13.0,511.61888656266814,1574.3730018490924,31.627219393849373
6,0,3584,93.04135600000154,38.52050479573772,4293.193998285786,nan,0.994140625,0.34744457748161917,6.9753237486490125,-6.9753237486490125,-6.9753237486490125,1.7411090346569704,0.3812861750344007,0.8972504550749711,0.17603674603482833,0.0,0.22691174871422506,8.123187233910873,1.67801330285557,2.480585137130441,11.0,8.0,22.0,13.0,511.61888656266814,1574.3730018490924,31.627219393849373
7,0,4096,101.90171700000064,40.195593563943326,4101.544109250026,nan,0.994140625,0.3557579363217468,6.9753237486490125,-6.9753237486490125,-6.9753237486490125,1.7411090346569704,0.3812861750344007,0.8972504550749711,0.17603674603482833,0.0,0.22691174871422506,8.123187233910873,1.67801330285557,2.480585137130441,11.0,8.0,22.0,13.0,511.61888656266814,1574.3730018490924,31.627219393849373
8,0,4608,110.99844400001166,41.514095458847294,3958.944502667083,nan,0.994140625,0.3694195572239788,6.9753237486490125,-6.9753237486490125,-6.9753237486490125,1.7411090346569704,0.3812861750344007,0.8972504550749711,0.17603674603482833,0.0,0.22691174871422506,8.123187233910873,1.67801330285557,2.480585137130441,11.0,8.0,22.0,13.0,511.61888656266814,1574.3730018490924,31.627219393849373
9,0,5120,120.18332460000238,42.60158401376008,3845.866387200076,nan,0.994140625,0.3701299077051535,6.9753237486490125,-6.9753237486490125,-6.9753237486490125,1.7411090346569704,0.3812861750344007,0.8972504550749711,0.17603674603482833,0.0,0.22691174871422506,8.123187233910873,1.67801330285557,2.480585137130441,11.0,8.0,22.0,13.0,511.61888656266814,1574.3730018490924,31.627219393849373
10,0,5632,130.09279340000649,43.292175168249706,3772.691008600188,nan,0.99609375,0.3859165546099137,6.593276571147207,-6.593276571147207,-6.593276571147207,1.7395927396075312,0.35013436327805986,0.8356252512734903,0.16722923439785772,0.0,0.266402831990736,8.938537988241631,7.733596100053676,2.9793547191288887,11.0,8.0,20.0,15.0,521.2458670590252,1926.6285311312338,15.209726169705391
