generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,64,10.847550200065598,5.899949649425266,21.695100400131196,0.0,34.82672711697232,-34.82672711697232,1.484286067854613,0.3824750221148133,0.40051621739226223,0.2187515149753719,3.0,15.461442577990898,1.8301555311175086,24.06767233274877,15.69233126363132,360.0207262461644,2793.6035840949107,0.5099388649687171,0.9477199474349618
2,96,19.388194900006056,4.951466626734293,19.388194900006056,0.0,29.05325,-29.05325,1.441580955256743,0.2901353580358663,0.7121316624847722,0.23297174284234642,2.0,8.105233380405174,2.56626316891613,22.908447942924774,11.05803069061714,312.08509686623427,2655.271565321599,0.895387396243623,0.8311313525204763
3,128,29.209195400122553,4.382181646792741,14.604597700061275,2.583602900080476e-06,29.05325,-29.05325,1.441580955256743,0.2901353580358663,0.7121316624847722,0.23297174284234642,2.0,8.105233380405174,2.56626316891613,22.908447942924774,11.05803069061714,312.08509686623427,2655.271565321599,0.895387396243623,0.8311313525204763
4,160,37.43190460000187,4.27442850450073,7.486380920000374,1.7981943337271309e-06,28.71475,-28.71475,1.4185984595279366,0.3417149394995508,0.3880628456869603,0.2925106507690819,0.0,14.246191677946415,1.1352094195857236,22.188333945021775,12.874373791331085,266.78040185750297,2729.347069990052,0.8117477003743047,0.9656039002130512
5,192,45.588313000043854,4.211605724471869,0.0,1.7980868066894084e-06,28.71475,-28.71475,1.4185984595279366,0.3417149394995508,0.3880628456869603,0.2925106507690819,0.0,14.246191677946415,1.1352094195857236,22.188333945021775,12.874373791331085,266.78040185750297,2729.347069990052,0.8117477003743047,0.9656039002130512
