rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,28.71475,-28.71475,True,1.4185984595279366,0.3417149394995508,0.3880628456869603,0.2925106507690819,0.0,14.246191677946415,1.1352094195857236,22.188333945021775,12.874373791331085,266.78040185750297,2729.347069990052,0.8117477003743047,0.9656039002130512
2,25,28.975,-28.975,True,1.4884958761441163,0.27945739286130217,0.6213502521618954,0.15306863808053184,1.0,9.525728137343837,3.3814251205366745,17.576067833056353,11.121524036714074,315.30245927834227,2937.7526266310347,0.9516374278987468,0.8780731528744433
3,11,29.05325,-29.05325,True,1.441580955256743,0.2901353580358663,0.7121316624847722,0.23297174284234642,2.0,8.105233380405174,2.56626316891613,22.908447942924774,11.05803069061714,312.08509686623427,2655.271565321599,0.895387396243623,0.8311313525204763
4,1,29.1385,-29.1385,True,1.2652882660446798,0.2562998143847748,0.7773511988006663,0.21090316975527806,1.0,6.558213596093441,1.5000606699314245,17.99307090230286,10.729799293431856,303.8694341204185,2390.513731268651,0.9398784365135113,0.8828553063437139
5,31,29.1685,-29.1685,True,1.4969307746631495,0.3191478585093838,0.7891330250096134,0.2028223808457645,1.0,6.012819345814018,2.1213808591674153,24.05210800039422,12.08501528240345,275.00284814600195,2890.445600810287,0.7677612610580838,0.8858872808928877
6,16,29.18325,-29.18325,True,1.2491534422580153,0.24731047087714098,0.8183210706466395,0.18080388059839606,1.0,5.749107764262486,3.1776550489247137,16.916306297435266,10.504097852224314,307.77279492366085,2257.4302389903983,0.9533632988197314,0.7254588914873055
7,15,29.76374126567798,-29.76374126567798,True,1.481015726442147,0.20928954884716974,0.35563541419238,0.20408557436449737,1.0,6.681331882467674,1.8283311666342061,14.311207689268214,8.789191977031958,402.20567039068396,2088.382323292572,0.7994469026823359,0.9100475632692544
8,4,33.05122145009752,-33.05122145009752,True,1.4926025300291708,0.3372117294371128,0.5652547118951229,0.23456828995684453,1.0,9.081819982072304,1.2759696440215473,20.680269998987253,11.821627933681842,225.02399305498017,2644.3365312120527,0.7593070089268296,0.803579191211611
9,24,33.76903976155114,-33.76903976155114,True,1.4441404963819666,0.37223432998097017,0.5183529483658252,0.20402544711894638,4.0,7.457714124767147,1.28318040484285,17.94491764581863,10.21381632450506,353.55067630810527,1235.6836394112224,0.7846919405801368,0.7664386409620726
10,19,33.86120037033503,-33.86120037033503,True,1.3148867488650526,0.3466994465881705,0.8079017746146948,0.21799527447636152,2.0,6.889229199550657,1.2562257997813202,15.97266759922165,10.695319149141339,419.2878129578215,2204.4628872003113,0.9685624936627579,0.8820458567571714
11,29,34.02136757909036,-34.02136757909036,True,0.9419564217620647,0.28378469014743396,0.8390598141870635,0.20354117111514022,2.0,5.493298656267218,1.785542246232338,24.046560623818266,10.12305096286863,273.8533996036113,2667.2611778923647,0.8368406420574817,0.8385936935663465
12,7,34.08150912154923,-34.08150912154923,True,1.4924827181126206,0.356716945402981,0.5754573112084158,0.2471275736546913,3.0,15.238473606571961,3.3559115476654924,22.586671657743338,14.843478246346049,297.2744322765582,2568.630266030321,0.6170922443270683,0.8778307077968774
13,23,34.326498703265955,-34.326498703265955,True,1.3015618042703718,0.17209476813673974,0.5642907341193163,0.20315420347409238,0.0,7.6018283104937945,1.0709516662380099,24.422214925142757,11.5214136056602,376.3395528984788,2338.8214177402297,0.730966713532994,0.8962652217596769
14,27,34.708856148484536,-34.708856148484536,True,1.3837178904921814,0.36389712598222423,0.38009262211367467,0.24387241598786888,4.0,6.63614453161717,3.097325395026776,20.636773415960814,14.2719443639194,203.74088523017366,2604.374669781594,0.7910669436647434,0.8686470318246198
15,20,34.82672711697232,-34.82672711697232,True,1.484286067854613,0.3824750221148133,0.40051621739226223,0.2187515149753719,3.0,15.461442577990898,1.8301555311175086,24.06767233274877,15.69233126363132,360.0207262461644,2793.6035840949107,0.5099388649687171,0.9477199474349618
16,30,34.93895052833788,-34.93895052833788,True,1.033698508957004,0.3444724869425141,0.8975872929865087,0.14605572883974777,3.0,13.118851689018127,2.908578221238792,19.666884808979447,13.313790862479697,341.9441471658259,2926.422536098723,0.7916278564371169,0.9338603035952029
17,9,35.32635335431128,-35.32635335431128,True,1.1066954790037211,0.32075828798604356,0.6333385859296926,0.18549945667727094,3.0,9.004178645534592,1.658559165269259,22.406848559005297,11.880666166155232,335.4000999224143,2241.4170378274434,0.5947997066504863,0.684971537733153
18,18,36.765171242191634,-36.765171242191634,True,1.1255728963873448,0.36911265050532927,0.6101651808995407,0.18961166897466714,2.0,10.21233062859737,2.1998536854361874,23.98275109985162,13.995793670476502,334.9717172179454,2240.374471319783,0.5660914525481755,0.9938621669771439
19,22,37.252800884897965,-37.252800884897965,True,1.481757934339913,0.3220031653298356,0.5563372234048516,0.16157362550345422,2.0,13.684712124799582,2.103441475017974,23.97649137533009,10.853681574368922,372.48234864264657,2397.709755690556,0.8572453362518524,0.9195512674446532
20,13,37.37059649164762,-37.37059649164762,True,1.283548195054437,0.277788111297569,0.4078899761917806,0.19300348259433933,1.0,13.782243346446059,1.6507980584352984,23.090745709430436,12.52993982949509,290.2615941189727,1976.5771632428136,0.815952900643792,0.8940496585194425
21,26,38.01977369184534,-38.01977369184534,True,1.0183734676414353,0.3765490194263816,0.6218808788050498,0.08752506519431796,1.0,12.829189160628719,4.312272357654324,20.422478355065522,15.258052012280741,288.5126565574759,2969.7662617262963,0.9679668530091003,0.6454696774338706
22,2,38.51962698263095,-38.51962698263095,True,1.363780083873236,0.28411176891538126,0.354297035803096,0.2631614781978904,0.0,13.880339001290922,3.043902542543423,23.786127979730598,16.17764947252897,244.1276974941557,2837.5548047273087,0.7800448471680284,0.8178108336167678
23,28,38.579459933877466,-38.579459933877466,True,0.9686515878383071,0.3312876162279865,0.7819858897657597,0.10986181071906531,6.0,7.0937970841174485,3.128539458848536,23.720505121164024,12.27064401563257,253.65893312782254,2522.756096047245,0.9020315916277468,0.7204812164418399
