quantity,paired_count,mae,median_absolute_error,bias,correlation
velocity,145,0.08452841017118566,0.07031317291768957,-0.016825080210140148,0.9785820100082678
alpha,145,0.06818966317888343,0.06113848644390274,-0.019466284685555127,0.9943439391590284
elevator_deflection,145,0.1768927215244324,0.11411016065737845,0.08814825204396172,0.9765661911639265
