case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,coarse_status,coarse_velocity,coarse_alpha,coarse_elevator_deflection,coarse_elapsed_seconds,full_status,full_velocity,full_alpha,full_elevator_deflection,full_elapsed_seconds,full_error
0,0.8715402700129861,0.3181621972489185,0.7977672647345363,0.2259469548546263,8,9,4.03236563626821,5.275465240880569,ok,30.017322575209583,-0.03536993923816515,-1.5371612013922067,0.15454500005580485,ok,29.917781342601465,-0.046411849509582964,-1.4156081762339014,1.1215016001369804,
1,1.5216835716455137,0.23981233604375757,0.5163277216260798,0.20009386017368375,8,3,1.681891111091934,7.238435240264451,ok,29.817178569459813,-0.8473890635474196,-0.570815532394048,0.012378899846225977,ok,29.8833843267229,-0.7819265615304016,-0.6465805223794727,1.0455726999789476,
2,1.7144713439969608,0.258478355845525,0.44901266266069617,0.11076963094344668,9,9,4.224621597021677,1.6314154273117378,ok,29.41473817067356,-1.0280597312463917,-0.5378735332353285,0.014421400148421526,ok,29.591634372097687,-0.9823050570638827,-0.7180114857917509,1.0677202001679689,
3,1.3592799124713257,0.15566101149139105,0.41005465421717213,0.1625617006328319,6,10,2.476167112055384,2.673622259725164,ok,30.39131588370829,-0.07943298726251465,0.31833476361237706,0.010958000086247921,ok,30.427710372714024,0.030507567988525237,0.19653602243244955,1.0149425000417978,
4,1.2055795710558828,0.26550443226819975,0.31768609422567623,0.27047299037629424,4,2,4.061396506276465,9.490302282516907,ok,29.635053167793608,-0.2934867892822586,-1.2013491086146222,0.012294499902054667,ok,29.797263470884516,-0.2597347091906567,-1.284669070494321,0.9826231000479311,
5,1.7167737840109059,0.3229131523835297,0.8924179656516358,0.23039434244141982,7,6,4.348021868416848,8.256870077578226,ok,29.38849216367936,-1.3723327044253177,-0.45019216331294265,0.01400720002129674,ok,29.27210088300952,-1.4264292400069785,-0.4446599374134336,0.9704410000704229,
6,1.3008472564461542,0.14901117258071933,0.5444485595811379,0.17946382174859163,5,4,4.38972390074183,1.9865410517471127,ok,30.508060512864645,0.1199565267509684,0.47225594780079716,0.011966800084337592,ok,30.48806265675428,0.20090283662994202,0.2492917485538065,1.0476341999601573,
7,0.9745212671180152,0.27345178468333686,0.49147258583589437,0.1871609236514737,5,3,0.6297493843992703,2.842675842797416,ok,30.001313426780488,0.005069730970218666,-1.4501487040799805,0.011538299964740872,ok,30.056560252152643,0.03804724464703071,-1.3821517944224107,1.0133051997981966,
8,0.8338205267907275,0.2218235601745025,0.8266636365608011,0.0925679855868219,5,1,1.3397178167498054,4.03995001754308,ok,30.37501119652475,0.7825856052619045,-1.4780125762104506,0.012080400018021464,ok,30.271123587897684,0.9143931711700508,-1.331321291407706,1.0864818000700325,
9,1.1511269950763343,0.27386953846478734,0.3264614132461098,0.1782925492483824,5,5,2.9493185704490403,9.03586029906277,ok,29.641019502005808,-0.22467724297448688,-1.303025691514248,0.012408299837261438,ok,29.841921367849235,-0.20616290233072837,-1.3733943186764814,1.0260007998440415,
