extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
0,1.5,-1.5,4,48,1.2049882430076455,0.37526823698555317,0.7045497143698864,0.15232420330563784,21.43381548995113,2.1779335440809877,24.591568244777918,14.547528975941898,480.6994778713485,1530.611214205722,0.8148260055109297,0.6136567204122908
1,1.5,-1.5,1,42,1.0950737140104176,0.3952442150935531,0.5702710608020425,0.1692892467789352,20.25731391732257,2.735654226038605,18.767769504338503,13.0784927951172,449.9002544209361,1361.8734311312437,0.6240543681196868,0.6890292027965188
2,1.5,-1.5,1,45,1.2685444568938284,0.33480907297689344,0.8158570038594937,0.16138824747875333,18.278340719981887,1.1576341080815866,16.22440615668893,9.290173199431736,491.5074450957968,1823.514835828829,0.9731351423773638,0.8251671840693318
3,1.5,-1.5,4,17,1.3999287034106758,0.303002304584651,0.700099886009006,0.22257231090099303,18.901569784972164,1.2781178142766063,21.385788037566037,13.576401792847072,493.7699720561996,2140.1693957496004,0.913824982121463,0.979073229933793
4,1.5,-1.5,2,98,1.5081507322784211,0.2717057144500299,0.7872350152897718,0.20178426824785847,20.318011837959787,1.894250035380408,16.74707497902712,12.81473194249066,444.7201297718137,1108.9736867791776,0.5352477412670851,0.6377966698094981
5,1.5,-1.5,1,0,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
6,1.5,-1.5,6,64,0.9482885158517724,0.3510255599919022,0.8544568521418172,0.16678188800656826,18.67464853789473,2.305703038713621,24.699078724992685,17.427154322464006,244.36166104612914,1821.034534881175,0.8992412337080331,0.8582513501107714
7,0.4542839232258741,-0.4542839232258741,1,44,1.5002336821760984,0.3618203166499734,0.7533668143674731,0.26507567092776296,7.749956588741232,2.3099845638498664,19.631428653374314,13.793875233270228,419.79228975251317,1214.6785128861666,0.9927041959017515,0.6753744762390852
8,-8.808,8.808,4,38,1.3378941773300748,0.27482357575699695,0.8382714434972589,0.19953626908035377,12.553319691028214,2.9920831525052423,23.2631917451563,11.118884294960665,459.3580006432182,2458.054033659759,0.7121451922058301,0.9447317285169429
9,-7.640031017644761,7.640031017644761,1,40,1.3067108621411025,0.2851433403044939,0.4345840690657496,0.09380443666130306,5.958785292896495,1.2650162484496832,12.638882733881474,7.06119700986892,263.5167599655688,2436.455197632313,0.8432809766381979,0.506562708877027
10,-8.6435,8.6435,1,115,1.5106966602299363,0.19086440641433,0.830732055567205,0.27598103687167164,15.54145438342346,3.7024774635210633,14.027542751282454,9.537286764010787,226.32517432793975,2365.797832608223,0.8390837339684367,0.7774035311304033
