rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,-1.5,1.5,True,1.056891283169209,0.3412436365567884,0.8482903130927169,0.2107365482718509,5.0,20.778979976516084,1.3623582091951774,16.99944738230657,11.176065982403465,425.34162570368915,1878.1108604635542,0.9301694302543702,0.881509464851193
2,1,-1.5,1.5,True,1.0656524427134586,0.30832165175094756,0.8565112981815151,0.19480076008889793,5.0,21.327715000636644,1.4443347368523105,16.895566103342194,11.282749359963326,434.98298122283927,1562.396249367238,0.963018698977402,0.9652568311976316
3,2,-1.5,1.5,True,1.1108328025752372,0.33061852559943516,0.8293660389167583,0.09654712943280033,5.0,21.650260757865656,1.527518245988564,18.435086136614153,12.512812558457025,411.5143182221545,2131.2159451917164,0.9070463402994945,0.6789578526045261
4,3,-1.5,1.5,True,1.1862571376529971,0.3728450745804436,0.8168641753231002,0.1445809069178158,5.0,18.959289104584293,3.048095769214956,18.224176697926417,12.758651383403008,428.0308755147209,1591.7146686512306,0.8367434391644358,0.908980821763286
5,4,-1.5,1.5,True,1.4375520208096604,0.37088092419086793,0.7887326185816192,0.17957545435373506,4.0,21.107626583046084,1.5612571031091529,24.297820821018252,13.61817328381471,438.62106882168064,1892.215902317762,0.9150857999180924,0.9774963746173191
6,5,-1.5,1.5,True,1.1364477343431179,0.3455002007704482,0.643648024452067,0.2221937864612613,5.0,20.97473970043908,1.4895874406982557,16.434270452117985,12.347123827926715,404.2748827885106,1981.9465830524725,0.9024302271710509,0.9136994358300209
7,6,-1.5,1.5,True,0.9606739113307707,0.3616379280831029,0.8651879284489931,0.16825426183464404,5.0,19.560179622808917,2.3215580551974297,21.59731334652374,11.320483950088052,398.6474437115541,2011.9762113173533,0.7634540668996489,0.8182007689824762
8,7,-1.5,1.5,True,0.9559095268427833,0.3871758512188543,0.732888330435941,0.1759191963040988,5.0,21.655347573937583,1.3225390364899576,17.139009178774852,12.220830493162296,424.3496203677813,1629.5669197640477,0.846773007862544,0.8577655943374008
9,8,-1.5,1.5,True,0.9472485288088897,0.3709706830790565,0.7883477806380152,0.13131411564568934,4.0,20.470078850685425,2.190860336890434,21.870287488373627,14.90336065445943,406.5403928779666,2287.154776703684,0.9174890715057293,0.9555737808514847
10,9,-1.5,1.5,True,1.2097736386348437,0.325220636632614,0.5239183702859878,0.1840818750457191,5.0,20.360947712347343,1.376893777894014,17.523235968501027,10.963421471165193,459.4969086910131,1908.8818617254685,0.9239503262313982,0.8507597602249719
11,10,-1.5,1.5,True,0.9808941328573416,0.363912889012827,0.8644671522096681,0.1557367390374169,4.0,19.966099660291484,2.767985541442005,16.727962008903805,11.905996824226735,449.67484836878674,2550.8663405540974,0.9728538793821462,0.7770803217420991
12,11,-1.5,1.5,True,1.0466309225770554,0.3341544120371325,0.6610553904180596,0.2648605916378639,5.0,19.875022486239413,1.5826910019682576,16.787453644793736,8.693253014731678,405.2640021973338,1659.7722606077389,0.9267254835102536,0.6978689215590554
13,12,-1.5,1.5,True,1.2719402683984624,0.3262156112961575,0.6529700828511176,0.22569768886388866,5.0,19.142539331436183,1.9659191620534735,18.828697543701576,11.434953229684586,409.6277324952285,1959.4421619581328,0.7962223195510969,0.9493874741250257
14,13,-1.5,1.5,True,1.1866022286495033,0.3421115508008533,0.8419711603334024,0.1056266764214847,5.0,20.703675347607312,2.050219780355147,18.105030437144734,11.993609697242166,419.5076941516135,2475.9378292059414,0.8789265796180699,0.6091883831062391
15,14,-1.5,1.5,True,1.333772169578469,0.39333027727785896,0.8714327266792463,0.16318406406028327,5.0,21.7445860510038,2.7825143096267295,22.85609997917695,12.114633446658669,400.06320802993264,2346.914455924007,0.8089596870885671,0.8478674899520355
16,15,-1.5,1.5,True,1.0218232806358727,0.36434739986128156,0.8956802743429888,0.17261763702987287,5.0,20.081622718168724,2.831073117862054,18.785264798009607,13.106466977486294,462.8955876167306,2469.6075547735313,0.9630750200041753,0.8649433407473375
17,16,-1.5,1.5,True,1.3009427781442282,0.35006583923232437,0.7531832009645882,0.21400964600359995,5.0,18.54597176549356,2.182572142732383,18.209698879223254,10.738136467709616,394.2023464961101,1471.4425402703555,0.9248135244228195,0.9358530231960416
18,17,-1.5,1.5,True,1.3159008574799593,0.36082940885263753,0.8284646660782771,0.15839510761518752,5.0,19.83251371383406,2.036453336702982,18.963993378447512,12.225482159888886,418.7962220634727,1997.4667119677479,0.9398803264503132,0.6690855329935159
19,18,-1.5,1.5,True,1.0339127482289494,0.3903735971642916,0.8792833835620741,0.2364264604038973,5.0,20.457920891952142,1.2832208228310553,21.146265887585248,11.22494780047099,429.19394312787733,1855.5083754626783,0.8370497510181378,0.6074764601131672
20,19,-1.5,1.5,True,1.3039232997243524,0.3727149180756179,0.6928569059516141,0.1670956124926427,5.0,19.372632943678102,2.3958597434620863,17.5925187856265,12.713089362492163,385.8784370472848,1470.838282665648,0.7127485469958598,0.8692918029322457
21,20,-1.5,1.5,True,0.9632997949661706,0.36729347267720047,0.7849889162730541,0.13566774239593962,5.0,21.175686368599788,1.809995698272285,18.614421588869078,10.494670253068218,398.3615978070923,1661.1892878804208,0.9082047597736884,0.708918668362944
22,21,-1.5,1.5,True,0.9862156628018467,0.32728762772805076,0.7257501485655381,0.26876290813813136,5.0,21.691036752046177,1.3053373352105848,19.373194500227388,9.616258752277908,391.38182028181666,1885.6126544199399,0.9048203656360576,0.6979135684459629
23,22,-1.5,1.5,True,1.280797177967789,0.3588625236794144,0.8199595980939587,0.19948948345297418,4.0,19.188668074122408,1.0865834992584988,19.84947141298857,10.234305741847708,399.3006990970299,1601.108670009995,0.9953667189272204,0.8600414284142304
24,23,-1.5,1.5,True,1.2538195286479485,0.3620241654933454,0.7934163099890799,0.1701842858392093,5.0,19.12119994626055,1.9762044571689787,21.679677826747174,12.99228692415032,429.3399427985046,1742.102763751265,0.7615144615503397,0.5511382522881425
25,24,-1.5,1.5,True,0.948555301173911,0.3671656617429757,0.8641241327946717,0.2561352509527058,5.0,18.711624195407833,1.9049221638166496,16.49078608560289,12.050778673985816,434.3316252766828,2193.7046722207606,0.8466965147559244,0.8338562269035189
26,25,-1.5,1.5,True,1.0017666913214471,0.3922956410357058,0.7329096775904673,0.17667820163601144,5.0,21.016318301732458,1.1619666420738597,16.780538965542227,10.37939940160377,405.6827788359242,1304.4130295799546,0.8101584428408656,0.946007128979941
27,26,-1.5,1.5,True,1.170067842378597,0.3394545996832434,0.8776453889896184,0.2604369992800383,4.0,20.255791975152245,1.4131790958013435,21.572243130239404,11.02613285410777,425.6967098559077,2921.508152304527,0.9257951273126951,0.7559810321405273
28,27,-1.5,1.5,True,0.9901544374845639,0.33498463588438854,0.8304734444717476,0.1300228108249362,5.0,19.684248114713412,1.7512089258667658,20.089287353842018,11.171883862684098,475.74715848578677,1821.912324481861,0.9211367837457299,0.9448758732832583
29,28,-1.5,1.5,True,1.217830332146268,0.336595580434421,0.7955070064374328,0.19510189934341265,5.0,20.802477368227155,1.1420493592414893,17.975126281827475,13.171884366273526,396.99148243037087,1489.3339632899106,0.7821277389875982,0.9166831873420265
