extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
0,5.088433316609287,-5.088433316609287,35,0,1.4511925298057498,0.35990570183843373,0.7033116599544883,0.22241666361689566,0.4601159581471234,0.11614502297453583,3.5768151649258684,0.8036890136663288,2.3696076130947548,10.213332148268819,6.371360648056077,498.7902149092406,2326.953800395131,0.8915212326683104,0.739130868576467
1,-6.041749926221416,6.041749926221416,8,259,1.0656786477555247,0.17935171656714854,0.8315992824733258,0.1801332526824996,0.21099253686676678,0.08754352248453764,0.42159994949442137,0.08945538864694669,2.621509824943291,12.424268081910707,8.790055621780585,544.2074885126203,1708.7189780529716,0.5151252804728537,0.5739221715251092
2,-5.337787345655345,5.337787345655345,8,0,1.5897627622246744,0.21011707886904757,0.5984254903526074,0.10442838653240827,0.17286602369934762,0.11537538413716178,1.4192153661543472,0.9136843555415908,3.3109841855349993,12.4799901536718,6.6749418874872175,448.8494561601966,2259.5273325893813,0.9229871807619929,0.9819096551184054
3,-8.05877138072156,8.05877138072156,41,169,1.6569326896701009,0.28147565357676196,0.44462675582617517,0.18535263353821882,0.4832109812483293,0.02771065435096976,0.7198944483666097,0.42953397399899984,2.5745305830268417,12.659259862109982,6.3703191658559595,476.2153240502826,2238.9996107667685,0.7687304993160069,0.7472748753074258
4,-17.260801011117717,17.260801011117717,50,161,1.6564695180039473,0.35180316774548837,0.763080947604442,0.12186527587001994,0.2592364513443152,0.14589805391795507,1.069418703621558,0.052524975796032436,2.1829480744809624,14.906810548665195,6.867821890972852,376.06704373495745,2430.471951679411,0.9949672660871656,0.9894309755601569
5,-16.12015877801891,16.12015877801891,17,48,1.6096498222691544,0.3318442305549979,0.4654820770025253,0.2879647621468031,0.1767390599255086,0.06343359410101546,0.7040427686639603,0.30377719098542144,2.409727871205604,11.033635067757139,7.986805040736379,634.9346878472716,2422.112057706408,0.5757979438640177,0.8036658244008814
6,-5.82897208874941,5.82897208874941,27,0,1.3212965920310467,0.295952127724886,0.5869998453184962,0.22138944275677203,0.15408182029165327,0.020417918137088417,0.3960352610070572,0.18452703111775293,2.517201565004684,10.912481304258108,8.232790482668182,557.1070535108447,2309.8153583705425,0.5946960905566812,0.5396963781677186
7,-29.36,29.36,27,357,1.1901556997399778,0.3496339560300112,0.7539336662739515,0.09436382096260786,0.16450177525989707,0.04682728565372526,2.2239657591346287,2.157759815033323,1.9464620490734639,11.670884131453931,5.558822912490826,233.1316809169948,1163.0947720259428,0.9475386426784098,0.6070033693686128
8,-28.830763920841587,28.830763920841587,35,223,1.013834234123677,0.39230416584759953,0.7298735696822405,0.16615575928241014,0.2944725326299667,0.11300901700844988,0.24545394960852462,0.14477923848763652,3.3686447461714613,14.713931605219841,11.478106160093326,340.0984873995185,2305.945308879018,0.7394852233119309,0.9881351375952363
9,-29.421714285714287,29.421714285714287,19,290,1.5443611391615124,0.39652341529726987,0.8553913984447719,0.09899324445053935,0.17264246218800539,0.06377540210857988,1.2437520431704527,0.5374013750335962,1.2544422296656141,23.160491604357958,10.586342922341487,402.27996087633073,2912.3018570244312,0.6519332425668836,0.7201724969781935
10,-37.94914552355974,37.94914552355974,48,245,1.1610213394718925,0.39428128710905486,0.8050568991548224,0.144726073196065,0.36488881073401164,0.14680320421604395,1.4995108255938447,1.3967347118967695,2.1745960551595656,15.311543031441,6.348009006519575,267.4621494415284,1095.083968759526,0.8516512053676965,0.8302067816203564
