mission,total_mass_kg,weight_n,cg_x_m,cg_y_m,cg_z_m,static_margin,static_margin_percent,static_margin_feasible,placement_feasible,inertia_xx_kg_m2,inertia_xy_kg_m2,inertia_xz_kg_m2,inertia_yy_kg_m2,inertia_yz_kg_m2,inertia_zz_kg_m2,warnings
M1,4.08746011126,40.081633851,-0.00199043892352,0,-0.0611280889068,0.386920302305,38.6920302305,False,True,0.0988190534722,0,-0.0330361852318,0.345557654375,0,0.411446289184,"M1 static margin is 38.69%, above the configured 35.00% limit; no penalty is applied because a successful M2 flight satisfies M1."
M2,55.2214410363,541.501450802,0.055394093884,-0.0235199062379,-0.133884151184,0.2,20,True,True,0.921875875235,0.00595774751689,-0.0146065943573,1.18895588527,0.0914151548395,1.49783688038,"M1 static margin is 38.69%, above the configured 35.00% limit; no penalty is applied because a successful M2 flight satisfies M1."
M3,10.0874601113,98.917633851,0.0348701611212,0,-0.138078228783,0.266853201182,26.6853201182,True,True,0.143865311823,0,-0.0135442068142,0.444215051053,0,0.46941225751,"M1 static margin is 38.69%, above the configured 35.00% limit; no penalty is applied because a successful M2 flight satisfies M1."
