mission,total_mass_kg,weight_n,cg_x_m,cg_y_m,cg_z_m,static_margin,static_margin_percent,static_margin_feasible,placement_feasible,inertia_xx_kg_m2,inertia_xy_kg_m2,inertia_xz_kg_m2,inertia_yy_kg_m2,inertia_yz_kg_m2,inertia_zz_kg_m2,warnings
M1,2.69302412515,26.4077945713,0.105020881376,0,-0.0481499110205,0.121731764942,12.1731764942,True,True,0.0756798317796,0,-0.0201010957609,0.205004738474,0,0.270714794642,
M2,2.91702412515,28.6043385713,0.105552533214,-0.000214739396428,-0.0525884138836,0.12,12,True,True,0.0765575011648,2.36850543147e-05,-0.0200848495128,0.206056554469,-1.47902975433e-05,0.271093001507,
M3,2.89704136653,28.4083876402,0.10916476247,0,-0.0447590681652,0.108233780924,10.8233780924,True,True,0.0762052622259,0,-0.020638428148,0.20731397459,0,0.27258434399,Mission-3 banner center x=-0.2362 m was outside its allowed range and was clipped to x=0.1639 m.
