score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
-9.73382860881335,9.73382860881335,385,1.81204261467594,0.37655418864334783,0.8443949855879365,0.18895673056602488,0.0,15.076793486420232,12.894146894359178,3.3751074157557697,24.0,12.0,21.0,13.5,229.3391962733981,2421.418843936359,20.26090105716706
-9.835863454767477,9.835863454767477,363,1.8000958890896186,0.37493181649185003,0.4637257387516169,0.22123840228436695,0.0,15.03051214391592,14.501116382507862,3.3649698386058127,22.0,10.0,21.0,12.0,269.70284223165686,2197.148555811937,14.417483844375434
-9.9246369732012,9.9246369732012,384,1.808145467328812,0.3735260974087908,0.6961366465207353,0.2817633618307298,0.0,15.101255840325887,12.647420996269124,3.3062556328960317,24.0,12.0,20.0,15.0,233.4425851089646,2320.393180892586,14.297986762723664
-9.9255441942023,9.9255441942023,371,1.8108275608772064,0.33164413022716943,0.41125107007577055,0.08279907185758491,0.0,15.052052350439153,14.557357766966675,3.371529129236417,17.0,10.0,16.0,12.0,374.86209507411354,2373.328039922118,26.015727928223207
-9.959216231751645,9.959216231751645,386,1.8105552950097898,0.358167952157705,0.7937160670317897,0.17657486446273624,0.0,15.120785530265309,10.617855506006133,3.3535076482518438,25.0,12.5,20.0,15.0,220.09513030080905,2379.8570829084015,18.681051229715926
-9.960269254795765,9.960269254795765,340,1.7734466280304857,0.39816200765255605,0.4041436679276351,0.17740887903298413,0.0,15.073675181057705,14.645850978552499,3.3265072642372866,22.0,10.0,21.0,13.5,268.7846190241731,2090.4755080581353,14.057949606940312
-9.965097783516192,9.965097783516192,374,1.8152472459205213,0.3347732651189685,0.594014150648344,0.08991355251992379,0.0,15.082873238276582,14.160917089156783,3.368126018002361,17.0,10.0,17.0,12.0,372.9566680892215,2350.3494072305616,23.46888287961033
-9.97274373719489,9.97274373719489,372,1.8156822712161493,0.3282477810805743,0.4114728540833893,0.0874284104511791,0.0,15.038374584849606,14.479602237631523,3.36452100777597,17.0,10.0,16.0,12.0,369.85385649847785,2237.2887841619904,34.39898015555882
-9.980879658364334,9.980879658364334,348,1.8016521052281604,0.3808621864605384,0.8333993739635218,0.23688671713569065,0.0,15.31788957115209,13.013333228380867,3.3753468601170225,18.0,10.0,17.0,12.0,360.8248352337354,2376.769169859623,19.42150494935408
-9.98681035470842,9.98681035470842,372,1.7958431673917572,0.32571383561749934,0.4435023002321515,0.1717731915946124,0.0,15.041886154676238,14.313759691617587,3.3584894759415946,16.0,10.0,17.0,10.0,385.14840710246216,2224.7392775377775,28.62442677104131
-9.992328432420582,9.992328432420582,374,1.8040775744557758,0.3763977953593589,0.4319588986261321,0.16053077188113085,0.0,15.159307967874865,13.834185673036224,3.3642414136998764,20.0,11.0,17.0,12.0,317.4505481929452,2249.1256957166906,22.392393688587532
-10.005022067506065,10.005022067506065,382,1.7953778183397942,0.381551199534911,0.8071941866640109,0.2410716430996731,0.0,15.126769080702879,13.480523273034873,3.2972338060971533,22.0,10.0,22.0,13.0,267.40840746679646,2143.7983373230554,15.107022997534969
-10.005022067506072,10.005022067506072,338,1.7953778183397942,0.38155119953491096,0.8071941866640109,0.2410716430996731,0.0,15.126769080702879,13.480523273034873,3.2972338060971533,22.0,10.0,22.0,13.0,267.40840746679646,2143.7983373230554,15.107022997534969
