niche_rank,population_index,official_score,optimization_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,1536,-9.73382860881335,-9.73382860881335,1.81204261467594,0.37655418864334783,0.8443949855879365,0.18895673056602488,0.0,15.076793486420232,12.894146894359178,3.3751074157557697,24.0,12.0,21.0,13.5,229.3391962733981,2421.418843936359,20.26090105716706
2,3072,-9.73382860881335,-9.73382860881335,1.81204261467594,0.37655418864334783,0.8443949855879365,0.18895673056602488,0.0,15.076793486420232,12.894146894359178,3.3751074157557697,24.0,12.0,21.0,13.5,229.3391962733981,2421.418843936359,20.26090105716706
3,0,-9.835863454767477,-9.835863454767477,1.8000958890896186,0.37493181649185003,0.4637257387516169,0.22123840228436695,0.0,15.03051214391592,14.501116382507862,3.3649698386058127,22.0,10.0,21.0,12.0,269.70284223165686,2197.148555811937,14.417483844375434
4,3073,-9.835863454767477,-9.835863454767477,1.8000958890896186,0.37493181649185003,0.4637257387516169,0.22123840228436695,0.0,15.03051214391592,14.501116382507862,3.3649698386058127,22.0,10.0,21.0,12.0,269.70284223165686,2197.148555811937,14.417483844375434
5,1563,-9.9246369732012,-9.9246369732012,1.808145467328812,0.3735260974087908,0.6961366465207353,0.2817633618307298,0.0,15.101255840325887,12.647420996269124,3.3062556328960317,24.0,12.0,20.0,15.0,233.4425851089646,2320.393180892586,14.297986762723664
6,3074,-9.9246369732012,-9.9246369732012,1.808145467328812,0.3735260974087908,0.6961366465207353,0.2817633618307298,0.0,15.101255840325887,12.647420996269124,3.3062556328960317,24.0,12.0,20.0,15.0,233.4425851089646,2320.393180892586,14.297986762723664
