epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,-11.917661059957403,11.917661059957403,False,0,1.8189049493768366,0.3349152063167559,0.7252300249632884,0.1839103001084525,0.0,16.680519671129915,11.034595318822909,3.024499839534895,15.813528657381466,8.53905188140887,17.80176772352421,10.0,407.34352503910435,2239.954422668776,16.96128630303732
1,1,-11.262780573138151,11.262780573138151,False,0,1.7011595455300061,0.32713965790523986,0.6025355058663642,0.10238888131701543,0.0,15.225837772840997,7.8419182048370315,3.3483554468431334,16.19463491187075,11.450616870668163,16.877056313386806,8.848438812714708,359.77551252922444,2433.153381568738,31.19653332978487
1,2,-11.748991352910284,11.748991352910284,False,0,1.8169993364210537,0.33123408638642915,0.4583209900657745,0.2520118252607598,0.0,15.173321686684282,14.575989459830694,3.233495957591275,11.655302047168798,7.762510735858766,12.129189623011818,9.646191427053115,567.2569576876361,2087.5871094092327,9.410804480119566
1,3,-11.839838070916176,11.839838070916176,False,0,1.775151313788479,0.36336480195134707,0.7039102015635,0.28356497896994703,0.0,16.33732110923763,9.668862126776293,3.2127729631505875,17.13449132722176,8.229430566993264,18.888485614747005,10.356884372037733,386.49120551928985,2049.3014057054875,7.823720743103699
1,4,-11.798628359146239,11.798628359146239,False,0,1.80934962795041,0.3696258226402724,0.8196357310820257,0.28375643299283626,0.0,15.907021977916427,13.331195743095329,3.1328067476229364,13.844615603194045,10.779210575857768,15.507195540591152,8.946617498444905,425.87058042306035,2691.3404794719295,14.02961127000089
1,5,-11.410827407508755,11.410827407508755,False,0,1.8148741080316073,0.3627905255638887,0.7614627709452043,0.20535978983727488,0.0,15.073818067996248,12.955386027420847,3.1491276273628057,16.26448001394498,6.978602243829837,18.634509838601648,13.192072133639321,429.1310864116614,2673.8184107121933,4.313064306951821
2,0,-10.996128395173114,10.996128395173114,False,0,1.788691240594555,0.3348172969887773,0.6727191387814784,0.12625628405716877,0.0,15.924175153832566,13.733877678746028,3.338230838582866,22.494224111669197,10.227363060601492,18.862092844842305,11.341191650378114,291.9206734926443,2468.534880262485,21.395708058987616
2,1,-11.16638456323059,11.16638456323059,False,0,1.7873437324130885,0.3800554152784155,0.6237787450418046,0.24691483741567335,0.0,15.824730791146202,12.511343351499939,3.268472574485795,14.750325187232416,8.21932263433212,14.704519213459653,10.437923447408306,465.7050048153672,2145.8021003000813,36.20051762588912
2,2,-11.505818371303729,11.505818371303729,False,0,1.8084439553146,0.35537861027954454,0.3566202613044963,0.19581207465022404,0.0,15.491276126432144,12.194885770897077,3.351657980680794,14.35855891447802,6.8357250232120395,11.249075211121568,6.929011959927544,564.2007744992623,2906.371256123381,36.84801642120298
2,3,-10.907641354509868,10.907641354509868,False,0,1.7818203594609585,0.39356341251993365,0.6987267899466292,0.197389437261145,0.0,15.087685141385608,9.265212958889093,3.3179101815594354,20.9699208025325,8.713714116775671,20.679451241735887,12.551989408192382,330.2314234092864,2433.2875751225192,35.3835161606476
2,4,-11.274631384236068,11.274631384236068,False,0,1.7615301869157172,0.36442178872082887,0.4425772335557774,0.11779867121386073,0.0,15.427230301636122,11.074492647203371,3.3107226534485132,13.299163034109451,9.095002982329886,18.592133391188383,8.375840785527854,480.41070335881534,2316.0557175580825,24.718909578726848
2,5,-11.39002811950597,11.39002811950597,False,0,1.742451047179848,0.36250090797438633,0.6304513747090328,0.21289069587521947,0.0,15.143087986515065,12.194735719285145,3.188311808048984,18.48153631348124,8.5,24.357673682351997,16.429493625945902,381.4660869941707,2093.6233342727037,7.205141616814895
3,0,-10.580106990743658,10.580106990743658,False,0,1.7993218739340873,0.3650916157123508,0.6442088598773356,0.09554269217421249,0.0,15.519275037994898,7.606120998812473,3.3746124039031686,24.331744293140044,11.157020349177323,19.22551594754237,11.560360966846035,233.91503651074873,2546.650606960822,27.505000661736542
3,1,-10.593280302131507,10.593280302131507,False,0,1.7889774030289534,0.3845124042066047,0.4259053522344902,0.2651889375896535,0.0,15.032675685836468,11.003205247248639,3.251183784497349,16.52429740750366,8.574752104980846,17.179311861314712,9.119904721563637,366.4732898640692,2204.546090141682,19.17663215287962
3,2,-11.019749598645426,11.019749598645426,False,0,1.7406120562441325,0.38119526960807715,0.38988310557218775,0.23033379279495086,0.0,15.688291733692848,13.301859073742579,3.3780530594059828,13.66471100212861,8.053004852212247,15.115973422167295,10.142242021083433,510.0119453158951,2188.6187436730524,21.102399785543927
