epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,-3.2633536179336478,3.2633536179336478,False,0,1.7889306944679229,0.34895542153885883,0.8451704208624783,0.23291261137054758,0.0,0.36600885224118257,12.0,11.483199434693864,3.3338152010030737,18.900352461019956,14.230188675548307,20.0,15.0,252.60392910836188,2241.213210695249,31.316502226294425
1,1,-5.204927407298343,5.204927407298343,False,0,1.8258087624606945,0.3373970901347281,0.7705880823370295,0.16738848518841867,0.0,0.43758950161463084,12.0,10.58064056046925,3.33122620646641,19.73309802569656,10.83483698918996,14.210824729487646,10.0,270.58007421156526,2090.7046980138434,39.52070970537463
1,2,-4.722857648225483,4.722857648225483,False,0,1.818796418744855,0.3839435656449705,0.5428081554202913,0.2574337367337733,0.0,0.381451764517887,12.484155489981443,12.329097713644106,3.313748466754767,19.074365840789323,10.772832670091598,21.208424018405037,12.160182993734443,272.7875992583337,2003.8184459085353,38.131239463852154
1,3,-4.146041660841771,4.146041660841771,False,0,1.8133555126298015,0.3632936932443133,0.8137250111449501,0.14506463155509475,0.0,0.42645359257039034,12.0,5.636525816949615,3.242767903012883,23.163346814693575,14.163346814693574,16.0,11.418326592653212,236.89518088487148,2000.7744918267472,28.619805267347374
1,4,-3.6750013144187603,3.6750013144187603,False,0,1.781234148116186,0.39945336057389425,0.4358674573806182,0.14128812347787334,0.0,0.567960399135282,12.0,9.347630765911497,3.2318731717255984,21.0,14.057243230464486,20.471378384767757,15.596120205699219,240.77107272087918,2158.215346656281,18.490602143737792
1,5,6.316415637100036,-6.316415637100036,False,0,1.8078500827854174,0.3755705115388334,0.6945738376031151,0.22670603279059387,0.0,0.5494268559095673,12.0,6.424812121674974,3.369828314625398,20.0,15.0,18.0,12.0,248.23881371900842,2412.476287101908,24.244498800746968
2,0,-3.2633536179336478,3.2633536179336478,False,0,1.7889306944679229,0.34895542153885883,0.8451704208624783,0.23291261137054758,0.0,0.36600885224118257,12.0,11.483199434693864,3.3338152010030737,18.900352461019956,14.230188675548307,20.0,15.0,252.60392910836188,2241.213210695249,31.316502226294425
2,1,-3.532664329146189,3.532664329146189,False,0,1.8126208373878467,0.33727411170590316,0.8075743443953494,0.08876797450277098,0.0,0.6079399909185541,12.0,9.905996771039629,3.3755069488209797,20.06438576654382,14.16183058134873,22.893819026452174,10.245148108368538,261.9115084277148,2371.1083098659137,23.96995931570475
2,2,-4.722857648225483,4.722857648225483,False,0,1.818796418744855,0.3839435656449705,0.5428081554202913,0.2574337367337733,0.0,0.381451764517887,12.484155489981443,12.329097713644106,3.313748466754767,19.074365840789323,10.772832670091598,21.208424018405037,12.160182993734443,272.7875992583337,2003.8184459085353,38.131239463852154
2,3,6.327955377615641,-6.327955377615641,False,0,1.8228514430392715,0.37959859936965046,0.7355288246497431,0.15893545672891524,0.0,0.5419220091337834,12.0,4.994234598299966,3.275748328642532,21.387299465734568,13.348672799838624,18.064914558376202,11.000684414423306,239.5214771799143,2448.4472693580524,28.44066098276076
2,4,-3.374840044465972,3.374840044465972,False,0,1.8234457078793385,0.3564920254112821,0.7102792484894437,0.10274107052359314,0.0,0.34149441920858914,12.0,10.193193735881042,3.3501594832471904,24.071548040772484,17.917097928586294,22.25901168327597,13.542320805995658,256.17175154037017,2337.1649699522663,20.568866251632848
2,5,6.316415637100036,-6.316415637100036,False,0,1.8078500827854174,0.3755705115388334,0.6945738376031151,0.22670603279059387,0.0,0.5494268559095673,12.0,6.424812121674974,3.369828314625398,20.0,15.0,18.0,12.0,248.23881371900842,2412.476287101908,24.244498800746968
3,0,-3.2633536179336478,3.2633536179336478,False,0,1.7889306944679229,0.34895542153885883,0.8451704208624783,0.23291261137054758,0.0,0.36600885224118257,12.0,11.483199434693864,3.3338152010030737,18.900352461019956,14.230188675548307,20.0,15.0,252.60392910836188,2241.213210695249,31.316502226294425
3,1,-3.4081361367332343,3.4081361367332343,False,0,1.8121611417496986,0.347346900862415,0.8168307057798988,0.21668779083583675,0.0,0.5552413473245728,12.0,10.32164564573227,3.3696085528164907,24.897226329243267,16.727610013778275,20.85233018886875,13.453527981321848,256.18293629661906,2266.5096159011964,24.068942060370333
