niche_rank,population_index,official_score,optimization_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,2560,6.423503507000797,6.423503507000797,1.7857967445759722,0.3782526601170356,0.7707087346853989,0.15390659242111293,0.0,0.4051987253718127,12.0,5.964601905910031,3.3307446381638797,20.0,15.0,20.0,11.0,246.6351494513523,2169.882533881486,28.715998336357266
2,3072,6.423503507000797,6.423503507000797,1.7857967445759722,0.3782526601170356,0.7707087346853989,0.15390659242111293,0.0,0.4051987253718127,12.0,5.964601905910031,3.3307446381638797,20.0,15.0,20.0,11.0,246.6351494513523,2169.882533881486,28.715998336357266
3,2048,6.406062196444673,6.406062196444673,1.793445413430388,0.36217880214707476,0.8149810078514236,0.1432170486936292,0.0,0.3352059857987236,12.0,6.6596476477187005,3.3685929489512274,20.0,15.0,20.0,15.0,246.30384343135412,2276.064615345058,37.354865261794494
4,3073,6.406062196444673,6.406062196444673,1.793445413430388,0.36217880214707476,0.8149810078514236,0.1432170486936292,0.0,0.3352059857987236,12.0,6.6596476477187005,3.3685929489512274,20.0,15.0,20.0,15.0,246.30384343135412,2276.064615345058,37.354865261794494
5,2633,6.401927991715146,6.401927991715146,1.7858242567906635,0.3746870671231866,0.8528548266824406,0.14796514164921537,0.0,0.35149923086407925,12.0,5.613403191727498,3.3381026017541346,20.0,15.0,19.0,12.0,247.33668089393998,2371.0052717937456,29.269298798173246
6,3074,6.401927991715146,6.401927991715146,1.7858242567906635,0.3746870671231866,0.8528548266824406,0.14796514164921537,0.0,0.35149923086407925,12.0,5.613403191727498,3.3381026017541346,20.0,15.0,19.0,12.0,247.33668089393998,2371.0052717937456,29.269298798173246
