epoch,island,score,objective,duplicate,restarts,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg
1,0,6.2362032629126585,-6.2362032629126585,False,0,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
1,1,6.250457292265303,-6.250457292265303,False,0,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
1,2,6.249860859245074,-6.249860859245074,False,0,1.8247341935347903,0.39785924429661423,0.553208992944933,0.15394001412534422,2.3822483952315636
1,3,6.236713132101329,-6.236713132101329,False,0,1.8109160054770763,0.3807045126644166,0.8826341757486753,0.1995958039177162,22.421412914012173
1,4,6.236777626992485,-6.236777626992485,False,0,1.828613039039248,0.32458931129425767,0.4365338323862937,0.09065495899357166,26.50204085944481
1,5,6.236826860784759,-6.236826860784759,False,0,1.8239887888298196,0.32659833539277316,0.4417767333541178,0.21259990144147123,20.973179317760394
2,0,6.2362032629126585,-6.2362032629126585,False,0,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
2,1,6.250740697167976,-6.250740697167976,False,0,1.8198809128345081,0.3981383709247619,0.5602051893860504,0.23515087994279543,27.186081884422695
2,2,6.251147144036272,-6.251147144036272,False,0,1.8235607129424882,0.398758001412557,0.5604535475184426,0.09274827696056624,16.93609704585224
2,3,6.25132110805023,-6.25132110805023,False,0,1.8237696189880372,0.3996818367521823,0.5700182444676418,0.2051077317073941,15.561570764311906
2,4,6.237855711025413,-6.237855711025413,False,0,1.8240171917842165,0.33265265344065703,0.40921346995464725,0.10751964198509598,29.09873233971659
2,5,6.237740539695986,-6.237740539695986,False,0,1.8240823561733133,0.33219328229439987,0.4086876057155633,0.2083185982417391,22.8122959543626
