rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
83,470,-6.250200240212023,6.250200240212023,6.169951970358585,True,1.82642710221749,0.3919895443692095,0.5205026265475607,0.2192909118281401,19.70456075610993,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
84,132,-6.250171939356206,6.250171939356206,6.169951970358585,True,1.822254838769308,0.3942270295419042,0.5202997074242348,0.22154146352734916,22.05932884756369,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
85,640,-6.237740539695986,6.237740539695986,6.169951970358585,True,1.8240823561733133,0.33219328229439987,0.4086876057155633,0.2083185982417391,22.8122959543626,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
86,724,-6.236982515640013,6.236982515640013,6.169951970358585,True,1.8267865134736228,0.33145380180126294,0.40638404486993784,0.21899308548057966,7.804133074731087,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
87,482,-6.235227375766551,6.235227375766551,6.169910259879652,True,1.756992075677023,0.35218773254660146,0.6831120117801344,0.2710452105193287,11.064708980659635,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
88,47,-6.235133824828794,6.235133824828794,6.169910259879652,True,1.7433401790603995,0.3574466609209776,0.7444633355364204,0.19313414499163628,10.542064048349857,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
89,248,-6.2369715961870025,6.2369715961870025,6.169868554358286,True,1.826593023186631,0.33082068752249977,0.4103601789912736,0.17911815615660015,8.92235911734633,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
90,94,-6.235500898682333,6.235500898682333,6.169868554358286,True,1.760270876168933,0.35028561716012835,0.7092446734794033,0.09771719894404941,15.33362273281966,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
91,106,-6.235242682409805,6.235242682409805,6.169826853793602,True,1.7619261420321437,0.3525728535370944,0.5205549567847928,0.2844594198483114,16.239133644468534,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
92,725,-6.237207739436689,6.237207739436689,6.169743467530743,True,1.824820038204379,0.32879131427288383,0.4749104955959307,0.2261880208683465,10.844064971849221,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
93,642,-6.234138236812268,6.234138236812268,6.169743467530743,True,1.7714212470580968,0.27609292507339744,0.5816838351964252,0.16350595879768015,13.896301960936484,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
94,87,-6.235494473078611,6.235494473078611,6.1697017818308035,True,1.7500907354673616,0.3535578052033948,0.7523088253394135,0.23372131551835995,20.303742534764115,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
95,346,-6.235099222040421,6.235099222040421,6.169660101084013,True,1.7563870039303735,0.3522120261392333,0.6129884229257172,0.13597243301583736,13.970170138402104,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
96,690,-6.234159073661794,6.234159073661794,6.169618425289488,True,1.7368556987186161,0.28542214537335786,0.6381705560640552,0.18241283635129543,17.765181110225363,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
97,735,-6.234122225072248,6.234122225072248,6.1695767544463465,True,1.7623214951762327,0.27795108460315643,0.779193965501594,0.19406243656949507,15.118889416033843,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
98,213,-6.235372578252582,6.235372578252582,6.169535088553706,True,1.7611810772020369,0.34838881443968095,0.7152812966765245,0.2502544317021966,21.690233405500784,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
99,713,-6.2344011266155075,6.2344011266155075,6.169535088553706,True,1.7800918264624201,0.2734390374966456,0.535811310297599,0.2519895240482059,23.694248342175097,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
100,814,-6.233857594649682,6.233857594649682,6.169535088553706,True,1.7651384073906464,0.3470656824744281,0.6695076322110882,0.08154345939308803,1.9202253645919853,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
