niche_rank,population_index,official_score,optimization_score,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
1,355,6.177115554156079,6.2294625174097735,1.82492741088871,0.2815421975250818,0.6029079360006129,0.10012557207734757,11.615336863661964,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
2,96,6.177115554156079,6.229138444638031,1.8122920354401972,0.28482710356296254,0.6346370392042443,0.1658180130058773,8.710732251260143,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
3,561,6.176817697433226,6.229406252102256,1.8074384735900095,0.2852403796113157,0.6710387711140541,0.1363938886616283,14.854094631258182,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
4,862,6.1765625907933455,6.22915580602471,1.822058106236709,0.2804853271450748,0.7152292975187021,0.25421060348221414,13.861526393212442,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
5,442,6.176052928103455,6.2287238664733815,1.8189897700035627,0.2810053966655158,0.5011543220601945,0.22957181423088885,19.285098166732833,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6,458,6.17601048931224,6.227964002231993,1.8169648173325197,0.28036214658323433,0.7355251293959749,0.09931307130716176,7.875779358128128,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
