score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
6.25132110805023,-6.25132110805023,84,1.8237696189880372,0.3996818367521823,0.5700182444676418,0.2051077317073941,15.561570764311906,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.251147144036272,-6.251147144036272,81,1.8235607129424882,0.398758001412557,0.5604535475184426,0.09274827696056624,16.93609704585224,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.250819715086551,-6.250819715086551,80,1.8279574092989463,0.39510268064677123,0.5428179885306608,0.13076726864955288,26.41311106102321,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.250740697167976,-6.250740697167976,74,1.8198809128345081,0.3981383709247619,0.5602051893860504,0.23515087994279543,27.186081884422695,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.25053501861193,-6.25053501861193,84,1.8166128224816496,0.3978090571494869,0.55702499146424,0.2769072097669306,20.093816450641423,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.250457292265303,-6.250457292265303,13,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.250200240212023,-6.250200240212023,88,1.82642710221749,0.3919895443692095,0.5205026265475607,0.2192909118281401,19.70456075610993,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.250171939356206,-6.250171939356206,71,1.822254838769308,0.3942270295419042,0.5202997074242348,0.22154146352734916,22.05932884756369,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.249860859245074,-6.249860859245074,30,1.8247341935347903,0.39785924429661423,0.553208992944933,0.15394001412534422,2.3822483952315636,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.248384723510569,-6.248384723510569,76,1.8247425868731426,0.396040126650295,0.47384054563664224,0.08131748327262411,0.12910466715591085,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.237855711025413,-6.237855711025413,92,1.8240171917842165,0.33265265344065703,0.40921346995464725,0.10751964198509598,29.09873233971659,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.237740539695986,-6.237740539695986,95,1.8240823561733133,0.33219328229439987,0.4086876057155633,0.2083185982417391,22.8122959543626,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.237207739436689,-6.237207739436689,99,1.824820038204379,0.32879131427288383,0.4749104955959307,0.2261880208683465,10.844064971849221,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236982515640013,-6.236982515640013,99,1.8267865134736228,0.33145380180126294,0.40638404486993784,0.21899308548057966,7.804133074731087,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2369715961870025,-6.2369715961870025,74,1.826593023186631,0.33082068752249977,0.4103601789912736,0.17911815615660015,8.92235911734633,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236826860784759,-6.236826860784759,58,1.8239887888298196,0.32659833539277316,0.4417767333541178,0.21259990144147123,20.973179317760394,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236777626992485,-6.236777626992485,44,1.828613039039248,0.32458931129425767,0.4365338323862937,0.09065495899357166,26.50204085944481,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236777626992485,-6.236777626992485,89,1.828613039039248,0.32458931129425767,0.4365338323862936,0.09065495899357166,26.50204085944481,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2367409188442045,-6.2367409188442045,74,1.8279444187203782,0.3267950441053548,0.39823340218889147,0.2676684245941333,29.265000631686217,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236713132101329,-6.236713132101329,39,1.8109160054770763,0.3807045126644166,0.8826341757486753,0.1995958039177162,22.421412914012173,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2366440234811,-6.2366440234811,96,1.8201218820930292,0.37685629219665145,0.7626405657600854,0.1543002644779254,21.88162391092275,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236608366835062,-6.236608366835062,92,1.826049447387196,0.32445324831563876,0.44764439874123013,0.21484155393334686,25.634370786391504,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236530966141289,-6.236530966141289,35,1.7884066355947406,0.3325450685178692,0.7094844398613585,0.2632383892182387,29.78022867781737,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236515615049544,-6.236515615049544,69,1.8166242496503233,0.3961220056112734,0.4998129278404113,0.189980817019959,11.838209796254331,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.23648799489637,-6.23648799489637,17,1.813134171733977,0.3952392827716583,0.4992558178582104,0.17814749879221184,18.56791632529141,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236444943200603,-6.236444943200603,87,1.8140690208083445,0.3792493771580743,0.8495542857690844,0.22446297233508777,31.83697563411225,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2364445323712685,-6.2364445323712685,82,1.8084199151393605,0.3818857602283813,0.8444890527840889,0.1861199044781798,16.471704020318466,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236441145688299,-6.236441145688299,85,1.8269451887639434,0.3033741649294149,0.8799366133706622,0.11460959007370408,29.680261831379894,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236440869599326,-6.236440869599326,39,1.792302374815836,0.3305076019791623,0.7125204333175562,0.27764776799034924,26.069335267332043,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236435889908779,-6.236435889908779,78,1.8269984638257377,0.3036129749211403,0.7806598261342432,0.16315526831380392,21.602333092971957,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236423840082797,-6.236423840082797,76,1.8264228057750516,0.3721924267512064,0.7777155895816081,0.19878940934941544,19.09883988107331,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.23637964134836,-6.23637964134836,60,1.783511761875317,0.33587692089266974,0.6277672079564771,0.10719125176051422,16.08233465541808,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236366784585513,-6.236366784585513,100,1.8230668989948928,0.3255876321397089,0.47641728230625213,0.17465078008295615,11.584954858063517,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.23634848048572,-6.23634848048572,37,1.7852594428649469,0.3328077144633605,0.7744462317536415,0.256144264821624,31.672019799211412,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236333520228847,-6.236333520228847,48,1.8262547229552513,0.37125510226412606,0.8746892631045132,0.13124919453437564,28.205468843283136,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236325285969467,-6.236325285969467,69,1.7883898176933979,0.33116868966215596,0.8956463792937011,0.29820709438178383,31.186191930407645,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236276079846919,-6.236276079846919,35,1.81213187488685,0.3792493771580743,0.8495542857690844,0.22446297233508777,31.83697563411225,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236269486435297,-6.236269486435297,40,1.8261756947775598,0.37335820355139454,0.6994582646181333,0.17432517600455844,18.068381527599268,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2362032629126585,-6.2362032629126585,7,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236164545576138,-6.236164545576138,15,1.8006415761218966,0.3827638804137394,0.8789389105173843,0.1811858955519225,19.505766408405123,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.23616359817496,-6.23616359817496,65,1.7907218964210183,0.33611250418609867,0.47532119320940097,0.25377408800027235,35.09595406953887,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2361470520705575,-6.2361470520705575,19,1.7977712287904781,0.3276703282331714,0.669300468239756,0.27261146927802615,30.042982285236036,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2361470520705575,-6.2361470520705575,68,1.7977712287904781,0.3276703282331714,0.669300468239756,0.27261146927802615,30.04298228523604,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2361360698313195,-6.2361360698313195,71,1.8270901195680693,0.3738864461171747,0.8095241519864171,0.24859687239473077,8.474264503675432,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2361097315553415,-6.2361097315553415,65,1.7961589858512044,0.33515062970199083,0.434289806333335,0.2710797343480944,32.69287809609054,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236069256394151,-6.236069256394151,29,1.79142210710347,0.33008542248363903,0.65190770720912,0.2674632172418628,21.64807541261866,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236058725570725,-6.236058725570725,10,1.7905961340182017,0.335120555029337,0.4909555510283621,0.24874629201636575,35.85494935022066,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236047449126178,-6.236047449126178,57,1.792587305529758,0.3402748075951706,0.3890438479628582,0.21057454800777087,13.958667362319366,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236045883715882,-6.236045883715882,57,1.8130556087758947,0.37685629219665145,0.7626405657600854,0.22594822004078519,20.534240396097864,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236041619172087,-6.236041619172087,65,1.7967939723335362,0.33892090317236023,0.37213690274691186,0.2061371559696047,35.43718474531232,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.236036128994269,-6.236036128994269,67,1.777420482738855,0.3388784653636742,0.6821920243265546,0.261157728041264,35.303415274849,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235947129444314,-6.235947129444314,64,1.7958924557393827,0.3275230583533998,0.806478438857082,0.2450923267156111,15.705349835825684,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235944724503703,-6.235944724503703,68,1.813314734191234,0.3759593695400717,0.8965116006422086,0.26042250178730264,33.2279133835909,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235926643517847,-6.235926643517847,67,1.7971271988525817,0.3276086920764049,0.637953357375961,0.23434858083890983,20.238712713550182,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235920131372937,-6.235920131372937,73,1.8184939290604918,0.3958630103982512,0.4438762264480579,0.26153442965284723,13.497301620704496,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235914514399068,-6.235914514399068,87,1.8166530334170674,0.3956228338212011,0.46324909513699764,0.204801648527669,11.248141118055127,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235907902418213,-6.235907902418213,67,1.7922080419287094,0.33131050364673575,0.5613912286462224,0.26873862681474114,18.176581274400426,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2358943921618595,-6.2358943921618595,9,1.7889622551597666,0.3314888705356398,0.5874420268102355,0.10239343898616125,25.74074554416812,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235885654454162,-6.235885654454162,62,1.7822945046591903,0.3438503457104416,0.4320176389578849,0.272027932568258,29.93922643667894,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235883337133043,-6.235883337133043,30,1.7791750289132624,0.3357426769260553,0.8443816901762009,0.227032053453096,26.302405412815027,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235880085075727,-6.235880085075727,28,1.8117093644284064,0.37757608755193495,0.7570450626837695,0.2697969831858786,27.980762572284256,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235873684446821,-6.235873684446821,62,1.7937199978440757,0.3325440419846811,0.5183530156498196,0.13586624886667187,14.550851221280556,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.23587069523967,-6.23587069523967,68,1.8060091574919461,0.322617373318973,0.8881899020417492,0.1411709355114339,22.137235701702693,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235846447905159,-6.235846447905159,63,1.7885991959293603,0.32906349745070307,0.8156273307433822,0.15732789928402446,27.272322680876147,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235818418871775,-6.235818418871775,60,1.7855236535202446,0.3391246174908811,0.48445776042905525,0.200696981277466,27.641099316809687,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235816016735762,-6.235816016735762,62,1.7918895416558374,0.32828888974032183,0.7663151954246982,0.18563777273323132,18.731894402586523,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235810920545061,-6.235810920545061,62,1.78426055668015,0.3394745014576797,0.49098664348220245,0.18194500757744195,29.826513329578024,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235800632008971,-6.235800632008971,26,1.8233283796382533,0.3736005451824298,0.7476915256197312,0.27963317204161875,38.3185660534821,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2357797844780425,-6.2357797844780425,74,1.7949640848116504,0.33393918852220167,0.43603618258115917,0.1882554256407036,31.273428751472746,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235764419488844,-6.235764419488844,60,1.7900972052125956,0.33199699055057497,0.5522937691510061,0.290217866689731,17.531621260542668,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2357617899816145,-6.2357617899816145,61,1.7971271988525817,0.32954032428711855,0.5123443119197483,0.23434858083890983,24.987925435321916,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235758488127641,-6.235758488127641,78,1.7502820611731467,0.35572544441131926,0.7314101169927525,0.1088671254041607,15.42536708543544,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235732475470752,-6.235732475470752,30,1.8264802852533601,0.3720077127499609,0.7591454211129791,0.22783116655865365,8.89690868355446,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235710080581991,-6.235710080581991,67,1.7764808483756882,0.33798495007988766,0.6751006308668048,0.2690578336021443,35.93972068832727,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235707936804986,-6.235707936804986,35,1.7806524268936834,0.3366459955471773,0.6709268292364238,0.23185496893839014,16.901071059337443,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235690694351802,-6.235690694351802,66,1.789871520705737,0.33190639695114,0.611495316770549,0.29531473455664503,11.823209226899397,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235688768733625,-6.235688768733625,93,1.8051469998550111,0.32318651102739715,0.8546894977727186,0.27697039092031633,15.218481117660367,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235685392940551,-6.235685392940551,80,1.797065861497992,0.32593480109761175,0.7541612120660609,0.21704369701726633,17.292195294592023,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235682746931006,-6.235682746931006,41,1.8074575181324035,0.33159542802721265,0.3808593532070518,0.13407209737226367,22.41224128752947,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235682746931006,-6.235682746931006,45,1.8074575181324035,0.33159542802721265,0.3808593532070518,0.08326505168794911,22.41224128752947,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235682182571468,-6.235682182571468,97,1.7467677145600593,0.35815160094598336,0.6881711279571225,0.15415803799154312,13.286707746584199,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.23567727023408,-6.23567727023408,63,1.7818534755779467,0.3360207913589119,0.6968882185702002,0.2723540426355147,15.136215649192552,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.2356704067465145,-6.2356704067465145,65,1.7977301629705245,0.3273535811818734,0.6015238422900439,0.2874509275757154,35.6538090031529,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235655311228111,-6.235655311228111,10,1.8043992884636053,0.3235853112345909,0.6640773314160191,0.2037596862716168,18.731894402586523,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
6.235652200515136,-6.235652200515136,14,1.813314734191234,0.3759593695400717,0.8965116006422086,0.21718577295977842,38.9925627981232,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
