niche_rank,population_index,official_score,optimization_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1,0,6.499983759409213,6.529115439086919,1.7665358930240742,0.3416691177219161,0.7294451524655018,0.267114631744145,0.0,0.4410600828633223,11.839136740736908,7.272327579340711,3.608870683288315,17.99491378483038,7.952028149261828,434.0726581281366,1681.6917921472848,0.9405108246250392,0.9092070271790932,6.0
2,253,6.375192484630464,6.417669314196017,1.766221435576786,0.35785331360530287,0.47849771697282756,0.2772263191528126,0.0,0.40538095705959765,11.879471073783133,6.927552750739539,3.7311146117397778,17.162237692385407,9.552784675994914,508.92987487584145,2096.5478055904023,0.8881119251161589,0.7112487793931612,6.0
3,247,6.251722677362184,6.262382758019846,1.701298611138036,0.35424385355971044,0.7855015838867467,0.2578482214710861,0.0,0.34772417916376797,10.999765232399243,7.269433939347603,3.5077505883158233,15.5947471402188,9.620671978883951,537.0382672992591,1881.0820518755895,0.8206434261689199,0.7823089136728119,6.0
4,2058,6.236202224195734,6.237942138391209,1.8232223309650117,0.343465564377502,0.6364376528046233,0.10635666309686534,0.0,0.3530990809340765,10.038263824662085,6.476674629122364,3.5759841502094334,13.75340189525642,10.467553490979903,526.2963358260497,2191.0477084763784,0.8019773674917279,0.7158227650168387,6.0
5,302,6.225629789389615,6.264670742413317,1.7060050929903838,0.30122688755440075,0.7551689484484797,0.21735018493379943,0.0,0.35528265665369463,10.920679329494007,7.522602647349531,3.859385182686821,18.415920143376223,10.3511718994233,390.8685057911343,1949.7898570177363,0.8420028318318536,0.9032088227983839,6.0
6,2048,6.184964196831093,6.245601826800838,1.7815974325320052,0.3032815362492353,0.5178314927564214,0.09053251316751795,0.0,0.35765298894871955,10.049035968374056,7.656104371197218,3.2037696177827772,17.06557314099048,11.29171633262399,476.07424359027056,2547.310981190296,0.6633248240546061,0.6514620434868656,6.0
