extra_shipping_containers,score,objective,generation,population_index,wing_span,wing_chord,tail_arm,nose_length,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
0,6.529115439086919,-6.529115439086919,184,0,1.7665358930240742,0.3416691177219161,0.7294451524655018,0.267114631744145,0.4410600828633223,11.839136740736908,7.272327579340711,3.608870683288315,17.99491378483038,7.952028149261828,434.0726581281366,1681.6917921472848,0.9405108246250392,0.9092070271790932,6
1,2.6646144847291002,-2.6646144847291002,153,22,1.6758069176375818,0.3732216243195175,0.4376375573663501,0.17270098608231688,0.20171090770046007,6.269540328330092,3.980799584508251,3.23703014316479,21.025631432332382,13.89938618529899,252.42420464662322,2645.2194247717157,0.861267118869326,0.9325669575824471,8
2,-0.6525019934818586,0.6525019934818586,85,67,1.5522015813865826,0.34618770062281295,0.49696448171890617,0.2228517175866899,0.05632736727744342,2.016456853294935,0.771764186139718,3.935567196569973,14.989961286948972,8.968754131840361,525.2089729781733,2658.9536189109554,0.730133141502241,0.7763860076121922,6
3,-3.3283558603640557,3.3283558603640557,21,464,1.1240350250001998,0.27482463706284765,0.8958529321476818,0.29527092492207885,0.03642790400236845,0.15255918138338664,0.14788993400274109,3.8851594859734178,12.03185100108385,6.920273742549838,579.5320257544518,1633.5453372448683,0.7982766288332641,0.9336493369191885,6
4,-6.615448020987804,6.615448020987804,233,80,1.0851278782193003,0.3334081242977,0.5282737053930759,0.20351921004475448,0.18308665773554395,0.7936977932663858,0.26290886885151643,2.68308616491752,13.2865240345504,10.619040488263558,427.10518531799505,2457.1261123163144,0.9048070583121677,0.6764166909010134,8
5,-3.287801018846851,3.287801018846851,41,261,1.5983621342848986,0.3547444023936987,0.445816939137876,0.1552820430509746,0.32318042102474714,0.7150428603803309,0.4491501045622375,3.90353320306167,23.80095866508782,10.88600896067856,400.6566175725311,2516.835641115904,0.780024261213839,0.7347881528548896,6
6,-5.106571021859129,5.106571021859129,52,65,1.2399239192366454,0.34201298737581926,0.8965298920869829,0.20106497063743262,0.39722580476683184,0.14494807369070273,0.061394517655740444,3.144170227536798,19.91363603583559,14.682250934000406,410.41423925244703,2976.9063275307417,0.8438479961022112,0.5938830152153969,6
7,-10.895072448341027,10.895072448341027,11,86,1.6463599944263696,0.33409328330308197,0.6748955922201276,0.10716622810810804,0.1457480739627033,0.23355024561548987,0.17513146574491145,3.704930921085179,21.39770037960261,16.395592584192986,601.5873531345278,2651.8986262381077,0.5504104509018362,0.7869575675576925,6
8,-18.830454376938167,18.830454376938167,111,266,1.6667726447686553,0.3388179995119572,0.7326721586287022,0.11078782141208648,0.04718261088132858,1.689084785365127,1.4762187855348632,2.6898648515343666,11.403857455588877,6.018397039620936,479.1856206487864,2316.178895533085,0.6137624764814973,0.9209293858148158,8
9,-19.210926398466412,19.210926398466412,62,94,1.5008156501381924,0.2863685751208058,0.8814728321788251,0.11281484765684606,0.17841481568060094,0.7946733052723545,0.5613308270745119,2.6583632111584543,17.697628724222152,11.956008135715564,477.3698572844026,1243.8902949922567,0.8202693449934336,0.6421401213826161,8
10,-19.483714285714285,19.483714285714285,51,406,1.4966709029369056,0.3603748412057758,0.7860664961859585,0.11464388538151979,0.1469075295012444,0.25985831237401413,0.08506550795643975,1.6190634481608868,11.869253213517368,7.322421561764734,231.70087914913893,1535.536965355277,0.5746040595695376,0.5502451504580677,6
