score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
5.696825380866448,-5.696825380866448,99,1.4722640556614277,0.3803528538255275,0.6653600518525459,0.14153360944038684,0.0,0.270038733371907,0.08336461042812249,6.770552435187966,5.5660348810623645,3.34289035714576,22.0,13.0,20.0,15.0,217.69406165510617,1505.4975711502334
5.5974094524100995,-5.5974094524100995,51,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027546,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
5.5974094524100995,-5.5974094524100995,95,1.4694106717627495,0.35695534747093915,0.7161172712221742,0.26506525406613946,0.0,0.22223077860027543,0.06688630442777649,6.1296848769598355,4.976645115900169,2.54826972714147,21.0,12.0,20.0,12.0,236.08770491555333,1309.3414437025785
5.483638639286562,-5.483638639286562,59,1.511241331499825,0.3932528816839837,0.6671989807821589,0.2324754148192642,0.0,0.17591804949366568,0.08237274558304176,5.514015216668064,2.5998757607494483,2.872783620409488,22.0,13.0,22.0,13.0,217.8543075481008,1167.3499437226337
5.483638639286562,-5.483638639286562,95,1.511241331499825,0.3932528816839837,0.6671989807821589,0.2324754148192642,0.0,0.17591804949366566,0.08237274558304176,5.514015216668064,2.5998757607494483,2.872783620409488,22.0,13.0,22.0,13.0,217.8543075481008,1167.3499437226337
5.396849599688652,-5.396849599688652,67,1.406652922842622,0.34020922121262676,0.567853649962652,0.0892358241654255,0.0,0.48388556227505153,0.0805899595460716,5.298861621382763,2.8410656708179545,2.916108348166104,14.0,10.0,22.0,13.0,347.4616804085232,1268.0779134775298
5.129805689119659,-5.129805689119659,67,1.5125774147180708,0.33379229228943585,0.5661702223728592,0.2330851153131808,0.0,0.3343791476250167,0.1070939516746188,3.6337728621012104,1.189871327145248,2.2129797836815985,15.0,10.0,16.0,12.0,291.61312878131866,1561.5803987694267
5.064640813259919,-5.064640813259919,96,1.6489866924818217,0.3624980868014864,0.8305373057370504,0.1821197146172145,0.0,0.3394875415102505,0.11238046532867382,3.6019012465021873,0.18408435567972248,2.4416005147457374,20.0,15.0,21.0,13.5,248.79217739720238,2510.6628562534743
5.013201093018148,-5.013201093018148,95,1.4399372461902455,0.3774844436584023,0.7148556700976131,0.26982481837712646,0.0,0.31425950896558086,0.0801132436088695,2.5491309575086802,1.448319850849927,2.505080773526336,18.0,12.0,18.0,12.0,238.75574299578125,1092.0318149522357
4.9955677543397865,-4.9955677543397865,55,1.2492867483008654,0.392762570604682,0.7148556700976131,0.25833244212042916,0.0,0.3210165144771337,0.04759915852332487,2.5491309575086802,1.448319850849927,2.505080773526336,20.0,15.0,19.0,10.0,260.0567811466857,2194.3169362933754
4.951945187936118,-4.951945187936118,55,1.605269609722936,0.3285486975004041,0.7041285345443282,0.20178099064156413,0.0,0.34177441435083744,0.05238119243909033,2.361911523795804,1.057242644873348,2.3191137983319825,15.0,10.0,16.0,12.0,276.8180470340665,1881.9145734950548
4.9211486707507675,-4.9211486707507675,61,1.4591952393773735,0.2853713083476249,0.580460197014299,0.13003899668265673,0.0,0.3981889590886095,0.08074625722969464,2.090097353196974,1.997784939055748,2.123673445439258,15.0,10.0,22.0,12.0,301.272675378676,1122.2734356631113
4.917051632323802,-4.917051632323802,63,1.6065506959289957,0.2789907818968204,0.626140149586611,0.08693981900159853,0.0,0.4458754657956523,0.045673308203573695,2.28561776685806,1.685440169119154,1.5263028442746336,16.0,12.0,20.0,13.0,289.0609519401907,2965.251812711358
4.772200044973917,-4.772200044973917,100,1.7478671732242692,0.3244204634651767,0.5035257991012982,0.13845747003899245,0.0,0.2519977362057457,0.09243830594962603,1.095697887893067,1.0132485944931204,2.5680642067953388,22.0,13.0,20.0,15.0,217.47537873053915,1466.75158390047
4.710807685641662,-4.710807685641662,82,1.4962328946418901,0.3312871913978673,0.7560431919203595,0.15167985619977115,0.0,0.39687854242787435,0.07951350560334107,1.1806032794222858,0.3356268151384185,1.9478073513760719,20.0,15.0,14.0,10.0,360.5264371917318,2682.92526965917
4.685537014362161,-4.685537014362161,46,1.7320902727738021,0.34023195597530254,0.6630087057187359,0.28132221879437563,0.0,0.5133900234795461,0.08091195644420399,1.214953022357946,0.7745972489160948,1.2075680452021391,20.0,13.0,22.0,10.0,307.7673084102571,1579.0789611637592
4.638193989796583,-4.638193989796583,65,1.6919371142052038,0.2660398914937508,0.41776992141010616,0.17406189832746674,0.0,0.3482386754561215,0.08515514613153727,0.7416219525888721,0.05806404193923953,2.8311865304189805,17.0,12.0,20.0,13.0,231.76145244857724,2274.3039182916027
4.618414769545854,-4.618414769545854,94,1.7022678619926332,0.3381535304083153,0.5845120886401793,0.21699708312605523,0.0,0.5210468714544219,0.015405288479479903,0.4582606618705114,0.4258477809363299,2.2807200471314286,16.0,12.0,16.0,10.0,562.8909697471614,2958.8177503747793
3.6878445518319216,-3.6878445518319216,40,1.4179064858086408,0.2800260984363827,0.7321991265489797,0.16622081892564894,0.0,0.4197190460866119,0.10954613389861606,3.2428677931498555,1.7956640974789906,2.371235326997712,20.0,15.0,19.0,12.0,284.90294601741084,1077.7840368734269
3.2105484507030626,-3.2105484507030626,1,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
3.2105484507030626,-3.2105484507030626,61,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854376,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269428,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
0.3961777158292721,-0.3961777158292721,44,1.80392284203656,0.3554246959038724,0.5945660440251231,0.21076684304785004,1.0,0.34656712419949465,0.045219935841662784,2.968145204058956,1.856429992355018,2.9491332964876467,15.0,10.0,21.0,13.5,330.01605313932487,1269.4601844996214
-2.533544273555245,2.533544273555245,11,1.792656214910373,0.32678985685110096,0.8230587417259814,0.19145581997931002,1.0,0.45763007032647723,0.015252232073154293,0.6563581787734734,0.49298166077511496,1.3452045840991507,11.0,8.0,17.0,12.0,434.586841147393,2984.613373875618
-3.318327562684794,3.318327562684794,40,1.694245294142397,0.3321001311856763,0.8783365976400894,0.1709543930649129,1.0,0.3594132030728389,0.06110338013487544,0.7127007660500411,0.48184891381854555,3.1035137727101754,15.0,10.0,16.0,12.0,297.0639501185611,2035.56884873174
-3.318327562684794,3.318327562684794,82,1.694245294142397,0.3321001311856763,0.8783365976400894,0.1709543930649129,1.0,0.3594132030728389,0.06110338013487544,0.7127007660500411,0.48184891381853845,3.1035137727101754,15.0,10.0,16.0,12.0,297.0639501185611,2035.56884873174
-3.5459239394475777,3.5459239394475777,93,1.675313294458321,0.14290699130589357,0.8911412950085614,0.2449337206030983,0.0,0.20266181603086603,0.09281111412240486,3.624186253115141,0.5930915489402864,2.6104788388215,20.0,15.0,20.0,11.0,240.64850530288197,2774.9500651012168
-4.128602017279161,4.128602017279161,88,1.6351286483465808,0.3504100936752665,0.6837395517098036,0.2105123349302464,1.0,0.2087488964307705,0.13309694759071522,1.2328946738255624,0.5087374155656548,2.4041934602403714,20.0,15.0,20.0,15.0,297.73640511902585,2332.613345023697
