generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
1,0,1024,33.1191775000043,30.91864222775059,1821.5547625002364,nan,0.771484375,3.2044399522200995,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
2,0,1536,41.4234107999946,37.08048106941981,1505.050592399804,nan,0.810546875,3.4563715485863193,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
3,0,2048,50.525206499994965,40.534223249541874,1364.180575499864,nan,0.849609375,3.9617725012406417,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
4,0,2560,58.96297379999305,43.41707744734377,1261.8076393198512,nan,0.880859375,4.518798804778227,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
5,0,3072,71.1804254000017,43.15793257397316,1257.5208487333634,nan,0.900390625,4.689288297161523,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
6,0,3584,84.3894913999975,42.469742861847685,1265.8423709999624,nan,0.91015625,5.131321232785871,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
7,0,4096,93.589658900004,43.76551905565098,1216.665565700052,nan,0.923828125,5.335748057325097,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
8,0,4608,104.184831999999,44.229087013357606,1192.3375217777664,nan,0.943359375,5.77738192305297,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
9,0,5120,114.07777659999556,44.88166014974909,1163.5933213199548,nan,0.9453125,6.542800774752487,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
10,0,5632,125.94656949999626,44.717375172335814,1156.418501772693,nan,0.94921875,7.260748218415782,-3.2105484507030626,3.2105484507030626,3.2105484507030626,1.4708521689624177,0.19925527431070805,0.5619099797944225,0.08674550830854375,0.0,0.5015515074849446,0.08453516376027838,2.729109018830279,2.719920890269435,2.0275375851926882,16.0,12.0,20.0,15.0,323.60296230763197,1825.9680207974923
