score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
6.422254626699669,-6.422254626699669,248,1.8187873636118623,0.3879253361790098,0.5654268146506333,0.22050171837261753,0.0,0.4987220098901749,11.561644481711223,7.590102788101846,3.3327445065212156,20.0,15.0,20.0,11.0,240.54358102346626,2168.2160991012543,12.440238025238974
6.347317213068831,-6.347317213068831,300,1.8078500827854174,0.3755705115388334,0.6945738376031151,0.22670603279059387,0.0,0.5494268559095673,11.061847428909484,6.424812121674974,3.369828314625398,20.0,15.0,18.0,12.0,248.23881371900842,2412.476287101908,24.244498800746968
6.337541678601797,-6.337541678601797,291,1.8022660899471463,0.3835983020854346,0.6331780990949579,0.23866336034105093,0.0,0.4711555251364795,11.366089180728746,5.867239061688378,3.212892769367401,20.0,15.0,18.0,12.0,250.29506013785524,2069.431635282852,5.4605503340260775
6.290128436135349,-6.290128436135349,246,1.8093656098991784,0.3633446730215891,0.679152617816452,0.25186541259878287,0.0,0.5250422210225736,11.481838168387007,4.948999029902403,3.33090620418133,20.0,15.0,20.0,13.0,256.8697529952092,2500.238392681663,19.26646374830732
6.286703514340876,-6.286703514340876,286,1.8283511892241173,0.3490848861168902,0.5172194822683472,0.08871795093461936,0.0,0.34099434167484394,11.473499994050496,4.884834875717467,3.2334548555412628,20.0,15.0,20.0,15.0,257.2390496435637,2576.7237444897255,31.078714509732794
6.282081329807173,-6.282081329807173,298,1.8203454458290442,0.38782101701399274,0.6408250549132147,0.22315747393338364,0.0,0.44490763301930014,11.476726326446105,5.158627643688884,3.1459304146343956,21.0,13.5,21.0,13.5,231.75274985201625,2483.8970210287657,34.31266848018546
6.278539685905425,-6.278539685905425,242,1.8081424097265526,0.3629035016465046,0.6752059659809807,0.11072833322296273,0.0,0.4972437895182377,11.149730211898248,5.893290222845398,3.2802571808634604,20.0,15.0,21.0,13.5,242.29635833517605,2348.686450219958,18.639282388891065
6.2629401795815385,-6.2629401795815385,243,1.7788446523783579,0.3768629672382378,0.538911075462126,0.1561630397923106,0.0,0.37860730084633465,11.173402848480471,4.7513547422467965,3.355150828247214,20.0,15.0,20.0,15.0,248.76233077747975,2570.887194217859,26.63374530824113
6.250468746781164,-6.250468746781164,296,1.7983611076213688,0.37171996535439933,0.5514434135709948,0.2658349555982179,0.0,0.49113246965820445,11.354905273716376,6.2035392018756195,3.2096328134507743,20.0,15.0,19.0,12.0,247.54628701623213,2151.918085317367,9.709372982154136
6.250332432567408,-6.250332432567408,250,1.7994384430464612,0.3834216860093749,0.8400277160498613,0.1796578125937295,0.0,0.5243157820492673,11.914399585019769,3.9871864190740265,3.3239152465835216,20.0,15.0,20.0,13.0,253.82931682339705,2506.735846573515,18.61642128213277
6.248240897219519,-6.248240897219519,246,1.7868830912514877,0.34599972254553135,0.7173787081439507,0.1326537103768953,0.0,0.5393048496401394,11.016210899401027,5.100025717157963,3.2619282608095532,20.0,15.0,16.0,12.0,244.02108823052617,2203.7530209867637,21.20241637310245
6.247065637567653,-6.247065637567653,240,1.814709064393784,0.38211986840532464,0.6340019942527644,0.27688315256480645,0.0,0.41124384534360103,11.001485248480135,5.063709826974381,3.26602859167744,20.0,15.0,17.0,12.0,256.66374660787784,2838.2536355556085,34.75688248622987
6.221033326950976,-6.221033326950976,298,1.8144139967321078,0.3743338683607649,0.6108134283560012,0.2296297805503653,0.0,0.43622149416465206,11.109986282393397,7.2693620820362055,3.264236617146742,20.0,15.0,18.0,12.0,264.85155973257827,2189.3943457974747,0.3137902938753889
6.213977465278349,-6.213977465278349,246,1.7572510020573104,0.3604709044124637,0.8094462628261938,0.183666164020032,0.0,0.5268154259314264,11.046621501773629,4.5861282421715766,3.1087857550061013,20.0,15.0,20.0,11.0,253.1650677358569,2193.991290198811,20.93605607305056
6.202970724233718,-6.202970724233718,236,1.7952538779208767,0.3650698165277194,0.5415629504175766,0.26841574616694186,0.0,0.4220704095126319,11.047536608936007,4.790885527237139,3.31542313168352,21.0,13.0,20.0,12.0,231.31383683333138,2520.090620334848,34.78805981309832
6.19753461958981,-6.19753461958981,229,1.7729196912915959,0.36217880214707476,0.6244312236559298,0.10308620653705523,0.0,0.3351938678191516,11.12040813756845,6.6596476477187005,3.279243699340208,20.0,15.0,20.0,15.0,246.30384343135412,2379.214850281561,29.23027573714907
6.195233656841216,-6.195233656841216,247,1.8084458454163101,0.35876182030905457,0.8132661454241725,0.24316148708359842,0.0,0.6072626946964632,11.212419157119072,6.714183908724472,3.261174507258578,20.0,15.0,21.0,13.5,248.05242795196608,2333.1367041142407,30.60215019397118
6.193884527127529,-6.193884527127529,290,1.801275950251771,0.37467126030685693,0.6430035591133748,0.28945462709125414,0.0,0.3559253951536768,11.420091386971011,2.8514870473746665,3.239642997761835,20.0,15.0,20.0,15.0,239.50499398804357,2368.8610671513097,33.490993473446544
6.193469418279984,-6.193469418279984,284,1.8265655536920278,0.36948954797254835,0.7763745140844778,0.08907150641960979,0.0,0.3735769567663919,11.793655085504845,6.117053912656249,3.1904204420291977,20.0,15.0,21.0,13.5,247.3222677364107,2276.6905745900353,37.77563181008814
