generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,1024,252.67806039983407,4.05258770143968,41439.20190557279,nan,0.986328125,0.2422300898972949,12.384318964674254,-12.384318964674254,-12.384318964674254,1.7353500330824403,0.3360493287816644,0.5552525913342834,0.24368846362456675,0.0,0.35241141236859774,11.183983811603028,4.291799082932811,2.6573804065182403,13.0,8.0,25.0,12.5,410.4875862598419,2201.371483504772,2.837839052081108
2,0,1536,346.9238040999044,4.427485176421261,37814.69464688958,nan,0.98828125,0.27857950436223095,10.689935783453336,-10.689935783453336,-10.689935783453336,1.5925666277515778,0.31141290855574444,0.43055678587406876,0.1760609827262797,0.0,0.4120876881137,11.25472979377245,10.020516690798946,2.509904204335959,18.0,8.0,21.0,13.5,335.30614110864667,2128.5378744557784,17.17075394370125
3,0,2048,455.4546188998502,4.49660606131724,37119.55144033779,nan,0.990234375,0.29325585875276144,10.580853257767377,-10.580853257767377,-10.580853257767377,1.450388807293478,0.36908508674744667,0.6220773948356509,0.24614176392555237,0.0,0.4699949320939997,11.411001572539739,5.952309253798359,3.3657059850724966,20.0,8.0,20.0,13.0,345.46806152057854,2044.0965080202213,25.939159843752684
4,0,2560,489.2474242998287,5.232526269634765,31801.082579488866,nan,0.990234375,0.3132381559211635,10.250375066499698,-10.250375066499698,-10.250375066499698,1.7614364262705773,0.3361716354168537,0.6129242258146406,0.28626902168395724,0.0,0.566441850839958,11.135800036358432,7.425025544958686,3.376859635603437,20.0,11.0,16.0,12.0,372.9914105568497,2041.5275362163136,10.809257104992867
5,0,3072,521.8480945997871,5.886770559842632,28179.797108388506,nan,0.99609375,0.3427825033855402,10.250375066499698,-10.250375066499698,-10.250375066499698,1.7614364262705773,0.3361716354168537,0.6129242258146406,0.28626902168395724,0.0,0.566441850839958,11.135800036358432,7.425025544958686,3.376859635603437,20.0,11.0,16.0,12.0,372.9914105568497,2041.5275362163136,10.809257104992867
6,0,3584,549.2520317998715,6.52523758219958,25344.0580387655,nan,0.99609375,0.35009566188042823,9.796252223478778,-9.796252223478778,-9.796252223478778,1.739055395555886,0.37266975505719035,0.5648435483037452,0.1076070855294898,0.0,0.5833426448851937,11.660642259755267,9.789524048076613,3.1670323281922736,20.0,11.0,16.0,12.0,318.1312708296267,2009.7209195902828,20.02246174425443
7,0,4096,604.9071406999137,6.771287234699665,24347.512413171527,nan,0.998046875,0.36297816519496695,8.600459428148083,-8.600459428148083,-8.600459428148083,1.7581926250089914,0.2726879513660007,0.46581803173669456,0.20577364703695677,0.0,0.5956789990427923,11.616663476659365,10.419095221265984,3.303007367383912,24.0,12.0,16.0,12.0,273.2905553749259,2432.4163474031343,21.561554093760627
8,0,4608,779.0483374998439,5.914908970588649,27786.057370827766,2.6864537498382993e-05,1.0,0.3722379363725099,8.600459428148083,-8.600459428148083,-8.600459428148083,1.7581926250089914,0.2726879513660007,0.46581803173669456,0.20577364703695677,0.0,0.5956789990427923,11.616663476659365,10.419095221265984,3.303007367383912,24.0,12.0,16.0,12.0,273.2905553749259,2432.4163474031343,21.561554093760627
9,0,5120,908.443004499888,5.636016761248153,29070.176143996414,2.7168783816514757e-05,1.0,0.368069475157052,8.397521968874035,-8.397521968874035,-8.397521968874035,1.8139014441735384,0.30131528901953525,0.47264900896186707,0.16052496646363096,0.0,0.45935502629289005,11.448152016195904,9.249992228001675,3.100829049182571,22.0,12.0,18.0,12.0,276.5686459709357,2045.8356856761548,19.82095807543071
10,0,5632,1032.3652876999695,5.455433330723142,29938.593343299115,2.731822656134533e-05,1.0,0.3660559728335282,8.397521968874035,-8.397521968874035,-8.397521968874035,1.8139014441735384,0.30131528901953525,0.47264900896186707,0.16052496646363096,0.0,0.45935502629289005,11.448152016195904,9.249992228001675,3.100829049182571,22.0,12.0,18.0,12.0,276.5686459709357,2045.8356856761548,19.82095807543071
