case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,status,error,main_seconds,mech_seconds,prop_m1_seconds,aero_m1_seconds,prop_m2_seconds,aero_m2_seconds,prop_m3_seconds,aero_m3_seconds,prop_total_seconds,aero_total_seconds,module_total_seconds,other_seconds
0,0.8715402700129861,0.3181621972489185,0.7977672647345363,0.2259469548546263,8,9,4.03236563626821,5.275465240880569,ok,,0.03668000013567507,0.007100199814885855,0.007068500155583024,0.002835199935361743,0.008485700003802776,0.0029526001308113337,0.007663700031116605,0.0003279000520706177,0.023217900190502405,0.006115700118243694,0.036433800123631954,0.0002462000120431185
1,1.5216835716455137,0.23981233604375757,0.5163277216260798,0.20009386017368375,8,3,1.681891111091934,7.238435240264451,ok,,0.04911120003089309,0.00436190003529191,0.008219900075346231,0.007299500051885843,0.007993800099939108,0.007171399891376495,0.00816949992440641,0.005679899826645851,0.02438320009969175,0.02015079976990819,0.04889589990489185,0.00021530012600123882
2,1.7144713439969608,0.258478355845525,0.44901266266069617,0.11076963094344668,9,9,4.224621597021677,1.6314154273117378,ok,,0.044854799984022975,0.0049554998986423016,0.008726200088858604,0.00622399989515543,0.008540900191292167,0.006073700031265616,0.007258899975568056,0.0027191999834030867,0.024526000255718827,0.015016899909824133,0.04449840006418526,0.00035639991983771324
3,1.3592799124713257,0.15566101149139105,0.41005465421717213,0.1625617006328319,6,10,2.476167112055384,2.673622259725164,ok,,0.05048380000516772,0.005780600011348724,0.006702600046992302,0.004429799970239401,0.013668500119820237,0.003460500156506896,0.013008799869567156,0.0032643000595271587,0.033379900036379695,0.011154600186273456,0.050315100234001875,0.00016869977116584778
4,1.2055795710558828,0.26550443226819975,0.31768609422567623,0.27047299037629424,4,2,4.061396506276465,9.490302282516907,ok,,0.02421059994958341,0.005977399880066514,0.0051154999528080225,0.0022203000262379646,0.0037212998140603304,0.0014033999759703875,0.005292100133374333,0.00035930005833506584,0.014128899900242686,0.003983000060543418,0.024089299840852618,0.000121300108730793
5,1.7167737840109059,0.3229131523835297,0.8924179656516358,0.23039434244141982,7,6,4.348021868416848,8.256870077578226,ok,,0.02323880000039935,0.0020671000238507986,0.004918399965390563,0.002310600131750107,0.005988300079479814,0.0015736999921500683,0.003944800002500415,0.0023354000877588987,0.014851500047370791,0.006219700211659074,0.023138300282880664,0.00010049971751868725
6,1.3008472564461542,0.14901117258071933,0.5444485595811379,0.17946382174859163,5,4,4.38972390074183,1.9865410517471127,ok,,0.020156499929726124,0.0019739000126719475,0.006213000044226646,0.0017540999688208103,0.0042721000500023365,0.0018180999904870987,0.003658199915662408,0.00032340013422071934,0.01414330000989139,0.0038956000935286283,0.020012800116091967,0.00014369981363415718
7,0.9745212671180152,0.27345178468333686,0.49147258583589437,0.1871609236514737,5,3,0.6297493843992703,2.842675842797416,ok,,0.024849999928846955,0.0034517000894993544,0.006003200076520443,0.002363999839872122,0.0037212998140603304,0.0014510999899357557,0.0060374999884516,0.0017322998028248549,0.015761999879032373,0.005547399632632732,0.02476109960116446,8.890032768249512e-05
8,0.8338205267907275,0.2218235601745025,0.8266636365608011,0.0925679855868219,5,1,1.3397178167498054,4.03995001754308,ok,,0.020123900147154927,0.0016905998345464468,0.0036006001755595207,0.0015348000451922417,0.005770600168034434,0.001617399975657463,0.004333400167524815,0.0014933000784367323,0.01370460051111877,0.004645500099286437,0.020040700444951653,8.319970220327377e-05
9,1.1511269950763343,0.27386953846478734,0.3264614132461098,0.1782925492483824,5,5,2.9493185704490403,9.03586029906277,ok,,0.020537800155580044,0.0018876998219639063,0.003483099862933159,0.0030680999625474215,0.005448699928820133,0.0017397000920027494,0.003483300097286701,0.0013484000228345394,0.012415099889039993,0.00615620007738471,0.02045899978838861,7.88003671914339e-05
10,1.2948041585198693,0.13774775956154192,0.6509154794523571,0.2288867041947248,5,9,1.1614951040259713,1.3379312680220181,ok,,0.022063400130718946,0.0037797000259160995,0.004290000069886446,0.001911599887534976,0.0035415999591350555,0.0013430998660624027,0.0034827999770641327,0.0036188000813126564,0.011314400006085634,0.006873499834910035,0.02196759986691177,9.580026380717754e-05
11,1.4888388083746373,0.29262459283568154,0.4105842354752078,0.14759284174028153,6,3,4.595336357124165,1.9540864740109596,ok,,0.03529399982653558,0.002633499912917614,0.007592399837449193,0.005593399982899427,0.005690400023013353,0.002732899971306324,0.008760900003835559,0.002176700159907341,0.022043699864298105,0.010503000114113092,0.03518019989132881,0.0001137999352067709
12,1.5381951434269334,0.1549543544455761,0.8399480053984831,0.2542095398816081,7,5,3.0155674219564554,7.021063339834435,ok,,0.021407000022009015,0.0021037000697106123,0.004299999913200736,0.0015345001593232155,0.006764699937775731,0.001573899993672967,0.0036654998548328876,0.0013796999119222164,0.014730199705809355,0.004488100064918399,0.021321999840438366,8.500018157064915e-05
13,1.6000570498768356,0.343154712441707,0.8452300849333112,0.24533331032880845,5,2,4.82206397139591,8.610010947607975,ok,,0.018790399888530374,0.0017059000674635172,0.003736400045454502,0.0035559001844376326,0.004446300212293863,0.0014118000399321318,0.003460400039330125,0.0003692000173032284,0.01164310029707849,0.005336900241672993,0.018685900606215,0.00010449928231537342
14,1.0546321714288351,0.30758034150698066,0.8926310493002316,0.22900534327386168,9,8,1.4361366916857512,3.20685065224166,ok,,0.02255419990979135,0.002694800030440092,0.005912099964916706,0.001711399992927909,0.003591800108551979,0.0013111999724060297,0.004422600148245692,0.0028172999154776335,0.013926500221714377,0.005839899880811572,0.02246120013296604,9.29997768253088e-05
15,0.8639517599292535,0.20595261598656328,0.7754225936198919,0.17272513605287293,8,4,1.0844289085002328,7.626207413337567,ok,,0.02082420000806451,0.002355000004172325,0.0037034000270068645,0.00158250005915761,0.003969299839809537,0.0013713000807911158,0.005969000048935413,0.0017860999796539545,0.013641699915751815,0.00473990011960268,0.02073660003952682,8.759996853768826e-05
16,0.8479207647816376,0.18721422687055467,0.3885325963029985,0.2916781758004612,5,3,4.318943064317676,3.2794050722878896,ok,,0.019705399870872498,0.001842699944972992,0.003590499982237816,0.002346599940210581,0.006262999959290028,0.0018839000258594751,0.0035530999302864075,0.00014130002819001675,0.013406599871814251,0.004371799994260073,0.019621099811047316,8.430005982518196e-05
17,1.66657949407796,0.28902203839971335,0.6020506207116973,0.14277929984447713,4,9,4.568886478595567,9.060981445883492,ok,,0.018402099842205644,0.0019983998499810696,0.0034959001932293177,0.0016064001247286797,0.005531700095161796,0.0015499999281018972,0.0035614999942481518,0.0005717000458389521,0.012589100282639265,0.003728100098669529,0.018315600231289864,8.649961091578007e-05
18,1.7355304323243126,0.2935251473626891,0.8163141985915743,0.12733846496673804,9,4,3.5864713514904194,1.6101689051657833,ok,,0.027339600026607513,0.003633700078353286,0.008961499901488423,0.0016465000808238983,0.003701699897646904,0.001390600111335516,0.006168700056150556,0.0017327999230474234,0.018831899855285883,0.004769900115206838,0.027235500048846006,0.00010409997776150703
19,1.067519579053534,0.3340875124499607,0.30740028821262455,0.20473359765266458,5,9,1.8072320849589907,9.325869460253701,ok,,0.02012739982455969,0.0023541999980807304,0.0035860000643879175,0.0015096000861376524,0.003552400041371584,0.0036106000188738108,0.004002600209787488,0.0014082000125199556,0.01114100031554699,0.006528400117531419,0.02002360043115914,0.00010379939340054989
20,1.6407371464147502,0.3005772266735949,0.7821745449363879,0.2018166284913803,6,10,3.4183151413074464,1.8161685938781993,ok,,0.021188999991863966,0.0020665000192821026,0.0034897001460194588,0.0014420000370591879,0.0073830001056194305,0.0015211000572890043,0.0036123001482337713,0.0015758001245558262,0.01448500039987266,0.004538900218904018,0.02109040063805878,9.859935380518436e-05
