generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,512,4.235347099999672,120.88737662139656,82.5892684499936,0.0,-0.708931501557748,0.708931501557748,1.2195063193370568,0.2758139559480391,0.6853789367068595,0.23707154717291043,63.0,11.0,4.7233101887199265,1.847047492204617,20.49505611776303,12.05361034679055,345.41144724935293,1537.060311064124,0.8037186870289144,0.6690614266707486
2,768,5.163851199999954,148.72620651811323,65.40878186666609,0.0,-2.33071211161241,2.33071211161241,0.9788591038898762,0.3318038859963417,0.6819343157783775,0.14677624450485985,72.0,11.0,2.361357335851606,2.1860666592847595,14.188165762302114,7.447400088422,424.28401224315166,1450.3452918669545,0.9809377094377736,0.6400218900740311
3,1024,6.10261649999984,167.7968786011749,56.44920262499851,0.0,-4.798598478573243,4.798598478573243,1.5127328818113583,0.36252133106932544,0.8589263623950542,0.18236263121994822,78.0,4.0,2.1308170087205043,2.396967159211688,14.26527456541565,6.012216465168724,488.3041197921334,1276.1006216284636,0.812974224165317,0.5219038274314625
4,1280,6.934071299999687,184.59573670666725,49.92531335999774,0.0,-4.880677886054948,4.880677886054948,1.3380672619096499,0.2815857908692302,0.8066466173048602,0.16987044800898893,81.0,5.0,4.074847660649843,3.036070525025479,11.811787064241692,7.940295190350085,472.8815695466827,1235.6502752992674,0.9142365651331007,0.8168361363601121
5,1536,7.794437300000027,197.0636161253096,45.46755091666682,0.0,-5.049115913555992,5.049115913555992,1.4454041232949855,0.30603094365527583,0.8013304181551931,0.2548112132820446,86.0,24.0,3.5726532375688618,3.029316358935039,12.239616945550626,8.876624339629021,482.0774532402722,1560.7937014528102,0.9874290108663126,0.6937650962093598
6,1792,8.2963093999997,215.99965883626095,40.29635994285569,0.0,-5.049115913555992,5.049115913555992,1.4454041232949855,0.30603094365527583,0.8013304181551931,0.2548112132820446,86.0,24.0,3.5726532375688618,3.029316358935039,12.239616945550626,8.876624339629021,482.0774532402722,1560.7937014528102,0.9874290108663126,0.6937650962093598
7,2048,9.107553999999709,224.8682796720245,37.5686602499988,0.0,-5.054347826086957,5.054347826086957,1.3989997070350615,0.29517234417802474,0.8398254252403906,0.2150680208084495,78.0,21.0,3.8932499357833446,3.68453222093259,14.596005366288015,11.228718223477442,379.09894731128844,1314.7313027515165,0.9863402541170474,0.6574109069903229
8,2304,9.692903399999977,237.6996762394233,34.46365653333326,0.0,-5.054347826086957,5.054347826086957,1.3989997070350615,0.29517234417802474,0.8398254252403906,0.2150680208084495,78.0,21.0,3.8932499357833446,3.68453222093259,14.596005366288015,11.228718223477442,379.09894731128844,1314.7313027515165,0.9863402541170474,0.6574109069903229
9,2560,10.433389099999658,245.3661006470164,32.34350620999894,0.0,-5.063131313131313,5.063131313131313,1.4943492647048133,0.3081986184297155,0.8473301549714967,0.1775374469063615,67.0,18.0,3.0652542347518668,3.664002402311273,13.809131806240448,9.905134886667764,395.64115090971455,1115.134931302123,0.9207073625063258,0.6753845916531297
10,2816,11.49741049999966,244.92471587407297,31.356574090908165,0.0,-5.063131313131313,5.063131313131313,1.4943492647048133,0.3081986184297155,0.8473301549714967,0.1775374469063615,67.0,18.0,3.0652542347518668,3.664002402311273,13.809131806240448,9.905134886667764,395.64115090971455,1115.134931302123,0.9207073625063258,0.6753845916531297
