rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,135,-5.579737726625725,5.579737726625725,5.578297256155507,True,1.476961675547868,0.39067637258559296,0.7509259050186783,0.09503992121962572,3.0,1.0,3.817741774304112,4.489377010066101,19.26564098507083,10.821258262407346,289.57041392233236,1611.4710766779322,0.800164016420263,0.9959959196312547
2,472,-5.579571247848524,5.579571247848524,5.577169512543021,True,1.4187603482789257,0.3832646034826264,0.6435038427765816,0.19896235230798698,3.0,1.0,3.7669900900285667,4.422938592367576,19.78772648271751,10.768462263679467,281.18855321988616,2146.2152806044787,0.9012101026342225,0.9885999945007405
3,439,-5.580097776474036,5.580097776474036,5.576287855557446,True,1.4881512988787755,0.39879668793128376,0.6434201599631513,0.09579545018697434,3.0,1.0,3.8044224422536637,4.419957962153081,18.81203669903627,12.556831424506877,274.2335109498118,1929.7992016561368,0.8581673376744315,0.9983846668942983
4,364,-5.578942612247662,5.578942612247662,5.575063932258973,True,1.5192188364548063,0.39436829230552917,0.7431831897463661,0.21592073428033803,3.0,1.0,3.8187711120697836,4.43716548703666,20.46062939086563,11.084883375018434,264.89594865254037,2223.200417588711,0.8792197610607684,0.995096632290331
5,82,-5.572969600887354,5.572969600887354,5.572866207994906,True,1.4612933672859463,0.38525659678187296,0.6842181458326444,0.1287975895279221,3.0,1.0,3.765091881875923,4.400067897231983,20.22697695936909,10.444224071505568,276.0182696048823,1850.289805996371,0.8022593224153556,0.9980748354037807
6,192,-5.574272640995237,5.574272640995237,5.572355275035163,True,1.390411555229111,0.3888021871742518,0.667567179253024,0.24527124732441608,3.0,1.0,3.7222486625702462,4.4444872373067845,19.98541650545755,11.808960004043746,269.96993538833897,1854.0732296320746,0.7361752889209427,0.9740515884863146
7,509,-5.576368560718294,5.576368560718294,5.571967622950069,True,1.519489127965184,0.39371509527845683,0.7077155105129592,0.19629609244859977,3.0,1.0,3.7981895733178375,4.441325991680951,19.61383119574071,11.057011731059188,287.9296549518957,1396.0840463255029,0.7584017696774809,0.9961939631864475
8,409,-5.576663473321984,5.576663473321984,5.57138885214851,True,1.4900950967572923,0.3984239499858575,0.6866587755327448,0.1329822454363957,3.0,1.0,3.7768220367979684,4.475558438720052,20.8455080936249,10.622353432590575,283.96121826660215,1461.7418125986962,0.927327921821598,0.9821270507157411
9,398,-5.575790867234247,5.575790867234247,5.5711018973902595,True,1.519959104759217,0.39679186188895366,0.6747565224687376,0.11601724933213987,3.0,1.0,3.787054841323025,4.323681127053664,19.566992748349463,10.689790082154701,279.6421231909201,1883.1106581752701,0.7387195916978635,0.9954422051924634
10,482,-5.575871487711829,5.575871487711829,5.570410108683392,True,1.523616602010923,0.39386742201852154,0.7079458777025261,0.1439953767047189,3.0,1.0,3.790006263724309,4.438987036383228,19.569627269811896,11.09304306115435,288.5300991970788,1371.2350738978275,0.7442768520972729,0.9962292470408904
11,138,-5.57679116881855,5.57679116881855,5.570350037902492,True,1.5078528701200937,0.3884233974180905,0.8169738911873919,0.11728274866443995,3.0,1.0,3.7804286267679568,4.470309523797404,19.343327260548488,10.694901606536533,292.8008720727034,1690.2368764353544,0.9221677921133076,0.9957926566586097
12,305,-5.570956222443092,5.570956222443092,5.570289948258948,True,1.4705914976550551,0.3892617538640395,0.7795767521557209,0.19926228560820888,3.0,1.0,3.761107692713038,4.488736500024078,21.587573508820235,10.675352976321184,267.35295569402643,1543.0644067867902,0.7992505528695635,0.9797292035141887
13,269,-5.570422419417554,5.570422419417554,5.5695593831510815,True,1.5119889394847006,0.3845971096161715,0.7099600890600537,0.20079329468226692,3.0,1.0,3.779787382342371,4.454640505781251,16.755902027326563,9.112683574199906,355.4655282355333,2136.9270744773667,0.6644679349833102,0.998230892111
14,0,-5.58358781720206,5.58358781720206,5.5690615370109775,True,1.449845358321574,0.3915065445426863,0.7492923000888315,0.21881259963098715,3.0,1.0,3.7313828685428296,4.385578374187427,22.79005158563511,11.933318749939795,235.75290053267287,2305.0482571746966,0.8324285752698404,0.9954170004896373
15,155,-5.575110632883783,5.575110632883783,5.568900442098812,True,1.491016598854666,0.38824070596593485,0.8013917467088286,0.10751111238755183,3.0,1.0,3.761328123299572,4.485412748396495,19.723275257362022,10.041433044667441,302.93342943092296,1359.6286582803673,0.9374021477245091,0.9966243611311644
16,311,-5.567402616370848,5.567402616370848,5.566983775717715,True,1.5194395829920073,0.38980324680508094,0.7234774480459663,0.16103767692410814,3.0,1.0,3.764311461558771,4.464625268924133,20.901283468061433,10.185898411411895,276.59812807255753,1743.3439121615188,0.9453358873673923,0.9851716675317375
17,187,-5.576569973539948,5.576569973539948,5.566517902962675,True,1.4526200116242893,0.3906653028224757,0.7207304024799271,0.11835521447122807,3.0,1.0,3.710066003405445,4.299985356486736,19.710196846328312,10.323314237893815,285.4656603305275,2103.797493574105,0.830954360254616,0.990224105849034
18,455,-5.571016603412103,5.571016603412103,5.565769175743224,True,1.4988652912159486,0.37689470979026474,0.7522802556846954,0.18130612380606786,3.0,1.0,3.7469168772020147,4.469969671386567,18.872927018158617,9.97029538604132,319.73149267893257,1198.4150362437188,0.7193122973121615,0.9981138340656512
19,60,-5.565825069909953,5.565825069909953,5.565229613057491,True,1.4599158949107145,0.3868299175595693,0.7583597821581256,0.2223154197916801,3.0,1.0,3.7125794761705375,4.396305851124861,20.908851254663297,10.236596212523834,277.44623708457084,2230.426257077681,0.8757227605109532,0.964695778247576
20,401,-5.567796957691513,5.567796957691513,5.565028799539672,True,1.4021593574709734,0.3837802059352622,0.6989879644725926,0.12406114205077043,3.0,1.0,3.6813511074573597,4.497738800543264,18.987939651857104,9.411067590901673,323.2576206680884,1242.7125860552421,0.9113085110331597,0.9979208032516121
21,80,-5.573974900372688,5.573974900372688,5.564914663872505,True,1.5086811255163834,0.38792772714355417,0.6784247785441093,0.12444562512338071,3.0,1.0,3.745158977448378,4.46352759882886,20.401239294111807,11.283953326937985,279.07196100697206,1405.8472818557188,0.782795163655281,0.9813871748699177
22,236,-5.565459153419073,5.565459153419073,5.5646026935685375,True,1.4863688440351293,0.37706828314819585,0.7329428196284118,0.16473098981161088,3.0,1.0,3.7208790115493082,4.301601461640683,18.945117583768194,9.800908108652301,305.8315670219911,2529.878032201078,0.7356123892906938,0.9923065597725429
23,445,-5.57486363023135,5.57486363023135,5.564218611026618,True,1.4466527082722174,0.3938768861742305,0.6300924517550215,0.1530113790543944,3.0,1.0,3.6876903556755165,4.2529222036141965,19.74153377281042,10.564602120044363,281.83857044923616,1979.2918861972653,0.8416965297933162,0.993004524255947
24,90,-5.567883531143973,5.567883531143973,5.5640409465006595,True,1.459179220627425,0.37788913919270195,0.7034686147831206,0.13959709818169927,3.0,1.0,3.694510802483557,4.299198935305673,20.05996664173628,11.359902060621792,268.7658069038061,2467.9580897479223,0.9350699672424828,0.9984843528446601
