case_id,status,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,can_fly,lap_time,penalty,penalty_static_margin,penalty_longitudinal,penalty_directional,penalty_spiral,elapsed_seconds
0,ok,1.2431041497441027,0.2862423441092849,0.6968978479190777,0.22925636492762438,3,2,2.306394026352029,3.932374013793655,True,31.508220587882356,0.0,0.0,0.0,0.0,0.0,0.2834575999295339
1,ok,1.2052848260847253,0.2694822734723346,0.6227905510589336,0.2100710759437151,6,5,2.787046305070974,6.2337289144581165,True,31.773474217006683,0.0,0.0,0.0,0.0,0.0,0.027775299968197942
2,ok,1.4896466086262328,0.2604175022834375,0.7947209778037677,0.2199159742072997,7,4,2.591687597701414,6.612483132549499,True,30.754101188766466,0.0,0.0,0.0,0.0,0.0,0.025489200023002923
