generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,1024,13.864194500027224,73.85932157818395,2072.69707775407,0.0,28.5,-28.5,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,5.0,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
2,1536,19.404262299882248,79.1578662595857,1927.4900551216367,0.0,28.5,-28.5,1.1110119932014495,0.3401652028784156,0.8799688311293721,0.158264943882823,5.0,21.762287344305904,1.2885943478904665,21.357169896364212,10.759822368621826,488.88731887564063,1793.6371471732855,0.8883133032359183,0.9301246982067823
3,2048,25.170789299998432,81.36415491746727,1868.9311055248836,0.0,28.5,-28.5,1.4135869605216538,0.3624187389398801,0.6314242623765872,0.21798355807777653,5.0,21.762287344305904,1.0253804917248173,24.37316641677494,10.759822368621826,404.6863581357433,1793.6371471732855,0.8883133032359183,0.9301246982067823
4,2560,31.53336189989932,81.18385880092835,1866.7750244740396,0.0,28.5,-28.5,1.4135869605216538,0.3624187389398801,0.6314242623765872,0.21798355807777653,5.0,21.762287344305904,1.0253804917248173,24.37316641677494,10.759822368621826,404.6863581357433,1793.6371471732855,0.8883133032359183,0.9301246982067823
5,3072,38.069653699873015,80.6941934439043,1871.7579735770898,0.0,28.5,-28.5,1.4135869605216538,0.3624187389398801,0.6314242623765872,0.21798355807777653,5.0,21.762287344305904,1.0253804917248173,24.37316641677494,10.759822368621826,404.6863581357433,1793.6371471732855,0.8883133032359183,0.9301246982067823
6,3584,46.155755300074816,77.65012134887955,1938.5417226031423,0.0,28.5,-28.5,1.5221240887485492,0.3895320948129375,0.6314242623765872,0.21798355807777653,5.0,21.762287344305904,1.3748851825221557,21.492868044272427,10.759822368621826,246.38670692945044,1793.6371471732855,0.8389123071393885,0.9301246982067823
7,4096,54.35754460003227,75.3529253416198,1990.845070976182,0.0,28.5,-28.5,1.512715195299573,0.27060350933087846,0.7933367539068638,0.18662015365826926,4.0,21.762287344305904,1.0077255797035907,20.264440532325565,10.044047660874343,330.1937670579557,1513.7119818532683,0.7847313814120372,0.6511468350145024
8,4608,61.906245599966496,74.43513906135658,2008.5137461322463,0.0,28.5,-28.5,1.512715195299573,0.27060350933087846,0.7933367539068638,0.18662015365826926,4.0,21.762287344305904,1.0077255797035907,20.264440532325565,10.044047660874343,330.1937670579557,1513.7119818532683,0.7847313814120372,0.6511468350145024
9,5120,70.94379619997926,72.16980587798736,2064.464469419396,6.308550391221809e-07,28.5,-28.5,1.512715195299573,0.27060350933087846,0.7933367539068638,0.18662015365826926,4.0,21.762287344305904,1.0077255797035907,20.264440532325565,10.044047660874343,330.1937670579557,1513.7119818532683,0.7847313814120372,0.6511468350145024
10,5632,77.40748579986393,72.75782105314032,2040.742807450958,6.308449868244789e-07,28.5,-28.5,1.512715195299573,0.27060350933087846,0.7933367539068638,0.18662015365826926,4.0,21.762287344305904,1.0077255797035907,20.264440532325565,10.044047660874343,330.1937670579557,1513.7119818532683,0.7847313814120372,0.6511468350145024
