rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,8.092998762185267,-8.092998762185267,-8.092998762185267,True,1.817573723977305,0.33057774385507255,0.6929116987014794,0.21336966219357253,0.0,13.35260617161011,9.561206173559361,3.331710816509921,24.0,12.0,20.0,13.0,223.80887186636824,2119.419993959004,28.39323692449095
2,3072,8.092998762185267,-8.092998762185267,-8.092998762185267,True,1.817573723977305,0.33057774385507255,0.6929116987014794,0.21336966219357253,0.0,13.35260617161011,9.561206173559361,3.331710816509921,24.0,12.0,20.0,13.0,223.80887186636824,2119.419993959004,28.39323692449095
3,2048,8.160043974416261,-8.160043974416261,-8.160043974416261,True,1.808915452724151,0.33438930946863527,0.7867059749898255,0.11429656025892422,0.0,13.135438655453415,9.42981903108159,3.360667739016586,16.0,8.0,17.0,7.0,389.05267482136276,2144.7243047241195,26.651359106072743
4,3073,8.160043974416261,-8.160043974416261,-8.160043974416261,True,1.808915452724151,0.33438930946863527,0.7867059749898255,0.11429656025892422,0.0,13.135438655453415,9.42981903108159,3.360667739016586,16.0,8.0,17.0,7.0,389.05267482136276,2144.7243047241195,26.651359106072743
5,2560,8.183920267569217,-8.183920267569217,-8.183920267569217,True,1.8089977950601466,0.32477723312881535,0.6731411446859061,0.25594847801846765,0.0,13.028554463136887,10.144132014449537,3.3467868641278438,22.0,10.0,25.0,12.5,270.4225532416227,2124.0039978019363,16.3523544479464
6,3074,8.183920267569217,-8.183920267569217,-8.183920267569217,True,1.8089977950601466,0.32477723312881535,0.6731411446859061,0.25594847801846765,0.0,13.028554463136887,10.144132014449537,3.3467868641278438,22.0,10.0,25.0,12.5,270.4225532416227,2124.0039978019363,16.3523544479464
7,2752,8.20314025648213,-8.20314025648213,-8.20314025648213,True,1.761970454225068,0.3138693707830889,0.5603928966536622,0.18154568179404082,0.0,13.160826514759272,12.627386259013381,3.3630528619695257,22.0,10.0,22.0,12.0,272.1487595537726,2253.5150240586436,20.542774851750675
8,3075,8.20314025648213,-8.20314025648213,-8.20314025648213,True,1.761970454225068,0.3138693707830889,0.5603928966536622,0.18154568179404082,0.0,13.160826514759272,12.627386259013381,3.3630528619695257,22.0,10.0,22.0,12.0,272.1487595537726,2253.5150240586436,20.542774851750675
9,1536,8.219969751017386,-8.219969751017386,-8.219969751017386,True,1.812577663914484,0.32397597650909954,0.6983507707452568,0.1843692104834412,0.0,13.092394091285545,11.80523276862162,3.3781728055695375,22.0,10.0,20.0,13.0,261.02292595214544,2375.5301527572774,25.908189460535436
10,3076,8.219969751017386,-8.219969751017386,-8.219969751017386,True,1.812577663914484,0.32397597650909954,0.6983507707452568,0.1843692104834412,0.0,13.092394091285545,11.80523276862162,3.3781728055695375,22.0,10.0,20.0,13.0,261.02292595214544,2375.5301527572774,25.908189460535436
11,65,8.298651306017376,-8.298651306017376,-8.298651306017376,True,1.8035757046841419,0.3160453769862648,0.5977792658207275,0.17325098730334204,0.0,13.028306028458314,6.7426081486304135,3.336760891872028,25.0,12.5,20.0,13.0,213.6538605553668,2041.5365316740463,23.728849979447805
12,3077,8.298651306017376,-8.298651306017376,-8.298651306017376,True,1.8035757046841419,0.3160453769862648,0.5977792658207275,0.17325098730334204,0.0,13.028306028458314,6.7426081486304135,3.336760891872028,25.0,12.5,20.0,13.0,213.6538605553668,2041.5365316740463,23.728849979447805
13,2835,8.352369764874432,-8.352369764874432,-8.352369764874432,True,1.8104246186746928,0.32721170805134625,0.4601254835174574,0.2073996770994163,0.0,13.02900059669285,12.540565757122385,3.3780618309123183,22.0,10.0,19.0,12.0,261.89393537866374,2460.613653612913,21.85237318652988
14,3078,8.352369764874432,-8.352369764874432,-8.352369764874432,True,1.8104246186746928,0.32721170805134625,0.4601254835174574,0.2073996770994163,0.0,13.02900059669285,12.540565757122385,3.3780618309123183,22.0,10.0,19.0,12.0,261.89393537866374,2460.613653612913,21.85237318652988
15,478,8.368914838317973,-8.368914838317973,-8.368914838317973,True,1.7864046283129833,0.33749356821030674,0.5381278679212244,0.139988544634039,0.0,13.018276103535776,9.640411396547027,3.3149084768308645,25.0,12.5,21.0,13.5,214.51797052800237,2243.3669813957895,29.681588748684703
16,3079,8.368914838317973,-8.368914838317973,-8.368914838317973,True,1.7864046283129833,0.33749356821030674,0.5381278679212244,0.139988544634039,0.0,13.018276103535776,9.640411396547027,3.3149084768308645,25.0,12.5,21.0,13.5,214.51797052800237,2243.3669813957895,29.681588748684703
17,2633,8.384598634309214,-8.384598634309214,-8.384598634309214,True,1.8179500535295525,0.2940742686355842,0.5308411376439789,0.20736938826005982,0.0,13.00146080203897,11.70117596035123,3.292082568745564,20.0,10.0,21.0,13.5,293.39464833022487,2285.7605800635074,21.442223802361084
18,3080,8.384598634309214,-8.384598634309214,-8.384598634309214,True,1.8179500535295525,0.2940742686355842,0.5308411376439789,0.20736938826005982,0.0,13.00146080203897,11.70117596035123,3.292082568745564,20.0,10.0,21.0,13.5,293.39464833022487,2285.7605800635074,21.442223802361084
19,368,8.385469563625112,-8.385469563625112,-8.385469563625112,True,1.8266037341695234,0.3352423299363078,0.6051244986540946,0.21309027334013067,0.0,13.171636141593712,10.879602051202351,3.3541937278312246,24.0,12.0,20.0,13.0,227.51346966207583,2138.611160208407,35.365389415870624
20,3081,8.385469563625112,-8.385469563625112,-8.385469563625112,True,1.8266037341695234,0.3352423299363078,0.6051244986540946,0.21309027334013067,0.0,13.171636141593712,10.879602051202351,3.3541937278312246,24.0,12.0,20.0,13.0,227.51346966207583,2138.611160208407,35.365389415870624
21,301,8.387239307450596,-8.387239307450596,-8.387239307450596,True,1.780444228774598,0.34773514746033785,0.8973874198038032,0.12486406298462727,0.0,13.053287282820618,9.903474453128737,3.3428407573488927,24.0,12.0,20.0,15.0,226.54565202766273,2283.619201536291,17.954982796512095
22,3082,8.387239307450596,-8.387239307450596,-8.387239307450596,True,1.780444228774598,0.34773514746033785,0.8973874198038032,0.12486406298462727,0.0,13.053287282820618,9.903474453128737,3.3428407573488927,24.0,12.0,20.0,15.0,226.54565202766273,2283.619201536291,17.954982796512095
23,1670,8.398934657646038,-8.398934657646038,-8.398934657646038,True,1.820158802658535,0.3187175904315365,0.7955512418133424,0.11116685538116695,0.0,13.128836248755624,10.045175932013805,3.369586162383773,22.0,10.0,24.0,12.0,273.4376541240935,2228.078145172775,25.471737511804147
24,3083,8.398934657646038,-8.398934657646038,-8.398934657646038,True,1.820158802658535,0.3187175904315365,0.7955512418133424,0.11116685538116695,0.0,13.128836248755624,10.045175932013805,3.369586162383773,22.0,10.0,24.0,12.0,273.4376541240935,2228.078145172775,25.471737511804147
25,138,8.448933840076334,-8.448933840076334,-8.448933840076334,True,1.8088818869957852,0.3632707841265026,0.755034689364732,0.17571472660079332,0.0,13.037012757901213,12.204724828930923,3.2940581820784454,24.0,12.0,24.0,12.0,219.73696512232522,1872.742460783889,22.14777520641439
26,3084,8.448933840076334,-8.448933840076334,-8.448933840076334,True,1.8088818869957852,0.3632707841265026,0.755034689364732,0.17571472660079332,0.0,13.037012757901213,12.204724828930923,3.2940581820784454,24.0,12.0,24.0,12.0,219.73696512232522,1872.742460783889,22.14777520641439
27,262,8.450507234038433,-8.450507234038433,-8.450507234038433,True,1.8264791874566744,0.35164060367584016,0.6826110402866581,0.16006728231102194,0.0,13.015896687392853,8.678735845667038,3.3196081679433016,22.0,10.0,20.0,15.0,265.63329410873035,2078.1232969202856,28.757487706009215
28,3085,8.450507234038433,-8.450507234038433,-8.450507234038433,True,1.8264791874566744,0.35164060367584016,0.6826110402866581,0.16006728231102194,0.0,13.015896687392853,8.678735845667038,3.3196081679433016,22.0,10.0,20.0,15.0,265.63329410873035,2078.1232969202856,28.757487706009215
29,79,8.45542270541372,-8.45542270541372,-8.45542270541372,True,1.8020723077884115,0.3172634551168153,0.8922198087649789,0.2906082819686065,0.0,13.248590729086246,8.166993223894831,3.346714179488551,24.0,12.0,20.0,15.0,226.80478473912046,2173.70972795933,23.13931885920664
30,3086,8.45542270541372,-8.45542270541372,-8.45542270541372,True,1.8020723077884115,0.3172634551168153,0.8922198087649789,0.2906082819686065,0.0,13.248590729086246,8.166993223894831,3.346714179488551,24.0,12.0,20.0,15.0,226.80478473912046,2173.70972795933,23.13931885920664
31,3065,8.467012599505676,-8.467012599505676,-8.467012599505676,True,1.809710522199419,0.2766369521505088,0.6690979081543329,0.19261513230338914,0.0,13.07163542617957,10.887976351522159,3.3387214746960545,22.0,10.0,22.0,13.0,281.7546931188565,2497.3771170627365,25.701124208123332
32,3087,8.467012599505676,-8.467012599505676,-8.467012599505676,True,1.809710522199419,0.2766369521505088,0.6690979081543329,0.19261513230338914,0.0,13.07163542617957,10.887976351522159,3.3387214746960545,22.0,10.0,22.0,13.0,281.7546931188565,2497.3771170627365,25.701124208123332
33,439,8.515484617372362,-8.515484617372362,-8.515484617372362,True,1.7983165819550693,0.3755235536291872,0.6144726748659236,0.22526771899482442,0.0,13.18873891347066,11.5232163934976,3.323137652099195,24.0,12.0,21.0,13.5,221.4258577986152,2652.3438282838197,28.769872588796076
34,3088,8.515484617372362,-8.515484617372362,-8.515484617372362,True,1.7983165819550693,0.3755235536291872,0.6144726748659236,0.22526771899482442,0.0,13.18873891347066,11.5232163934976,3.323137652099195,24.0,12.0,21.0,13.5,221.4258577986152,2652.3438282838197,28.769872588796076
35,172,8.517790428934372,-8.517790428934372,-8.517790428934372,True,1.8088433516100222,0.3389205421102264,0.30149879868437807,0.19835131292097533,0.0,13.111222519787209,8.971362855080553,3.357189289054893,24.0,12.0,21.0,13.5,227.1234092441975,2371.395166548621,21.906938957483348
36,3089,8.517790428934372,-8.517790428934372,-8.517790428934372,True,1.8088433516100222,0.3389205421102264,0.30149879868437807,0.19835131292097533,0.0,13.111222519787209,8.971362855080553,3.357189289054893,24.0,12.0,21.0,13.5,227.1234092441975,2371.395166548621,21.906938957483348
37,2434,8.527029795427968,-8.527029795427968,-8.527029795427968,True,1.8059856641961813,0.3590622586379365,0.6262832103938166,0.10678352182842736,0.0,13.050050706925969,9.409380563379841,3.3525044963233332,18.0,8.0,18.0,8.0,341.25747053048656,2290.96477017251,13.757531902116519
38,3090,8.527029795427968,-8.527029795427968,-8.527029795427968,True,1.8059856641961813,0.3590622586379365,0.6262832103938166,0.10678352182842736,0.0,13.050050706925969,9.409380563379841,3.3525044963233332,18.0,8.0,18.0,8.0,341.25747053048656,2290.96477017251,13.757531902116519
39,2798,8.534362360135642,-8.534362360135642,-8.534362360135642,True,1.7815821902377924,0.32788106156383123,0.6246470360776373,0.15163019079450285,0.0,13.126465882705233,11.564238432401764,3.368478248037814,22.0,10.0,22.0,13.0,262.9910304463469,2254.6215232059835,20.70344699706066
40,3091,8.534362360135642,-8.534362360135642,-8.534362360135642,True,1.7815821902377924,0.32788106156383123,0.6246470360776373,0.15163019079450285,0.0,13.126465882705233,11.564238432401764,3.368478248037814,22.0,10.0,22.0,13.0,262.9910304463469,2254.6215232059835,20.70344699706066
41,2673,8.537923163231536,-8.537923163231536,-8.537923163231536,True,1.8130723448011266,0.32017505797482193,0.8182154365832036,0.18859812235521597,0.0,13.000213312142822,10.392370926253966,3.2734963546800584,22.0,10.0,20.0,15.0,269.0167546795778,2026.709564994729,26.70911758316133
42,3092,8.537923163231536,-8.537923163231536,-8.537923163231536,True,1.8130723448011266,0.32017505797482193,0.8182154365832036,0.18859812235521597,0.0,13.000213312142822,10.392370926253966,3.2734963546800584,22.0,10.0,20.0,15.0,269.0167546795778,2026.709564994729,26.70911758316133
43,2819,8.540003127053016,-8.540003127053016,-8.540003127053016,True,1.7798907103258093,0.3671028072568735,0.7082998205464357,0.1700376349719872,0.0,13.132374685274954,11.208313987368015,3.3398999147218813,22.0,10.0,20.0,10.0,265.6929920704837,2303.3564864068303,11.493173291304103
44,3093,8.540003127053016,-8.540003127053016,-8.540003127053016,True,1.7798907103258093,0.3671028072568735,0.7082998205464357,0.1700376349719872,0.0,13.132374685274954,11.208313987368015,3.3398999147218813,22.0,10.0,20.0,10.0,265.6929920704837,2303.3564864068303,11.493173291304103
