score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
-8.092998762185267,8.092998762185267,301,1.817573723977305,0.33057774385507255,0.6929116987014794,0.21336966219357253,0.0,13.35260617161011,9.561206173559361,3.331710816509921,24.0,12.0,20.0,13.0,223.80887186636824,2119.419993959004,28.39323692449095
-8.160043974416261,8.160043974416261,337,1.808915452724151,0.33438930946863527,0.7867059749898255,0.11429656025892422,0.0,13.135438655453415,9.42981903108159,3.360667739016586,16.0,8.0,17.0,7.0,389.05267482136276,2144.7243047241195,26.651359106072743
-8.183920267569217,8.183920267569217,346,1.8089977950601466,0.32477723312881535,0.6731411446859061,0.25594847801846765,0.0,13.028554463136887,10.144132014449537,3.3467868641278438,22.0,10.0,25.0,12.5,270.4225532416227,2124.0039978019363,16.3523544479464
-8.20314025648213,8.20314025648213,346,1.761970454225068,0.3138693707830889,0.5603928966536622,0.18154568179404082,0.0,13.160826514759272,12.627386259013381,3.3630528619695257,22.0,10.0,22.0,12.0,272.1487595537726,2253.5150240586436,20.542774851750675
-8.219969751017386,8.219969751017386,331,1.812577663914484,0.32397597650909954,0.6983507707452568,0.1843692104834412,0.0,13.092394091285545,11.80523276862162,3.3781728055695375,22.0,10.0,20.0,13.0,261.02292595214544,2375.5301527572774,25.908189460535436
-8.298651306017376,8.298651306017376,245,1.8035757046841419,0.3160453769862648,0.5977792658207275,0.17325098730334204,0.0,13.028306028458314,6.7426081486304135,3.336760891872028,25.0,12.5,20.0,13.0,213.6538605553668,2041.5365316740463,23.728849979447805
-8.352369764874432,8.352369764874432,298,1.8104246186746928,0.32721170805134625,0.4601254835174574,0.2073996770994163,0.0,13.02900059669285,12.540565757122385,3.3780618309123183,22.0,10.0,19.0,12.0,261.89393537866374,2460.613653612913,21.85237318652988
-8.368914838317973,8.368914838317973,249,1.7864046283129833,0.33749356821030674,0.5381278679212244,0.139988544634039,0.0,13.018276103535776,9.640411396547027,3.3149084768308645,25.0,12.5,21.0,13.5,214.51797052800237,2243.3669813957895,29.681588748684703
-8.384598634309214,8.384598634309214,343,1.8179500535295525,0.2940742686355842,0.5308411376439789,0.20736938826005982,0.0,13.00146080203897,11.70117596035123,3.292082568745564,20.0,10.0,21.0,13.5,293.39464833022487,2285.7605800635074,21.442223802361084
-8.385469563625112,8.385469563625112,307,1.8266037341695234,0.3352423299363078,0.6051244986540946,0.21309027334013067,0.0,13.171636141593712,10.879602051202351,3.3541937278312246,24.0,12.0,20.0,13.0,227.51346966207583,2138.611160208407,35.365389415870624
-8.387239307450596,8.387239307450596,249,1.780444228774598,0.34773514746033785,0.8973874198038032,0.12486406298462727,0.0,13.053287282820618,9.903474453128737,3.3428407573488927,24.0,12.0,20.0,15.0,226.54565202766273,2283.619201536291,17.954982796512095
-8.398934657646038,8.398934657646038,332,1.820158802658535,0.3187175904315365,0.7955512418133424,0.11116685538116695,0.0,13.128836248755624,10.045175932013805,3.369586162383773,22.0,10.0,24.0,12.0,273.4376541240935,2228.078145172775,25.471737511804147
-8.448933840076334,8.448933840076334,307,1.8088818869957852,0.3632707841265026,0.755034689364732,0.17571472660079332,0.0,13.037012757901213,12.204724828930923,3.2940581820784454,24.0,12.0,24.0,12.0,219.73696512232522,1872.742460783889,22.14777520641439
