niche_rank,population_index,official_score,optimization_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1,0,-8.092998762185267,-8.092998762185267,1.817573723977305,0.33057774385507255,0.6929116987014794,0.21336966219357253,0.0,13.35260617161011,9.561206173559361,3.331710816509921,24.0,12.0,20.0,13.0,223.80887186636824,2119.419993959004,28.39323692449095
2,3072,-8.092998762185267,-8.092998762185267,1.817573723977305,0.33057774385507255,0.6929116987014794,0.21336966219357253,0.0,13.35260617161011,9.561206173559361,3.331710816509921,24.0,12.0,20.0,13.0,223.80887186636824,2119.419993959004,28.39323692449095
3,2048,-8.160043974416261,-8.160043974416261,1.808915452724151,0.33438930946863527,0.7867059749898255,0.11429656025892422,0.0,13.135438655453415,9.42981903108159,3.360667739016586,16.0,8.0,17.0,7.0,389.05267482136276,2144.7243047241195,26.651359106072743
4,3073,-8.160043974416261,-8.160043974416261,1.808915452724151,0.33438930946863527,0.7867059749898255,0.11429656025892422,0.0,13.135438655453415,9.42981903108159,3.360667739016586,16.0,8.0,17.0,7.0,389.05267482136276,2144.7243047241195,26.651359106072743
5,2560,-8.183920267569217,-8.183920267569217,1.8089977950601466,0.32477723312881535,0.6731411446859061,0.25594847801846765,0.0,13.028554463136887,10.144132014449537,3.3467868641278438,22.0,10.0,25.0,12.5,270.4225532416227,2124.0039978019363,16.3523544479464
6,3074,-8.183920267569217,-8.183920267569217,1.8089977950601466,0.32477723312881535,0.6731411446859061,0.25594847801846765,0.0,13.028554463136887,10.144132014449537,3.3467868641278438,22.0,10.0,25.0,12.5,270.4225532416227,2124.0039978019363,16.3523544479464
