rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1,0,7.952116952376267,-7.952116952376267,True,1.2813976185545326,0.2747519264742732,0.5797784702852368,0.2528034896403551,4.0,17.717594793736303,4.243267828132957,14.112720992416143,6.639092046767473,315.6297193840146,1495.4303968697786,0.560825411695987,0.8788469540886581
2,7,8.5,-8.5,True,1.4439884245493733,0.39160892079698806,0.6758762332335626,0.18799232053498632,1.0,20.948810589301594,1.9347857078989927,21.62700832736781,9.47620954653441,439.1392254164372,2877.9293093830347,0.9096883417293626,0.9519311201548354
3,10,8.5,-8.5,True,1.076388493716717,0.22407277024883418,0.5594825561144499,0.21029938169922896,1.0,20.90671480705054,4.280382773124311,15.81563335377723,11.070626909744547,354.64955913507316,2194.7079542455085,0.9529203619844617,0.7447100849059596
4,8,8.62875,-8.62875,True,1.1397022885993557,0.3960143702477217,0.8050693474709988,0.20438173990696668,3.0,15.808780932665126,4.166592236291404,13.66411810391152,5.868725596846409,267.9177592508495,1442.3800408905963,0.9732414485559301,0.7653370933258669
5,4,8.649750000000001,-8.649750000000001,True,1.3927049630004913,0.3372117294371128,0.6360059978440403,0.09232998799532653,0.0,15.42694367638053,3.208567383233458,22.14948988519609,13.428502351045609,480.1816141232848,2154.696114361286,0.6497019943781197,0.803579191211611
6,14,9.1445,-9.1445,True,0.9686515878383071,0.3594382040202618,0.5373090852051973,0.10752046758309008,3.0,6.450245992816272,3.128539458848536,23.720505121164024,12.27064401563257,302.2692132741213,2655.1263239234686,0.9020315916277468,0.7204812164418399
7,12,15.829799844973543,-15.829799844973543,True,1.5093783173393458,0.3209086920693517,0.4112971968948841,0.15557249464094638,5.0,20.78878082389555,4.366635020356625,14.834500602446496,7.878573133610189,411.27605652436614,1580.7857662439346,0.6827516062185168,0.5380146964453161
8,13,18.857,-18.857,True,1.3998298621010927,0.3272156466538412,0.7809530543697696,0.2576351018923752,1.0,11.668310287122043,1.4605143664752098,22.084715770350144,10.205147429168363,307.2122811004342,2102.927761625207,0.8294799081346058,0.8529281206729071
9,1,1000000.0,-1000000.0,True,0.9374298713598401,0.3297448969485016,0.8126693233205724,0.1358463043905795,10.0,21.0593664947142,3.7786889650473,19.787764344296633,10.842038238248456,434.66003024950624,1837.561992174704,0.5787881741208634,0.5110827102325857
10,9,1000000.0,-1000000.0,True,1.2122175038265253,0.23593169986329815,0.544831748424679,0.29017427168428184,6.0,19.141287973097427,3.0306688084893767,13.07702622554135,9.315896343439817,372.71042354404926,1226.0306309908628,0.9550787303596735,0.9256276269820147
11,2,1000000.0,-1000000.0,True,1.193062138926238,0.3651663365215063,0.4438808714970946,0.24404271805658936,7.0,11.566864024063472,2.759078490547836,24.91835780441761,12.706942047923803,351.9376833923161,2303.905326873064,0.7800448471680284,0.8172338656149805
12,3,inf,-inf,False,1.3067204095451121,0.18004882405933118,0.8984974728897215,0.20134002000946374,2.0,19.165626998835727,3.4984591818042925,10.534648091854123,8.738436990668028,414.1580474279622,1586.1236650228468,0.5755292451816094,0.7486249773592183
13,6,inf,-inf,False,1.0089097230937334,0.30791059959679845,0.7625995656475425,0.1845709845982492,8.0,13.362019980954715,3.790520140901208,17.028133468702435,5.938155330717564,214.1832717694342,1080.1096986979246,0.9314209977164865,0.9862898332066834
14,5,inf,-inf,False,1.131104488387704,0.1491946703568101,0.4813895037397742,0.1966079174540937,6.0,6.61038136303525,2.523693977855146,10.059377402067184,8.863722196780145,281.4609964378178,1826.7785422503948,0.8353655389510095,0.6859904234297574
15,11,inf,-inf,False,1.4283578759301454,0.20438877172768116,0.5237885646522045,0.1750784059986472,7.0,15.831347658578157,1.3540646876208484,20.14275652822107,16.552361134439707,331.75274347886443,2042.0703366398811,0.7368669430725276,0.9650950622744858
16,15,inf,-inf,False,1.2311139838173986,0.20745496707546285,0.44298560247230173,0.23407016830581617,9.0,6.911568813328783,2.94488390040193,12.135767810977995,10.060779294766224,373.3812323560577,1633.9076570412205,0.5835542972199619,0.8529544374905527
